,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,1190510909.0,1190510909.0,1175884969.0
Share Issued,1190510909.0,1190510909.0,1175884969.0
Net Debt,,731306300000.0,626131100000.0
Total Debt,,918191700000.0,804272500000.0
Tangible Book Value,,217858200000.0,171559500000.0
Invested Capital,,1265503800000.0,1057538400000.0
Working Capital,,-64389300000.0,-159659900000.0
Net Tangible Assets,,217858200000.0,171559500000.0
Capital Lease Obligations,,155827600000.0,165691200000.0
Common Stock Equity,,503139700000.0,418957100000.0
Total Capitalization,,1149152300000.0,943491200000.0
Total Equity Gross Minority Interest,,564704500000.0,476080500000.0
Minority Interest,,61564800000.0,57123400000.0
Stockholders Equity,,503139700000.0,418957100000.0
Other Equity Interest,,38011200000.0,417817100000.0
Retained Earnings,,251386900000.0,
Additional Paid In Capital,,143454600000.0,
Capital Stock,,1154200000.0,1140000000.0
Common Stock,,1154200000.0,1140000000.0
Total Liabilities Net Minority Interest,,1416650900000.0,1341595300000.0
Total Non Current Liabilities Net Minority Interest,,942819400000.0,817903000000.0
Other Non Current Liabilities,,3582200000.0,55542800000.0
Derivative Product Liabilities,,78200000.0,
Non Current Accrued Expenses,,10029400000.0,
Tradeand Other Payables Non Current,,3080000000.0,
Non Current Deferred Revenue,,70339200000.0,
Non Current Deferred Taxes Liabilities,,33623500000.0,31375200000.0
Long Term Debt And Capital Lease Obligation,,788315200000.0,676216300000.0
Long Term Capital Lease Obligation,,142302600000.0,151682200000.0
Long Term Debt,,646012600000.0,524534100000.0
Long Term Provisions,,4885800000.0,4968900000.0
Current Liabilities,,473831500000.0,523692300000.0
Other Current Liabilities,,1154500000.0,63465200000.0
Current Debt And Capital Lease Obligation,,129876500000.0,128056200000.0
Current Capital Lease Obligation,,13525000000.0,14009000000.0
Current Debt,,116351500000.0,114047200000.0
Current Provisions,,2201600000.0,1810900000.0
Payables,,293880400000.0,228885100000.0
Other Payable,,70297300000.0,
Dividends Payable,,2900000.0,
Total Tax Payable,,1949900000.0,2946300000.0
Accounts Payable,,221630300000.0,225938800000.0
Total Assets,,1981355400000.0,1817675800000.0
Total Non Current Assets,,1571913400000.0,1453643400000.0
Other Non Current Assets,,71823200000.0,68685100000.0
Non Current Prepaid Assets,,32280300000.0,
Non Current Deferred Taxes Assets,,2926600000.0,1679200000.0
Investmentin Financial Assets,,68379800000.0,89857600000.0
Available For Sale Securities,,68338300000.0,89857600000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,41500000.0,
Long Term Equity Investment,,73970700000.0,81031100000.0
Investment Properties,,2226000000.0,2392000000.0
Goodwill And Other Intangible Assets,,285281500000.0,247397600000.0
Other Intangible Assets,,274421000000.0,236997500000.0
Goodwill,,10860500000.0,10400100000.0
Net PPE,,1039415600000.0,895172500000.0
Accumulated Depreciation,,-113430000000.0,
Gross PPE,,1152845600000.0,895172500000.0
Construction In Progress,,357729600000.0,297448500000.0
Other Properties,,9864200000.0,597724000000.0
Machinery Furniture Equipment,,405883200000.0,
Buildings And Improvements,,200811500000.0,
Land And Improvements,,72412900000.0,
Properties,,106144200000.0,
Current Assets,,409442200000.0,364032400000.0
Other Current Assets,,1039800000.0,60433400000.0
Hedging Assets Current,,5488400000.0,
Assets Held For Sale Current,,185800000.0,8315400000.0
Restricted Cash,,36754000000.0,
Prepaid Assets,,40779600000.0,
Inventory,,102873900000.0,108912300000.0
Finished Goods,,42552100000.0,
Work In Process,,16928500000.0,
Raw Materials,,43393300000.0,
Other Receivables,,58125200000.0,13552000000.0
Accounts Receivable,,96164700000.0,69214700000.0
Allowance For Doubtful Accounts Receivable,,-1801300000.0,
Gross Accounts Receivable,,97966000000.0,
Cash Cash Equivalents And Short Term Investments,,68030800000.0,103604600000.0
Other Short Term Investments,,36973000000.0,91154400000.0
Cash And Cash Equivalents,,31057800000.0,12450200000.0
Cash Equivalents,,10175500000.0,
Cash Financial,,20882300000.0,
