,2025-03-31,2024-09-30
Ordinary Shares Number,143784657.0,143784657.0
Share Issued,143784657.0,143784657.0
Net Debt,22520000000.0,34132000000.0
Total Debt,54192000000.0,73710000000.0
Tangible Book Value,68926000000.0,63456000000.0
Invested Capital,110424000000.0,123496000000.0
Working Capital,24500000000.0,23368000000.0
Net Tangible Assets,68926000000.0,63456000000.0
Capital Lease Obligations,25891000000.0,25225000000.0
Common Stock Equity,82123000000.0,75011000000.0
Total Capitalization,101842000000.0,113205000000.0
Total Equity Gross Minority Interest,86529000000.0,79146000000.0
Minority Interest,4406000000.0,4135000000.0
Stockholders Equity,82123000000.0,75011000000.0
Other Equity Interest,2851000000.0,74292000000.0
Fixed Assets Revaluation Reserve,78000000.0,
Retained Earnings,39413000000.0,
Additional Paid In Capital,28697000000.0,
Capital Stock,719000000.0,719000000.0
Common Stock,719000000.0,719000000.0
Total Liabilities Net Minority Interest,120045000000.0,116333000000.0
Total Non Current Liabilities Net Minority Interest,74256000000.0,66319000000.0
Other Non Current Liabilities,168000000.0,180000000.0
Preferred Securities Outside Stock Equity,24451000000.0,
Derivative Product Liabilities,136000000.0,
Non Current Pension And Other Postretirement Benefit Plans,886000000.0,
Non Current Accrued Expenses,0.0,
Tradeand Other Payables Non Current,104000000.0,
Non Current Deferred Revenue,0.0,
Non Current Deferred Taxes Liabilities,4580000000.0,4515000000.0
Long Term Debt And Capital Lease Obligation,43858000000.0,60719000000.0
Long Term Capital Lease Obligation,24139000000.0,22525000000.0
Long Term Debt,19719000000.0,38194000000.0
Long Term Provisions,886000000.0,814000000.0
Current Liabilities,45789000000.0,50014000000.0
Other Current Liabilities,990000000.0,2667000000.0
Current Debt And Capital Lease Obligation,10334000000.0,12991000000.0
Current Capital Lease Obligation,1752000000.0,2700000000.0
Current Debt,8582000000.0,10291000000.0
Pensionand Other Post Retirement Benefit Plans Current,1793000000.0,
Current Provisions,1793000000.0,1655000000.0
Payables,24222000000.0,24303000000.0
Other Payable,1755000000.0,
Dividends Payable,46000000.0,
Total Tax Payable,16000000.0,8000000.0
Accounts Payable,22405000000.0,24295000000.0
Total Assets,206574000000.0,195479000000.0
Total Non Current Assets,136285000000.0,122097000000.0
Other Non Current Assets,34000000.0,1316000000.0
Non Current Prepaid Assets,2055000000.0,
Non Current Deferred Taxes Assets,131000000.0,94000000.0
Investmentin Financial Assets,8788000000.0,3917000000.0
Available For Sale Securities,8340000000.0,3917000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,448000000.0,
Long Term Equity Investment,2241000000.0,2067000000.0
Investment Properties,28000000.0,31000000.0
Goodwill And Other Intangible Assets,13197000000.0,11555000000.0
Other Intangible Assets,2892000000.0,1432000000.0
Goodwill,10305000000.0,10123000000.0
Net PPE,107391000000.0,100844000000.0
Accumulated Depreciation,-48739000000.0,
Gross PPE,156130000000.0,100844000000.0
Construction In Progress,9232000000.0,10417000000.0
Other Properties,39333000000.0,90427000000.0
Machinery Furniture Equipment,20768000000.0,
Buildings And Improvements,64799000000.0,
Land And Improvements,21998000000.0,
Properties,0.0,
Current Assets,70289000000.0,73382000000.0
Other Current Assets,22000000.0,3759000000.0
Restricted Cash,7822000000.0,
Prepaid Assets,3927000000.0,
Inventory,4808000000.0,4482000000.0
Finished Goods,3430000000.0,
Raw Materials,1378000000.0,
Other Receivables,3445000000.0,1897000000.0
Taxes Receivable,0.0,
Accounts Receivable,30161000000.0,28804000000.0
Allowance For Doubtful Accounts Receivable,-2367000000.0,
Gross Accounts Receivable,32528000000.0,
Cash Cash Equivalents And Short Term Investments,20104000000.0,34440000000.0
Other Short Term Investments,14323000000.0,20087000000.0
Cash And Cash Equivalents,5781000000.0,14353000000.0
Cash Equivalents,1147000000.0,
Cash Financial,4634000000.0,
