,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,3105081431.0,3101351130.0,3097369066.0,3095171531.0,3093254378.0
Share Issued,3105081431.0,3101351130.0,3097369066.0,3095171531.0,3093254378.0
Net Debt,1572535600000.0,1175435900000.0,1035375800000.0,1374807700000.0,1359981500000.0
Total Debt,2614195000000.0,2199916400000.0,2206867500000.0,2250208100000.0,2252174600000.0
Tangible Book Value,2066178200000.0,1935801100000.0,1853495200000.0,1791837400000.0,1721327600000.0
Invested Capital,4683265600000.0,4138609900000.0,4079222400000.0,4044937900000.0,3976394600000.0
Net Tangible Assets,2066178200000.0,1935801100000.0,1853495200000.0,1791837400000.0,1721327600000.0
Common Stock Equity,2069070600000.0,1938693500000.0,1872354900000.0,1794729800000.0,1724220000000.0
Total Capitalization,4683265600000.0,4138609900000.0,4079222400000.0,4044937900000.0,3976394600000.0
Total Equity Gross Minority Interest,2076658000000.0,1945402600000.0,1878706200000.0,1800741400000.0,1729865500000.0
Minority Interest,7587400000.0,6709100000.0,6351300000.0,6011600000.0,5645500000.0
Stockholders Equity,2069070600000.0,1938693500000.0,1872354900000.0,1794729800000.0,1724220000000.0
Other Equity Interest,13735600000.0,12059100000.0,11826600000.0,10943800000.0,10193800000.0
Retained Earnings,,,848140800000.0,,
Additional Paid In Capital,,,533580700000.0,,
Capital Stock,6210200000.0,6202400000.0,6194700000.0,6190300000.0,6186500000.0
Common Stock,6210200000.0,6202400000.0,6194700000.0,6190300000.0,6186500000.0
Total Liabilities Net Minority Interest,16008139600000.0,14589494200000.0,14690919900000.0,13917197100000.0,13792358500000.0
Derivative Product Liabilities,,,199285400000.0,,
Long Term Debt And Capital Lease Obligation,2614195000000.0,2199916400000.0,2206867500000.0,2250208100000.0,2252174600000.0
Payables,,,100047800000.0,,
Other Payable,,,61938000000.0,,
Accounts Payable,,,38109800000.0,,
Total Assets,18084797600000.0,16534896800000.0,16569626100000.0,15717938500000.0,15522224000000.0
Investments And Advances,4196095600000.0,3615408500000.0,2455384000000.0,3538140600000.0,3495702000000.0
Investmentin Financial Assets,4196095600000.0,3615408500000.0,2445116200000.0,3538140600000.0,3495702000000.0
Available For Sale Securities,,,87569500000.0,,
Long Term Equity Investment,,,10267800000.0,,
Investmentsin Associatesat Cost,,,10267800000.0,,
Goodwill And Other Intangible Assets,2892400000.0,2892400000.0,18859700000.0,2892400000.0,2892400000.0
Goodwill,2892400000.0,2892400000.0,18859700000.0,2892400000.0,2892400000.0
Net PPE,65366300000.0,65770900000.0,64920800000.0,62691800000.0,61043800000.0
Accumulated Depreciation,,,-217279800000.0,,
Gross PPE,,,282200600000.0,,
Construction In Progress,,,1205800000.0,,
Other Properties,,,278898800000.0,,
Buildings And Improvements,,,2096000000.0,,
Prepaid Assets,,,12009700000.0,,
Receivables,,,311447800000.0,,
Cash And Cash Equivalents,1041659400000.0,1024480500000.0,1171491700000.0,875400400000.0,892193100000.0
Cash Equivalents,,,99302900000.0,,
Cash Financial,453789100000.0,656061200000.0,80739400000.0,563220800000.0,621182000000.0
Cash Cash Equivalents And Federal Funds Sold,1041659400000.0,1024480500000.0,1171491700000.0,875400400000.0,892193100000.0
