,2025-03-31,2024-09-30
Ordinary Shares Number,7309778829.0,7309778829.0
Share Issued,7309778829.0,7309778829.0
Total Debt,612300000.0,607500000.0
Tangible Book Value,191844100000.0,169643000000.0
Invested Capital,199738900000.0,176603600000.0
Working Capital,151053400000.0,130050600000.0
Net Tangible Assets,191844100000.0,169643000000.0
Capital Lease Obligations,612300000.0,607500000.0
Common Stock Equity,199738900000.0,176603600000.0
Total Capitalization,199738900000.0,176603600000.0
Total Equity Gross Minority Interest,199928300000.0,176786700000.0
Minority Interest,189400000.0,183100000.0
Stockholders Equity,199738900000.0,176603600000.0
Other Equity Interest,192429100000.0,169293800000.0
Retained Earnings,147145500000.0,
Additional Paid In Capital,186800000.0,
Capital Stock,7309800000.0,7309800000.0
Common Stock,7309800000.0,7309800000.0
Total Liabilities Net Minority Interest,208390300000.0,221273600000.0
Total Non Current Liabilities Net Minority Interest,10864900000.0,11115700000.0
Non Current Deferred Revenue,1015500000.0,1177400000.0
Non Current Deferred Taxes Liabilities,95200000.0,63400000.0
Long Term Debt And Capital Lease Obligation,586900000.0,588100000.0
Long Term Capital Lease Obligation,586900000.0,588100000.0
Long Term Debt,0.0,0.0
Long Term Provisions,9021600000.0,9187500000.0
Current Liabilities,197525400000.0,210157900000.0
Other Current Liabilities,3219500000.0,152857600000.0
Current Deferred Taxes Liabilities,0.0,
Current Debt And Capital Lease Obligation,25400000.0,19400000.0
Current Capital Lease Obligation,25400000.0,19400000.0
Current Debt,0.0,0.0
Current Provisions,7397100000.0,6369900000.0
Payables,42519200000.0,33178000000.0
Other Payable,9095900000.0,
Dividends Payable,35600000.0,
Total Tax Payable,0.0,0.0
Accounts Payable,33387700000.0,33178000000.0
Total Assets,408318600000.0,398060300000.0
Total Non Current Assets,59739800000.0,57851800000.0
Other Non Current Assets,1943600000.0,2694300000.0
Non Current Prepaid Assets,192300000.0,
Non Current Deferred Taxes Assets,5348400000.0,6204300000.0
Investmentin Financial Assets,5816100000.0,5816100000.0
Available For Sale Securities,136100000.0,5816100000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,5680000000.0,
Long Term Equity Investment,1613600000.0,1655700000.0
Investmentsin Associatesat Cost,1613600000.0,1655700000.0
Investment Properties,400000.0,400000.0
Goodwill And Other Intangible Assets,7894800000.0,6960600000.0
Other Intangible Assets,7894800000.0,6960600000.0
Net PPE,36944500000.0,34449400000.0
Accumulated Depreciation,-32163200000.0,
Gross PPE,69107700000.0,34449400000.0
Construction In Progress,4899200000.0,6682300000.0
Other Properties,18088100000.0,27767100000.0
Machinery Furniture Equipment,28227400000.0,
Buildings And Improvements,13712200000.0,
Land And Improvements,4180800000.0,
Properties,0.0,
Current Assets,348578800000.0,340208500000.0
Other Current Assets,70000000.0,75796100000.0
Restricted Cash,496200000.0,
Prepaid Assets,20414800000.0,
Inventory,91189800000.0,93620100000.0
Inventories Adjustments Allowances,-12300000.0,
Other Inventories,175800000.0,
Finished Goods,3585600000.0,
Work In Process,33718500000.0,
Raw Materials,53722200000.0,
Other Receivables,49268700000.0,11800000.0
Taxes Receivable,3536200000.0,2661200000.0
Accounts Receivable,91163700000.0,82271800000.0
Cash Cash Equivalents And Short Term Investments,95975600000.0,85847500000.0
Other Short Term Investments,88841100000.0,65824900000.0
Cash And Cash Equivalents,7134500000.0,20022600000.0
Cash Equivalents,2287100000.0,
Cash Financial,4847400000.0,
