,2025-03-31,2024-09-30
Ordinary Shares Number,265468580.0,265468580.0
Share Issued,265468580.0,265468580.0
Total Debt,40000000.0,80000000.0
Tangible Book Value,149650000000.0,137130000000.0
Invested Capital,149710000000.0,137220000000.0
Working Capital,86290000000.0,80500000000.0
Net Tangible Assets,149650000000.0,137130000000.0
Capital Lease Obligations,20000000.0,30000000.0
Common Stock Equity,149690000000.0,137170000000.0
Total Capitalization,149690000000.0,137170000000.0
Total Equity Gross Minority Interest,149690000000.0,137170000000.0
Stockholders Equity,149690000000.0,137170000000.0
Other Equity Interest,149160000000.0,136640000000.0
Retained Earnings,134000000000.0,
Additional Paid In Capital,800000000.0,
Capital Stock,530000000.0,530000000.0
Common Stock,530000000.0,530000000.0
Total Liabilities Net Minority Interest,19630000000.0,18690000000.0
Total Non Current Liabilities Net Minority Interest,5110000000.0,5780000000.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,
Non Current Deferred Taxes Liabilities,5090000000.0,5760000000.0
Long Term Debt And Capital Lease Obligation,20000000.0,20000000.0
Long Term Capital Lease Obligation,20000000.0,20000000.0
Current Liabilities,14520000000.0,12910000000.0
Other Current Liabilities,190000000.0,2490000000.0
Current Debt And Capital Lease Obligation,20000000.0,60000000.0
Current Capital Lease Obligation,0.0,10000000.0
Current Debt,20000000.0,50000000.0
Pensionand Other Post Retirement Benefit Plans Current,540000000.0,
Current Provisions,540000000.0,480000000.0
Payables,13360000000.0,9230000000.0
Other Payable,4250000000.0,
Dividends Payable,10000000.0,
Total Tax Payable,0.0,680000000.0
Accounts Payable,9100000000.0,8550000000.0
Total Assets,169320000000.0,155860000000.0
Total Non Current Assets,68510000000.0,62450000000.0
Other Non Current Assets,2480000000.0,1010000000.0
Non Current Prepaid Assets,720000000.0,
Non Current Deferred Taxes Assets,110000000.0,150000000.0
Investmentin Financial Assets,650000000.0,1470000000.0
Available For Sale Securities,1270000000.0,1470000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,650000000.0,
Goodwill And Other Intangible Assets,40000000.0,40000000.0
Other Intangible Assets,40000000.0,
Net PPE,66980000000.0,59700000000.0
Accumulated Depreciation,-23980000000.0,
Gross PPE,90960000000.0,59700000000.0
Construction In Progress,12600000000.0,13160000000.0
Other Properties,3190000000.0,46540000000.0
Machinery Furniture Equipment,51870000000.0,
Buildings And Improvements,60000000.0,
Land And Improvements,23300000000.0,
Properties,0.0,
Current Assets,100810000000.0,93410000000.0
Other Current Assets,3700000000.0,3860000000.0
Restricted Cash,1880000000.0,
Prepaid Assets,1400000000.0,
Inventory,32360000000.0,31450000000.0
Other Inventories,90000000.0,
Finished Goods,3350000000.0,
Work In Process,16980000000.0,
Raw Materials,11940000000.0,
Other Receivables,20000000.0,
Taxes Receivable,2450000000.0,210000000.0
Accounts Receivable,27310000000.0,21810000000.0
Allowance For Doubtful Accounts Receivable,-70000000.0,
Gross Accounts Receivable,27380000000.0,
Cash Cash Equivalents And Short Term Investments,35390000000.0,36080000000.0
Other Short Term Investments,31240000000.0,35700000000.0
Cash And Cash Equivalents,4150000000.0,380000000.0
Cash Equivalents,3940000000.0,
Cash Financial,210000000.0,
