,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,274277990.0,274164080.0,274060710.0
Share Issued,274277990.0,274164080.0,274060710.0
Net Debt,473000000.0,475100000.0,1169800000.0
Total Debt,4457800000.0,4581300000.0,4038600000.0
Tangible Book Value,206314900000.0,200275900000.0,178097800000.0
Invested Capital,223825500000.0,215629600000.0,192433600000.0
Working Capital,29647200000.0,26883800000.0,19899900000.0
Net Tangible Assets,206314900000.0,200275900000.0,178097800000.0
Capital Lease Obligations,1493000000.0,1916600000.0,1400500000.0
Common Stock Equity,220860700000.0,212964900000.0,189795500000.0
Total Capitalization,222774800000.0,214808500000.0,191492700000.0
Total Equity Gross Minority Interest,220860700000.0,212964900000.0,189795500000.0
Stockholders Equity,220860700000.0,212964900000.0,189795500000.0
Other Equity Interest,220586400000.0,1063200000.0,189521400000.0
Retained Earnings,,205420800000.0,
Additional Paid In Capital,,4360800000.0,
Capital Stock,274300000.0,274200000.0,274100000.0
Common Stock,274300000.0,274200000.0,274100000.0
Total Liabilities Net Minority Interest,68580400000.0,58779200000.0,54004000000.0
Total Non Current Liabilities Net Minority Interest,18072000000.0,16121400000.0,15945700000.0
Other Non Current Liabilities,5251000000.0,4636700000.0,4522200000.0
Non Current Deferred Revenue,1462200000.0,5868700000.0,1312200000.0
Non Current Deferred Taxes Liabilities,6181700000.0,4929500000.0,5419300000.0
Long Term Debt And Capital Lease Obligation,2796500000.0,3081700000.0,2750600000.0
Long Term Capital Lease Obligation,882400000.0,1238100000.0,1053400000.0
Long Term Debt,1914100000.0,1843600000.0,1697200000.0
Long Term Provisions,2223000000.0,1949100000.0,1765000000.0
Current Liabilities,50508400000.0,42657800000.0,38058300000.0
Other Current Liabilities,6512600000.0,2622400000.0,4669400000.0
Current Deferred Taxes Liabilities,,2386800000.0,
Current Debt And Capital Lease Obligation,1661300000.0,1499600000.0,1288000000.0
Current Capital Lease Obligation,610600000.0,678500000.0,347100000.0
Current Debt,1050700000.0,821100000.0,940900000.0
Current Provisions,1525600000.0,1268100000.0,1273900000.0
Payables,31604100000.0,28646100000.0,24941800000.0
Other Payable,,3180200000.0,
Dividends Payable,,168400000.0,
Total Tax Payable,3465700000.0,2386800000.0,2292300000.0
Accounts Payable,28138400000.0,25297500000.0,22649500000.0
Total Assets,289441100000.0,271744100000.0,243799500000.0
Total Non Current Assets,209285500000.0,202202500000.0,185841300000.0
Other Non Current Assets,2243900000.0,1518500000.0,2089800000.0
Non Current Prepaid Assets,,936800000.0,
Non Current Deferred Taxes Assets,,0.0,132500000.0
Investmentin Financial Assets,132323000000.0,127725000000.0,118243000000.0
Available For Sale Securities,132323000000.0,53664300000.0,118243000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,74060700000.0,
Long Term Equity Investment,32155700000.0,31408500000.0,27295000000.0
Investmentsin Joint Venturesat Cost,32155700000.0,31408500000.0,27295000000.0
Goodwill And Other Intangible Assets,14545800000.0,12689000000.0,11697700000.0
Other Intangible Assets,14545800000.0,12689000000.0,11697700000.0
Net PPE,27112200000.0,27678900000.0,25496300000.0
Accumulated Depreciation,,-26315800000.0,
Gross PPE,27112200000.0,53994700000.0,25496300000.0
Construction In Progress,1293200000.0,1821500000.0,2297200000.0
Other Properties,25819000000.0,25857400000.0,23199100000.0
Machinery Furniture Equipment,,35956600000.0,
Buildings And Improvements,,13959900000.0,
Land And Improvements,,2256700000.0,
Properties,,0.0,
Current Assets,80155600000.0,69541600000.0,57958200000.0
Other Current Assets,5964100000.0,4161300000.0,4658100000.0
Restricted Cash,,440500000.0,
Prepaid Assets,,3970000000.0,
Inventory,18347100000.0,15637500000.0,17922500000.0
Other Inventories,,147100000.0,
Finished Goods,,10996900000.0,
Work In Process,,443200000.0,
Raw Materials,,4050300000.0,
Other Receivables,3026000000.0,6461100000.0,3416200000.0
Accounts Receivable,4113900000.0,5496400000.0,3133500000.0
Allowance For Doubtful Accounts Receivable,,-63900000.0,
Gross Accounts Receivable,,5560300000.0,
Cash Cash Equivalents And Short Term Investments,48704500000.0,37536100000.0,28827900000.0
Other Short Term Investments,46212700000.0,35346500000.0,27359600000.0
Cash And Cash Equivalents,2491800000.0,2189600000.0,1468300000.0
Cash Financial,,2189600000.0,
