,2025-03-31,2024-09-30
Treasury Shares Number,4754103.0,4948331.0
Ordinary Shares Number,2708910993.0,2708716765.0
Share Issued,2713665096.0,2713665096.0
Total Debt,62790000000.0,57910000000.0
Tangible Book Value,410000000000.0,417540000000.0
Invested Capital,719460000000.0,711720000000.0
Working Capital,340700000000.0,375160000000.0
Net Tangible Assets,410000000000.0,417540000000.0
Capital Lease Obligations,39850000000.0,34940000000.0
Common Stock Equity,696550000000.0,688750000000.0
Total Capitalization,697250000000.0,710850000000.0
Total Equity Gross Minority Interest,696730000000.0,688870000000.0
Minority Interest,180000000.0,120000000.0
Stockholders Equity,696550000000.0,688750000000.0
Other Equity Interest,2700000000.0,683320000000.0
Treasury Stock,7070000000.0,
Retained Earnings,567350000000.0,
Additional Paid In Capital,210000000.0,
Capital Stock,5430000000.0,5430000000.0
Common Stock,5430000000.0,5430000000.0
Total Liabilities Net Minority Interest,358710000000.0,308760000000.0
Total Non Current Liabilities Net Minority Interest,78320000000.0,92500000000.0
Other Non Current Liabilities,660000000.0,620000000.0
Non Current Pension And Other Postretirement Benefit Plans,19200000000.0,
Non Current Accrued Expenses,920000000.0,
Tradeand Other Payables Non Current,1000000000.0,
Non Current Deferred Revenue,10590000000.0,9680000000.0
Non Current Deferred Taxes Liabilities,16150000000.0,11560000000.0
Long Term Debt And Capital Lease Obligation,27080000000.0,45720000000.0
Long Term Capital Lease Obligation,26380000000.0,23620000000.0
Long Term Debt,700000000.0,22100000000.0
Long Term Provisions,19200000000.0,18140000000.0
Current Liabilities,280390000000.0,216260000000.0
Other Current Liabilities,150000000.0,21450000000.0
Current Debt And Capital Lease Obligation,35710000000.0,12190000000.0
Current Capital Lease Obligation,13470000000.0,11320000000.0
Current Debt,22240000000.0,870000000.0
Pensionand Other Post Retirement Benefit Plans Current,20030000000.0,
Current Provisions,14870000000.0,14140000000.0
Payables,83600000000.0,49630000000.0
Other Payable,25100000000.0,
Dividends Payable,190000000.0,
Total Tax Payable,28150000000.0,24250000000.0
Accounts Payable,30160000000.0,25380000000.0
Total Assets,1055440000000.0,997630000000.0
Total Non Current Assets,434350000000.0,406210000000.0
Other Non Current Assets,22290000000.0,21710000000.0
Non Current Prepaid Assets,11500000000.0,0.0
Non Current Deferred Assets,10980000000.0,
Non Current Deferred Taxes Assets,10640000000.0,9380000000.0
Financial Assets,3380000000.0,
Investmentin Financial Assets,10960000000.0,20030000000.0
Available For Sale Securities,10050000000.0,20030000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,910000000.0,
Goodwill And Other Intangible Assets,286550000000.0,271210000000.0
Other Intangible Assets,68990000000.0,64310000000.0
Goodwill,217560000000.0,206900000000.0
Net PPE,75900000000.0,75310000000.0
Accumulated Depreciation,-103240000000.0,
Gross PPE,179140000000.0,75310000000.0
Construction In Progress,730000000.0,1720000000.0
Other Properties,6490000000.0,73590000000.0
Machinery Furniture Equipment,111960000000.0,
Buildings And Improvements,55940000000.0,
Land And Improvements,4020000000.0,
Properties,0.0,
Current Assets,621090000000.0,591420000000.0
Other Current Assets,4580000000.0,45140000000.0
Hedging Assets Current,1950000000.0,
Current Deferred Assets,7510000000.0,
Restricted Cash,190000000.0,
Prepaid Assets,37280000000.0,
Inventory,1330000000.0,1740000000.0
Finished Goods,1330000000.0,
Other Receivables,76470000000.0,74010000000.0
Taxes Receivable,1480000000.0,1620000000.0
Accounts Receivable,195230000000.0,182730000000.0
Allowance For Doubtful Accounts Receivable,-4640000000.0,
Gross Accounts Receivable,199870000000.0,
Cash Cash Equivalents And Short Term Investments,290200000000.0,286180000000.0
Other Short Term Investments,207940000000.0,192140000000.0
Cash And Cash Equivalents,82260000000.0,94040000000.0
Cash Equivalents,28970000000.0,
Cash Financial,53290000000.0,
