,2025-03-31,2024-09-30
Ordinary Shares Number,6353141623.0,6353284188.0
Share Issued,6353141623.0,6353284188.0
Net Debt,36176800000.0,
Total Debt,39700000000.0,
Tangible Book Value,1233413400000.0,1370052200000.0
Invested Capital,1274664700000.0,1371440400000.0
Working Capital,136062800000.0,64449400000.0
Net Tangible Assets,1233413400000.0,1370052200000.0
Common Stock Equity,1234964700000.0,1371440400000.0
Total Capitalization,1254945600000.0,1371440400000.0
Total Equity Gross Minority Interest,1234964700000.0,1371440400000.0
Stockholders Equity,1234964700000.0,1371440400000.0
Other Equity Interest,1171433800000.0,1307907600000.0
Retained Earnings,130597900000.0,
Additional Paid In Capital,296171500000.0,
Capital Stock,63531400000.0,63532800000.0
Common Stock,63531400000.0,63532800000.0
Total Liabilities Net Minority Interest,100134700000.0,70783900000.0
Total Non Current Liabilities Net Minority Interest,75668200000.0,70395200000.0
Other Non Current Liabilities,500000.0,232600000.0
Non Current Pension And Other Postretirement Benefit Plans,36700000.0,
Non Current Deferred Taxes Liabilities,55650100000.0,69310600000.0
Long Term Debt And Capital Lease Obligation,19980900000.0,
Long Term Debt,19980900000.0,
Long Term Provisions,361300000.0,302100000.0
Current Liabilities,24466500000.0,388700000.0
Current Debt And Capital Lease Obligation,19719100000.0,
Current Debt,19719100000.0,
Pensionand Other Post Retirement Benefit Plans Current,324600000.0,
Payables,4422800000.0,388700000.0
Other Payable,4089800000.0,
Accounts Payable,333000000.0,388700000.0
Total Assets,1335099400000.0,1442224300000.0
Total Non Current Assets,1174570100000.0,1377386200000.0
Other Non Current Assets,727800000.0,547600000.0
Non Current Prepaid Assets,952800000.0,
Non Current Deferred Taxes Assets,99600000.0,0.0
Investmentin Financial Assets,1111312700000.0,1375127800000.0
Available For Sale Securities,1111312700000.0,1375127800000.0
Goodwill And Other Intangible Assets,1551300000.0,1388200000.0
Other Intangible Assets,546500000.0,383400000.0
Goodwill,1004800000.0,1004800000.0
Net PPE,392600000.0,322600000.0
Accumulated Depreciation,-502100000.0,
Gross PPE,894700000.0,
Construction In Progress,66300000.0,
Other Properties,789200000.0,
Machinery Furniture Equipment,39200000.0,
Current Assets,160529300000.0,64838100000.0
Restricted Cash,1742500000.0,
Prepaid Assets,727800000.0,
Other Receivables,41399000000.0,12061100000.0
Taxes Receivable,952800000.0,1187200000.0
Accounts Receivable,149500000.0,266800000.0
Allowance For Doubtful Accounts Receivable,-1700000.0,
Gross Accounts Receivable,151200000.0,
Cash Cash Equivalents And Short Term Investments,116510500000.0,51323000000.0
Other Short Term Investments,112987300000.0,50550600000.0
Cash And Cash Equivalents,3523200000.0,772400000.0
Cash Equivalents,100100000.0,
Cash Financial,3423100000.0,
