,2025-03-31,2024-09-30
Ordinary Shares Number,314402574.0,314402574.0
Share Issued,314402574.0,314402574.0
Total Debt,870000000.0,1584000000.0
Tangible Book Value,953480000000.0,884046000000.0
Invested Capital,962399000000.0,891410000000.0
Working Capital,-10463000000.0,-36806000000.0
Net Tangible Assets,953480000000.0,884046000000.0
Capital Lease Obligations,870000000.0,1434000000.0
Common Stock Equity,962399000000.0,891260000000.0
Total Capitalization,962399000000.0,891260000000.0
Total Equity Gross Minority Interest,962399000000.0,891260000000.0
Stockholders Equity,962399000000.0,891260000000.0
Other Equity Interest,960827000000.0,889688000000.0
Retained Earnings,769044000000.0,
Capital Stock,1572000000.0,1572000000.0
Common Stock,1572000000.0,1572000000.0
Total Liabilities Net Minority Interest,357319000000.0,325705000000.0
Total Non Current Liabilities Net Minority Interest,51614000000.0,51379000000.0
Other Non Current Liabilities,33819000000.0,33187000000.0
Non Current Deferred Revenue,33819000000.0,
Non Current Deferred Taxes Liabilities,15944000000.0,15751000000.0
Long Term Debt And Capital Lease Obligation,586000000.0,1045000000.0
Long Term Capital Lease Obligation,586000000.0,1045000000.0
Long Term Provisions,1260000000.0,1396000000.0
Current Liabilities,305705000000.0,274326000000.0
Other Current Liabilities,16011000000.0,44223000000.0
Current Debt And Capital Lease Obligation,284000000.0,539000000.0
Current Capital Lease Obligation,284000000.0,389000000.0
Current Debt,0.0,150000000.0
Current Provisions,15646000000.0,13124000000.0
Payables,237335000000.0,195227000000.0
Other Payable,19549000000.0,
Dividends Payable,34000000.0,
Total Tax Payable,12737000000.0,15521000000.0
Accounts Payable,205015000000.0,179706000000.0
Total Assets,1319718000000.0,1216965000000.0
Total Non Current Assets,1024476000000.0,979445000000.0
Other Non Current Assets,10778000000.0,31604000000.0
Non Current Prepaid Assets,4940000000.0,
Non Current Deferred Taxes Assets,6000000.0,0.0
Investmentin Financial Assets,535963000000.0,565664000000.0
Available For Sale Securities,582281000000.0,565664000000.0
Trading Securities,535963000000.0,
Long Term Equity Investment,43315000000.0,
Investmentsin Joint Venturesat Cost,1292000000.0,
Investments In Other Ventures Under Equity Method,20317000000.0,
Investmentsin Associatesat Cost,21706000000.0,
Goodwill And Other Intangible Assets,8919000000.0,7214000000.0
Other Intangible Assets,8919000000.0,7214000000.0
Net PPE,413491000000.0,369187000000.0
Gross PPE,779071000000.0,369187000000.0
Construction In Progress,88565000000.0,83029000000.0
Other Properties,6977000000.0,286158000000.0
Machinery Furniture Equipment,532742000000.0,
Buildings And Improvements,81581000000.0,
Land And Improvements,69206000000.0,
Properties,0.0,
Current Assets,295242000000.0,237520000000.0
Other Current Assets,2538000000.0,29045000000.0
Hedging Assets Current,129000000.0,
Assets Held For Sale Current,203000000.0,0.0
Restricted Cash,34000000.0,
Prepaid Assets,34964000000.0,
Inventory,69132000000.0,69769000000.0
Other Inventories,2306000000.0,
Finished Goods,34509000000.0,
Work In Process,3752000000.0,
Raw Materials,28565000000.0,
Other Receivables,7634000000.0,303000000.0
Accounts Receivable,65397000000.0,59038000000.0
Allowance For Doubtful Accounts Receivable,-31000000.0,
Gross Accounts Receivable,65428000000.0,
Cash Cash Equivalents And Short Term Investments,115211000000.0,79365000000.0
Other Short Term Investments,113366000000.0,59823000000.0
Cash And Cash Equivalents,1845000000.0,19542000000.0
Cash Equivalents,1018000000.0,
Cash Financial,827000000.0,
