,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,972236431.0,972142053.0,972132053.0
Share Issued,972236431.0,972142053.0,972132053.0
Net Debt,22387700000.0,18272500000.0,2229000000.0
Total Debt,32750200000.0,30102900000.0,17681900000.0
Tangible Book Value,40287400000.0,33455900000.0,32744400000.0
Invested Capital,127692400000.0,118697000000.0,99859200000.0
Working Capital,-4388100000.0,-2212000000.0,4124600000.0
Net Tangible Assets,40287400000.0,33455900000.0,32744400000.0
Capital Lease Obligations,5581900000.0,5214600000.0,5813300000.0
Common Stock Equity,100524100000.0,93808700000.0,87990600000.0
Total Capitalization,123914300000.0,116509300000.0,98639000000.0
Total Equity Gross Minority Interest,100524100000.0,93808700000.0,87990600000.0
Stockholders Equity,100524100000.0,93808700000.0,87990600000.0
Other Equity Interest,,1196700000.0,78269300000.0
Retained Earnings,,31109600000.0,
Additional Paid In Capital,,51841500000.0,
Capital Stock,9722400000.0,9721400000.0,9721300000.0
Common Stock,9722400000.0,9721400000.0,9721300000.0
Total Liabilities Net Minority Interest,62285700000.0,58336100000.0,43278100000.0
Total Non Current Liabilities Net Minority Interest,41105300000.0,40198400000.0,27595100000.0
Other Non Current Liabilities,2416900000.0,2719300000.0,2258100000.0
Derivative Product Liabilities,,0.0,
Non Current Pension And Other Postretirement Benefit Plans,,980700000.0,
Non Current Accrued Expenses,,0.0,
Non Current Deferred Revenue,,2336200000.0,
Non Current Deferred Taxes Liabilities,6163800000.0,6481900000.0,5181200000.0
Long Term Debt And Capital Lease Obligation,28654300000.0,27676100000.0,15702300000.0
Long Term Capital Lease Obligation,5264100000.0,4975500000.0,5053900000.0
Long Term Debt,23390200000.0,22700600000.0,10648400000.0
Long Term Provisions,1048500000.0,980700000.0,899000000.0
Current Liabilities,21180400000.0,18137700000.0,15683000000.0
Other Current Liabilities,2379100000.0,56900000.0,1389400000.0
Current Deferred Taxes Liabilities,,1000000.0,
Current Debt And Capital Lease Obligation,4095900000.0,2426800000.0,1979600000.0
Current Capital Lease Obligation,317800000.0,239100000.0,759400000.0
Current Debt,3778100000.0,2187700000.0,1220200000.0
Pensionand Other Post Retirement Benefit Plans Current,,591500000.0,
Current Provisions,779400000.0,276000000.0,696900000.0
Payables,8636500000.0,11699500000.0,7468700000.0
Other Payable,,3616900000.0,
Dividends Payable,,3400000.0,
Accounts Payable,8636500000.0,8079200000.0,7468700000.0
Total Assets,162809800000.0,152144800000.0,131268700000.0
Total Non Current Assets,146017600000.0,136219100000.0,111461100000.0
Other Non Current Assets,3999000000.0,3741500000.0,4030100000.0
Defined Pension Benefit,,27300000.0,
Non Current Prepaid Assets,,3528100000.0,
Non Current Deferred Taxes Assets,573800000.0,280400000.0,
Investmentin Financial Assets,2117400000.0,28900000.0,2062700000.0
Available For Sale Securities,2117400000.0,28900000.0,2062700000.0
Investment Properties,46600000.0,46600000.0,625800000.0
Goodwill And Other Intangible Assets,60236700000.0,60352800000.0,55246200000.0
Other Intangible Assets,25354200000.0,25550200000.0,25734700000.0
Goodwill,34882500000.0,34802600000.0,29511500000.0
Net PPE,70238400000.0,64962200000.0,45072000000.0
Accumulated Depreciation,,-15564100000.0,
Gross PPE,70238400000.0,80526300000.0,45072000000.0
Construction In Progress,12259000000.0,10343000000.0,5879600000.0
Other Properties,57979400000.0,19324200000.0,39192400000.0
Machinery Furniture Equipment,,7715200000.0,
Buildings And Improvements,,22225400000.0,
Land And Improvements,,20918500000.0,
Properties,,0.0,
Current Assets,16792300000.0,15925700000.0,19807600000.0
Other Current Assets,536600000.0,486500000.0,272600000.0
Restricted Cash,,203100000.0,
Prepaid Assets,,455500000.0,
Inventory,1143900000.0,1062100000.0,934200000.0
Finished Goods,,1062100000.0,
Other Receivables,,715000000.0,
Taxes Receivable,,0.0,0.0
Accounts Receivable,9380200000.0,6873100000.0,5286900000.0
Allowance For Doubtful Accounts Receivable,,-529700000.0,
Gross Accounts Receivable,,7402800000.0,
Cash Cash Equivalents And Short Term Investments,5731600000.0,6616900000.0,13313900000.0
Other Short Term Investments,951000000.0,1100000.0,3674300000.0
Cash And Cash Equivalents,4780600000.0,6615800000.0,9639600000.0
Cash Equivalents,,5612500000.0,
Cash Financial,,1003300000.0,
