,2025-03-31,2024-09-30
Ordinary Shares Number,1928314320.0,1928314320.0
Share Issued,1928314320.0,1928314320.0
Net Debt,7035600000.0,
Total Debt,11668500000.0,3698400000.0
Tangible Book Value,40102100000.0,39034700000.0
Invested Capital,47635500000.0,39339000000.0
Working Capital,-9511900000.0,-9284200000.0
Net Tangible Assets,40102100000.0,39034700000.0
Capital Lease Obligations,4135100000.0,3394100000.0
Common Stock Equity,40102100000.0,39034700000.0
Total Capitalization,40326900000.0,39285700000.0
Total Equity Gross Minority Interest,40102100000.0,39034700000.0
Stockholders Equity,40102100000.0,39034700000.0
Other Equity Interest,39137900000.0,38070500000.0
Retained Earnings,39020100000.0,
Capital Stock,964200000.0,964200000.0
Common Stock,964200000.0,964200000.0
Total Liabilities Net Minority Interest,81831100000.0,70930500000.0
Total Non Current Liabilities Net Minority Interest,34977600000.0,33067400000.0
Other Non Current Liabilities,136400000.0,145100000.0
Non Current Pension And Other Postretirement Benefit Plans,30901500000.0,
Non Current Deferred Revenue,136400000.0,
Non Current Deferred Taxes Liabilities,299600000.0,46200000.0
Long Term Debt And Capital Lease Obligation,3640100000.0,3029000000.0
Long Term Capital Lease Obligation,3415300000.0,2778000000.0
Long Term Debt,224800000.0,251000000.0
Long Term Provisions,30901500000.0,29847100000.0
Current Liabilities,46853500000.0,37863100000.0
Other Current Liabilities,1883900000.0,2333400000.0
Current Debt And Capital Lease Obligation,8028400000.0,669400000.0
Current Capital Lease Obligation,719800000.0,616100000.0
Current Debt,7308600000.0,53300000.0
Pensionand Other Post Retirement Benefit Plans Current,5319000000.0,
Current Provisions,2422800000.0,2333300000.0
Payables,30741700000.0,26480800000.0
Other Payable,6359200000.0,4125700000.0
Dividends Payable,194700000.0,
Total Tax Payable,452500000.0,1740200000.0
Accounts Payable,23735300000.0,20614900000.0
Total Assets,121933200000.0,109965200000.0
Total Non Current Assets,84591600000.0,81386300000.0
Other Non Current Assets,1498200000.0,12190200000.0
Non Current Prepaid Assets,569300000.0,519300000.0
Other Investments,9975700000.0,
Investmentin Financial Assets,0.0,0.0
Available For Sale Securities,554000000.0,519300000.0
Long Term Equity Investment,5750300000.0,5944500000.0
Investmentsin Associatesat Cost,5750300000.0,5944500000.0
Net PPE,66717200000.0,62648400000.0
Accumulated Depreciation,-33224100000.0,
Gross PPE,99941300000.0,62648400000.0
Construction In Progress,11981100000.0,23400100000.0
Other Properties,692100000.0,39248300000.0
Machinery Furniture Equipment,61792300000.0,
Buildings And Improvements,23323100000.0,
Land And Improvements,2152700000.0,
Properties,0.0,
Current Assets,37341600000.0,28578900000.0
Other Current Assets,3901900000.0,4030800000.0
Hedging Assets Current,23400000.0,
Restricted Cash,458700000.0,
Prepaid Assets,2445400000.0,
Inventory,28501400000.0,18606600000.0
Other Inventories,766300000.0,
Finished Goods,8549700000.0,
Work In Process,4063400000.0,
Raw Materials,15122000000.0,
Other Receivables,225200000.0,95200000.0
Accounts Receivable,3631500000.0,3406100000.0
Allowance For Doubtful Accounts Receivable,-85100000.0,
Gross Accounts Receivable,3716600000.0,
Cash Cash Equivalents And Short Term Investments,2056000000.0,2440200000.0
Other Short Term Investments,1558200000.0,1214600000.0
Cash And Cash Equivalents,497800000.0,1225600000.0
Cash Financial,497800000.0,
