,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,12580279206.0,12580279206.0,12580279206.0
Share Issued,12580279206.0,12580279206.0,12580279206.0
Net Debt,1373263000000.0,1518883180000.0,1444158600000.0
Total Debt,1760178000000.0,1878173020000.0,1914893200000.0
Tangible Book Value,3531417500000.0,3292164860000.0,3374321100000.0
Invested Capital,5115810400000.0,4969963800000.0,5101741700000.0
Working Capital,-209189800000.0,-320454640000.0,-171976300000.0
Net Tangible Assets,3531417500000.0,3292164860000.0,3374321100000.0
Capital Lease Obligations,322155400000.0,342613980000.0,335913300000.0
Common Stock Equity,3677787800000.0,3434404760000.0,3522761800000.0
Total Capitalization,4602527200000.0,4419146010000.0,4531041500000.0
Total Equity Gross Minority Interest,4018193400000.0,3742351170000.0,3794755700000.0
Minority Interest,340405600000.0,307946410000.0,271993900000.0
Stockholders Equity,3677787800000.0,3434404760000.0,3522761800000.0
Other Equity Interest,3614886400000.0,3371503400000.0,3459860400000.0
Retained Earnings,,298799530000.0,
Additional Paid In Capital,,1610650000.0,
Capital Stock,62901400000.0,62901390000.0,62901400000.0
Common Stock,62901400000.0,62901390000.0,62901400000.0
Total Liabilities Net Minority Interest,3795984200000.0,3844879850000.0,3781383200000.0
Total Non Current Liabilities Net Minority Interest,2137183700000.0,2176459790000.0,2190636700000.0
Other Non Current Liabilities,13793100000.0,5997730000.0,13026000000.0
Derivative Product Liabilities,,0.0,
Non Current Accrued Expenses,,1212120000.0,
Tradeand Other Payables Non Current,,1620000.0,
Non Current Deferred Revenue,,7995000000.0,
Non Current Deferred Taxes Liabilities,399499300000.0,387618340000.0,399127600000.0
Long Term Debt And Capital Lease Obligation,1150253700000.0,1228589130000.0,1253428700000.0
Long Term Capital Lease Obligation,225514300000.0,243847880000.0,245149000000.0
Long Term Debt,924739400000.0,984741250000.0,1008279700000.0
Long Term Provisions,568578800000.0,543081490000.0,522201300000.0
Current Liabilities,1658800500000.0,1668420060000.0,1590746500000.0
Other Current Liabilities,171443600000.0,92103870000.0,166000300000.0
Current Debt And Capital Lease Obligation,609924300000.0,649583890000.0,661464500000.0
Current Capital Lease Obligation,96641100000.0,98766100000.0,90764300000.0
Current Debt,513283200000.0,550817790000.0,570700200000.0
Pensionand Other Post Retirement Benefit Plans Current,,14179120000.0,
Current Provisions,58517000000.0,70711310000.0,56338500000.0
Payables,386000600000.0,422190640000.0,334558500000.0
Other Payable,,25658130000.0,
Dividends Payable,,325380000.0,
Total Tax Payable,3710000000.0,6423160000.0,4519800000.0
Accounts Payable,382290600000.0,389783970000.0,330038700000.0
Total Assets,7814177600000.0,7587231020000.0,7576138900000.0
Total Non Current Assets,6364566900000.0,6239265600000.0,6157368700000.0
Other Non Current Assets,40661500000.0,2491400000.0,45708500000.0
Non Current Prepaid Assets,,26494530000.0,
Non Current Deferred Taxes Assets,75084000000.0,70775570000.0,71995900000.0
Financial Assets,,0.0,
Other Investments,,,467865900000.0
Investmentin Financial Assets,514844100000.0,435230080000.0,117918500000.0
Available For Sale Securities,514844100000.0,430322690000.0,117918500000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,4907390000.0,
Long Term Equity Investment,595308500000.0,586474590000.0,531970700000.0
Investment Properties,79500000.0,78660000.0,78700000.0
Goodwill And Other Intangible Assets,146370300000.0,142239900000.0,148440700000.0
Other Intangible Assets,14676100000.0,14615020000.0,26590600000.0
Goodwill,131694200000.0,127624880000.0,121850100000.0
Net PPE,4429082100000.0,4399441710000.0,4270827000000.0
Accumulated Depreciation,,-2868466840000.0,
Gross PPE,1878262900000.0,7267908550000.0,4270827000000.0
Construction In Progress,231644200000.0,237516090000.0,246389100000.0
Other Properties,1646618700000.0,441981320000.0,1608757800000.0
Machinery Furniture Equipment,,1932099620000.0,
Buildings And Improvements,,188864470000.0,
Land And Improvements,,178948140000.0,
Properties,,4288498910000.0,2415680100000.0
Current Assets,1449610700000.0,1347965420000.0,1418770200000.0
Other Current Assets,91238800000.0,14983190000.0,63570000000.0
Hedging Assets Current,,954770000.0,
Assets Held For Sale Current,142200000.0,131050000.0,234900000.0
Restricted Cash,,86022260000.0,
Prepaid Assets,,39372930000.0,
Inventory,554607200000.0,589563300000.0,532257100000.0
Finished Goods,,295414380000.0,
Work In Process,,36487450000.0,
Raw Materials,,257661470000.0,
Other Receivables,4683000000.0,101235990000.0,4101900000.0
Taxes Receivable,1253600000.0,7790000.0,59500000.0
Accounts Receivable,210373600000.0,212277990000.0,192537600000.0
Allowance For Doubtful Accounts Receivable,,-8486220000.0,
Gross Accounts Receivable,,220764210000.0,
Cash Cash Equivalents And Short Term Investments,587312300000.0,303416150000.0,626009200000.0
Other Short Term Investments,522552700000.0,286740290000.0,491187900000.0
Cash And Cash Equivalents,64759600000.0,16675860000.0,134821300000.0
