,2025-03-31,2024-09-30
Ordinary Shares Number,9300603819.0,9300603819.0
Share Issued,9300603819.0,9300603819.0
Net Debt,1313145400000.0,1186521800000.0
Total Debt,1345177100000.0,1225675000000.0
Tangible Book Value,909119400000.0,904761200000.0
Invested Capital,2236277700000.0,2145603200000.0
Working Capital,-111062500000.0,-156559200000.0
Net Tangible Assets,909119400000.0,904761200000.0
Capital Lease Obligations,652500000.0,682500000.0
Common Stock Equity,926628100000.0,920610700000.0
Total Capitalization,2060082600000.0,1961735500000.0
Total Equity Gross Minority Interest,926628100000.0,920610700000.0
Stockholders Equity,926628100000.0,920610700000.0
Other Equity Interest,833622100000.0,827604700000.0
Retained Earnings,24451100000.0,
Additional Paid In Capital,55092800000.0,
Capital Stock,93006000000.0,93006000000.0
Common Stock,93006000000.0,93006000000.0
Total Liabilities Net Minority Interest,1734443800000.0,1632358300000.0
Total Non Current Liabilities Net Minority Interest,1331992600000.0,1192432400000.0
Other Non Current Liabilities,99100000.0,2310300000.0
Non Current Deferred Revenue,79231600000.0,
Non Current Deferred Taxes Liabilities,107054200000.0,105265800000.0
Long Term Debt And Capital Lease Obligation,1099100400000.0,1041753800000.0
Long Term Capital Lease Obligation,520900000.0,629000000.0
Long Term Debt,1133454500000.0,1041124800000.0
Long Term Provisions,7265600000.0,6872900000.0
Current Liabilities,406055300000.0,439925900000.0
Other Current Liabilities,4715000000.0,31988600000.0
Current Debt And Capital Lease Obligation,211201700000.0,183921200000.0
Current Capital Lease Obligation,131600000.0,53500000.0
Current Debt,211070100000.0,183867700000.0
Pensionand Other Post Retirement Benefit Plans Current,772400000.0,
Current Provisions,6313700000.0,8126200000.0
Payables,7862200000.0,6119300000.0
Total Tax Payable,1657800000.0,1673700000.0
Accounts Payable,61051800000.0,4445600000.0
Total Assets,2661071900000.0,2552969000000.0
Total Non Current Assets,2366079300000.0,2269602300000.0
Other Non Current Assets,170816200000.0,157304500000.0
Non Current Prepaid Assets,1651500000.0,
Non Current Deferred Taxes Assets,886400000.0,663600000.0
Investmentin Financial Assets,14072900000.0,105407900000.0
Available For Sale Securities,14072900000.0,105407900000.0
Long Term Equity Investment,18830600000.0,19448300000.0
Investmentsin Joint Venturesat Cost,18830600000.0,
Goodwill And Other Intangible Assets,17508700000.0,15849500000.0
Other Intangible Assets,17508700000.0,15849500000.0
Net PPE,2041543700000.0,1963606700000.0
Accumulated Depreciation,-1103676300000.0,
Gross PPE,3172776000000.0,1963606700000.0
Construction In Progress,360242300000.0,237672200000.0
Other Properties,13566200000.0,1725934500000.0
Machinery Furniture Equipment,2715134800000.0,
Buildings And Improvements,41201100000.0,
Land And Improvements,40595300000.0,
Properties,2036300000.0,
Current Assets,294992800000.0,283366700000.0
Other Current Assets,3766800000.0,5248700000.0
Assets Held For Sale Current,0.0,2608600000.0
Current Deferred Assets,104700000.0,
Restricted Cash,35458600000.0,
Inventory,18025200000.0,14046100000.0
Other Receivables,85833700000.0,1355800000.0
Accounts Receivable,79647500000.0,108164000000.0
Allowance For Doubtful Accounts Receivable,-3037900000.0,
Gross Accounts Receivable,82685400000.0,
Cash Cash Equivalents And Short Term Investments,67515400000.0,151943500000.0
Other Short Term Investments,154245600000.0,113472800000.0
Cash And Cash Equivalents,37967900000.0,38470700000.0
Cash Equivalents,23720800000.0,
