,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1002829838.0,1002351320.0,1002135083.0,1002089000.0,1001923954.0
Share Issued,1002829838.0,1002351320.0,1002135083.0,1002089000.0,1001923954.0
Tangible Book Value,190195900000.0,178383400000.0,169706100000.0,165985100000.0,162591400000.0
Invested Capital,190195900000.0,178383400000.0,169853500000.0,165985100000.0,162591400000.0
Net Tangible Assets,190195900000.0,178383400000.0,169706100000.0,165985100000.0,162591400000.0
Common Stock Equity,190195900000.0,178383400000.0,169853500000.0,165985100000.0,162591400000.0
Total Capitalization,190195900000.0,178383400000.0,169853500000.0,165985100000.0,162591400000.0
Total Equity Gross Minority Interest,190195900000.0,178383400000.0,169853500000.0,165985100000.0,162591400000.0
Stockholders Equity,190195900000.0,178383400000.0,169853500000.0,165985100000.0,162591400000.0
Other Equity Interest,1300000.0,1800000.0,45600000.0,6500000.0,1100000.0
Retained Earnings,,,156305700000.0,,
Additional Paid In Capital,,,1556600000.0,,
Capital Stock,10028300000.0,10023500000.0,10021400000.0,10020900000.0,10019200000.0
Common Stock,10028300000.0,10023500000.0,10021400000.0,10020900000.0,10019200000.0
Total Liabilities Net Minority Interest,5016513100000.0,4672418800000.0,4401100800000.0,4345024400000.0,4322383100000.0
Derivative Product Liabilities,,,10488500000.0,,
Non Current Deferred Taxes Liabilities,,,0.0,,
Long Term Provisions,5338700000.0,4252600000.0,3814200000.0,3887400000.0,4077300000.0
Payables,,,36890000000.0,,
Other Payable,,,890600000.0,,
Total Tax Payable,,,4651900000.0,,
Accounts Payable,,,31347500000.0,,
Total Assets,5206709000000.0,4850802200000.0,4570954300000.0,4511009500000.0,4484974500000.0
Financial Assets,,,11471800000.0,,
Investments And Advances,2275393900000.0,2083111200000.0,1657013600000.0,1919783500000.0,1847700800000.0
Investmentin Financial Assets,2275393900000.0,2083111200000.0,1655286700000.0,1919783500000.0,1847700800000.0
Available For Sale Securities,2275393900000.0,2083111200000.0,303038300000.0,1919783500000.0,1847700800000.0
Long Term Equity Investment,,,0.0,,
Investmentsin Subsidiariesat Cost,,,0.0,,
Investment Properties,,,315029900000.0,,
Goodwill And Other Intangible Assets,,,147400000.0,,
Other Intangible Assets,,,147400000.0,,
Goodwill,,,0.0,,
Net PPE,6371100000.0,6186000000.0,5755900000.0,5645200000.0,5629600000.0
Accumulated Depreciation,,,-5011600000.0,,
Gross PPE,,,10767500000.0,,
Construction In Progress,,,100200000.0,,
Other Properties,,,2500000.0,,
Machinery Furniture Equipment,,,4816300000.0,,
Buildings And Improvements,,,4086000000.0,,
Land And Improvements,,,1762500000.0,,
Prepaid Assets,,,1244000000.0,64213900000.0,74010200000.0
Receivables Adjustments Allowances,,,-400000.0,,
Other Receivables,,,41510200000.0,,
Taxes Receivable,,,2976200000.0,,
Accounts Receivable,,,7880200000.0,,
Cash Cash Equivalents And Short Term Investments,19143600000.0,24400300000.0,19562700000.0,41526900000.0,41736500000.0
Other Short Term Investments,,,1726900000.0,,
Cash And Cash Equivalents,19143600000.0,24400300000.0,17835800000.0,41526900000.0,41736500000.0
