,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,9230617586.0,8924620034.0,8924620034.0,8924620034.0,8924620034.0
Share Issued,9230617586.0,8924620034.0,8924620034.0,8924620034.0,8924620034.0
Net Debt,3719946400000.0,1959881300000.0,2529243000000.0,4035698200000.0,2516904100000.0
Total Debt,6853876200000.0,5861700400000.0,6181254399000.0,7560226200000.0,6066625100000.0
Tangible Book Value,5920159000000.0,5204755700000.0,4856170803000.0,4801911100000.0,4630497500000.0
Invested Capital,12774035200000.0,11066456100000.0,11051621986000.0,12362137300000.0,10697122600000.0
Net Tangible Assets,5920159000000.0,5204755700000.0,4856170803000.0,4801911100000.0,4630497500000.0
Common Stock Equity,5920159000000.0,5204755700000.0,4870367587000.0,4801911100000.0,4630497500000.0
Total Capitalization,12774035200000.0,11066456100000.0,11051621986000.0,12362137300000.0,10697122600000.0
Total Equity Gross Minority Interest,6112227900000.0,5396479400000.0,5050625975000.0,4984429000000.0,4808118400000.0
Minority Interest,192068900000.0,191723700000.0,180258388000.0,182517900000.0,177620900000.0
Stockholders Equity,5920159000000.0,5204755700000.0,4870367587000.0,4801911100000.0,4630497500000.0
Fixed Assets Revaluation Reserve,,,273556167000.0,,
Retained Earnings,,,1084468560000.0,,
Additional Paid In Capital,,,791156048000.0,,
Capital Stock,9230600000.0,8924600000.0,8924620000.0,8924600000.0,8924600000.0
Common Stock,9230600000.0,8924600000.0,8924620000.0,8924600000.0,8924600000.0
Total Liabilities Net Minority Interest,72698469800000.0,69046434900000.0,68091227433000.0,67470747500000.0,64825235200000.0
Derivative Product Liabilities,,,198463684000.0,,
Long Term Debt And Capital Lease Obligation,6853876200000.0,5861700400000.0,6181254399000.0,7560226200000.0,6066625100000.0
Payables,,,390323300000.0,,
Accounts Payable,,,390323300000.0,,
Total Assets,78810697700000.0,74442914300000.0,73141853408000.0,72455176500000.0,69633353600000.0
Investments And Advances,23178809300000.0,22297366500000.0,22234039266000.0,23129545200000.0,21620007400000.0
Investmentin Financial Assets,23178809300000.0,22297366500000.0,22055314238000.0,23129545200000.0,21620007400000.0
Available For Sale Securities,,,1366779740000.0,,
Long Term Equity Investment,,,178725028000.0,,
Investmentsin Associatesat Cost,,,2030579000.0,,
Investmentsin Subsidiariesat Cost,,,176694449000.0,,
Goodwill And Other Intangible Assets,,,14196784000.0,,
Goodwill,,,14196784000.0,,
Net PPE,557374000000.0,537940600000.0,463376954000.0,455519400000.0,452387800000.0
Accumulated Depreciation,,,-423582775000.0,,
Gross PPE,,,886959729000.0,,
Construction In Progress,,,5742151000.0,,
Other Properties,,,517082247000.0,,
Properties,,,364135331000.0,,
Prepaid Assets,,,317851576000.0,,
Receivables,,,2992518234000.0,,
Cash And Cash Equivalents,3133929800000.0,3901819100000.0,6208491788000.0,3524528000000.0,3549721000000.0
Cash Equivalents,,,301612053000.0,,
Cash Financial,1861038600000.0,2629654300000.0,185914673000.0,2339193800000.0,2643889200000.0
Cash Cash Equivalents And Federal Funds Sold,3133929800000.0,3901819100000.0,6208491788000.0,3524528000000.0,3549721000000.0
