,2025-03-31,2024-09-30
Ordinary Shares Number,36080748.0,36080748.0
Share Issued,36080748.0,36080748.0
Net Debt,6757700000.0,13661100000.0
Total Debt,10461300000.0,16822000000.0
Tangible Book Value,214998400000.0,207730300000.0
Invested Capital,223546700000.0,223256100000.0
Working Capital,63462200000.0,59148300000.0
Net Tangible Assets,214998400000.0,207730300000.0
Capital Lease Obligations,2292100000.0,2358700000.0
Common Stock Equity,215377500000.0,208792800000.0
Total Capitalization,222643500000.0,215967600000.0
Total Equity Gross Minority Interest,215785200000.0,209203400000.0
Minority Interest,407700000.0,410600000.0
Stockholders Equity,215377500000.0,208792800000.0
Other Equity Interest,215016700000.0,208432000000.0
Retained Earnings,114765600000.0,
Additional Paid In Capital,24236300000.0,
Capital Stock,360800000.0,360800000.0
Common Stock,360800000.0,360800000.0
Total Liabilities Net Minority Interest,69132400000.0,69382100000.0
Total Non Current Liabilities Net Minority Interest,11571100000.0,10567400000.0
Other Non Current Liabilities,533900000.0,235700000.0
Derivative Product Liabilities,0.0,
Non Current Accrued Expenses,0.0,
Non Current Deferred Revenue,1312600000.0,
Non Current Deferred Taxes Liabilities,274500000.0,338300000.0
Long Term Debt And Capital Lease Obligation,9109000000.0,8920100000.0
Long Term Capital Lease Obligation,1843000000.0,1745300000.0
Long Term Debt,7266000000.0,7174800000.0
Long Term Provisions,341100000.0,279500000.0
Current Liabilities,57561300000.0,58814700000.0
Other Current Liabilities,16125200000.0,17773800000.0
Current Debt And Capital Lease Obligation,1352300000.0,7901900000.0
Current Capital Lease Obligation,449100000.0,613400000.0
Current Debt,903200000.0,7288500000.0
Current Provisions,146700000.0,233500000.0
Payables,19519800000.0,13743800000.0
Other Payable,1700900000.0,
Dividends Payable,140100000.0,
Total Tax Payable,4068500000.0,4002100000.0
Accounts Payable,13610300000.0,9741700000.0
Total Assets,284917600000.0,278585500000.0
Total Non Current Assets,163894100000.0,160622500000.0
Other Non Current Assets,6281300000.0,10296800000.0
Non Current Prepaid Assets,1478700000.0,
Non Current Deferred Taxes Assets,8038200000.0,7480800000.0
Financial Assets,0.0,
Investmentin Financial Assets,13989400000.0,16138800000.0
Available For Sale Securities,12354000000.0,16138800000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1635400000.0,
Goodwill And Other Intangible Assets,379100000.0,1062500000.0
Other Intangible Assets,379100000.0,
Net PPE,135361400000.0,123273300000.0
Accumulated Depreciation,-150371000000.0,
Gross PPE,285732400000.0,123273300000.0
Construction In Progress,42593300000.0,27771100000.0
Other Properties,12400000.0,95502200000.0
Machinery Furniture Equipment,187278000000.0,
Buildings And Improvements,20944200000.0,
Land And Improvements,34317800000.0,
Properties,586700000.0,
Current Assets,121023500000.0,117963000000.0
Other Current Assets,13640600000.0,14306800000.0
Hedging Assets Current,8800000.0,
Assets Held For Sale Current,100000.0,
Restricted Cash,728700000.0,
Prepaid Assets,1457000000.0,
Inventory,24436400000.0,26826200000.0
Other Inventories,498300000.0,
Finished Goods,1589300000.0,
Work In Process,3969100000.0,
Raw Materials,18379700000.0,
Other Receivables,12988200000.0,34500000.0
Accounts Receivable,14014600000.0,18123100000.0
Allowance For Doubtful Accounts Receivable,-616300000.0,
Gross Accounts Receivable,14630900000.0,
Cash Cash Equivalents And Short Term Investments,67389700000.0,58672400000.0
Other Short Term Investments,65978200000.0,57870200000.0
Cash And Cash Equivalents,1411500000.0,802200000.0
Cash Equivalents,301600000.0,
Cash Financial,1109900000.0,
