,2025-03-31,2024-09-30
Ordinary Shares Number,1880383880.0,1879946320.0
Share Issued,1880383880.0,1879946320.0
Net Debt,1583421700000.0,1404690000000.0
Total Debt,1788397000000.0,1576232100000.0
Tangible Book Value,545814200000.0,500976800000.0
Invested Capital,2345908700000.0,2100149100000.0
Net Tangible Assets,545814200000.0,500976800000.0
Common Stock Equity,564698200000.0,523917000000.0
Total Capitalization,2345908700000.0,2100149100000.0
Total Equity Gross Minority Interest,564698200000.0,531422400000.0
Minority Interest,0.0,7505400000.0
Stockholders Equity,564698200000.0,523917000000.0
Other Equity Interest,429200000.0,520157100000.0
Retained Earnings,242421400000.0,
Additional Paid In Capital,175968900000.0,
Capital Stock,3760800000.0,3759900000.0
Common Stock,3760800000.0,3759900000.0
Total Liabilities Net Minority Interest,2372523400000.0,2219443300000.0
Derivative Product Liabilities,,700000.0
Long Term Debt And Capital Lease Obligation,1788397000000.0,1576232100000.0
Payables,11667800000.0,8003200000.0
Other Payable,8100000000.0,17700000.0
Dividends Payable,124900000.0,
Total Tax Payable,389800000.0,5007600000.0
Accounts Payable,3442900000.0,2977900000.0
Total Assets,2937221600000.0,2750865700000.0
Investments And Advances,160382400000.0,119965500000.0
Investmentin Financial Assets,158356200000.0,119965500000.0
Available For Sale Securities,110233000000.0,116866900000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,45622300000.0,
Long Term Equity Investment,2026200000.0,
Investmentsin Associatesat Cost,2026200000.0,
Investment Properties,0.0,0.0
Goodwill And Other Intangible Assets,18884000000.0,22940200000.0
Other Intangible Assets,6989500000.0,8872900000.0
Goodwill,11894500000.0,14067300000.0
Net PPE,10367800000.0,9207600000.0
Accumulated Depreciation,-13133200000.0,
Gross PPE,23501000000.0,
Construction In Progress,111000000.0,
Other Properties,137300000.0,
Machinery Furniture Equipment,4530100000.0,
Buildings And Improvements,18716700000.0,
Land And Improvements,5900000.0,
Prepaid Assets,324900000.0,
Receivables,2538000000.0,3165400000.0
Taxes Receivable,6433100000.0,6873900000.0
Cash And Cash Equivalents,197788800000.0,171542100000.0
Cash Equivalents,-5400000.0,
Cash Financial,2212800000.0,
Cash Cash Equivalents And Federal Funds Sold,214324700000.0,171542100000.0
