,2025-03-31,2024-09-30
Ordinary Shares Number,989498558.0,989403547.0
Share Issued,989498558.0,989403547.0
Net Debt,,4399900000.0
Total Debt,23926800000.0,29546500000.0
Tangible Book Value,13007700000.0,2589300000.0
Invested Capital,218497300000.0,215289300000.0
Working Capital,31013500000.0,24256900000.0
Net Tangible Assets,13007700000.0,2589300000.0
Capital Lease Obligations,5440300000.0,5575500000.0
Common Stock Equity,200010800000.0,191318300000.0
Total Capitalization,201917600000.0,192848300000.0
Total Equity Gross Minority Interest,213903000000.0,205164400000.0
Minority Interest,13892200000.0,13846100000.0
Stockholders Equity,200010800000.0,191318300000.0
Other Equity Interest,234500000.0,190328900000.0
Retained Earnings,75849100000.0,
Additional Paid In Capital,99812000000.0,
Capital Stock,989500000.0,989400000.0
Common Stock,989500000.0,989400000.0
Total Liabilities Net Minority Interest,105873800000.0,104533700000.0
Total Non Current Liabilities Net Minority Interest,47190800000.0,50379000000.0
Other Non Current Liabilities,272000000.0,287900000.0
Non Current Pension And Other Postretirement Benefit Plans,1914500000.0,
Tradeand Other Payables Non Current,1247100000.0,
Non Current Deferred Taxes Liabilities,21873800000.0,21320300000.0
Long Term Debt And Capital Lease Obligation,6643100000.0,6467300000.0
Long Term Capital Lease Obligation,4736300000.0,4937300000.0
Long Term Debt,1906800000.0,1530000000.0
Long Term Provisions,134600000.0,2466700000.0
Current Liabilities,58683000000.0,54154700000.0
Other Current Liabilities,1193000000.0,1570700000.0
Current Debt And Capital Lease Obligation,17283700000.0,23079200000.0
Current Capital Lease Obligation,704000000.0,638200000.0
Current Debt,16579700000.0,22441000000.0
Pensionand Other Post Retirement Benefit Plans Current,436700000.0,
Current Provisions,1065000000.0,1494500000.0
Payables,37571100000.0,25511600000.0
Other Payable,2190700000.0,
Dividends Payable,211100000.0,
Total Tax Payable,85000000.0,85800000.0
Accounts Payable,35084300000.0,25425800000.0
Total Assets,319776800000.0,309698100000.0
Total Non Current Assets,230080300000.0,231286500000.0
Other Non Current Assets,297200000.0,1588100000.0
Defined Pension Benefit,88600000.0,
Non Current Prepaid Assets,2433800000.0,
Non Current Deferred Taxes Assets,1470600000.0,1491500000.0
Investmentin Financial Assets,2476700000.0,4395500000.0
Available For Sale Securities,2476700000.0,4395500000.0
Long Term Equity Investment,4287800000.0,3020800000.0
Investmentsin Joint Venturesat Cost,3157000000.0,
Investmentsin Associatesat Cost,1130800000.0,
Investment Properties,2135800000.0,2147800000.0
Goodwill And Other Intangible Assets,187003100000.0,188729000000.0
Other Intangible Assets,73698900000.0,75237100000.0
Goodwill,113304200000.0,113491900000.0
Net PPE,27810500000.0,28168100000.0
Accumulated Depreciation,-17636300000.0,
Gross PPE,45446800000.0,28168100000.0
Construction In Progress,2068100000.0,1927700000.0
Other Properties,833700000.0,26240400000.0
Machinery Furniture Equipment,31006400000.0,
Buildings And Improvements,9636100000.0,
Land And Improvements,1902500000.0,
Properties,0.0,
Current Assets,89696500000.0,78411600000.0
Other Current Assets,6969000000.0,6179500000.0
Hedging Assets Current,383700000.0,
Restricted Cash,211100000.0,
Prepaid Assets,2145700000.0,
Inventory,35999100000.0,33058800000.0
Finished Goods,17714400000.0,
Work In Process,375800000.0,
Raw Materials,17908900000.0,
Other Receivables,5996300000.0,2886100000.0
Taxes Receivable,5151600000.0,338000000.0
Accounts Receivable,8697900000.0,10022700000.0
Allowance For Doubtful Accounts Receivable,-635100000.0,
Gross Accounts Receivable,9333000000.0,
Cash Cash Equivalents And Short Term Investments,31098800000.0,25926500000.0
Other Short Term Investments,3839500000.0,6355400000.0
Cash And Cash Equivalents,27259300000.0,19571100000.0
Cash Equivalents,12955500000.0,
Cash Financial,14303800000.0,
