,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,355487461.0,355487461.0,355487461.0
Share Issued,355487461.0,355487461.0,355487461.0
Net Debt,3062000000.0,1607300000.0,2816300000.0
Total Debt,23485700000.0,22371900000.0,18422000000.0
Tangible Book Value,60293400000.0,53461800000.0,46054000000.0
Invested Capital,66011000000.0,59609400000.0,51785800000.0
Working Capital,7478600000.0,16627600000.0,16214400000.0
Net Tangible Assets,60293400000.0,53461800000.0,46054000000.0
Capital Lease Obligations,18490300000.0,17379900000.0,13433200000.0
Common Stock Equity,61015600000.0,54617400000.0,46797000000.0
Total Capitalization,61015600000.0,59609400000.0,51785800000.0
Total Equity Gross Minority Interest,62147300000.0,55833600000.0,47195400000.0
Minority Interest,1131700000.0,1216200000.0,398400000.0
Stockholders Equity,61015600000.0,54617400000.0,46797000000.0
Other Equity Interest,60660100000.0,54261900000.0,46441500000.0
Retained Earnings,,30494400000.0,
Additional Paid In Capital,,20313000000.0,
Capital Stock,355500000.0,355500000.0,355500000.0
Common Stock,355500000.0,355500000.0,355500000.0
Total Liabilities Net Minority Interest,45206900000.0,38362800000.0,35545100000.0
Total Non Current Liabilities Net Minority Interest,13825400000.0,18255900000.0,15055500000.0
Other Non Current Liabilities,124300000.0,17800000.0,83100000.0
Non Current Pension And Other Postretirement Benefit Plans,,1657800000.0,
Tradeand Other Payables Non Current,,464700000.0,
Non Current Deferred Revenue,,105600000.0,
Long Term Debt And Capital Lease Obligation,11222500000.0,16010000000.0,13719400000.0
Long Term Capital Lease Obligation,11222500000.0,11018000000.0,8730600000.0
Long Term Debt,0.0,4992000000.0,4988800000.0
Long Term Provisions,1948700000.0,1657800000.0,1040000000.0
Current Liabilities,31381500000.0,20106900000.0,20489600000.0
Other Current Liabilities,1146200000.0,419700000.0,1812600000.0
Current Debt And Capital Lease Obligation,12263200000.0,6361900000.0,4702600000.0
Current Capital Lease Obligation,7267800000.0,6361900000.0,4702600000.0
Current Debt,4995400000.0,,
Pensionand Other Post Retirement Benefit Plans Current,,270800000.0,
Current Provisions,221300000.0,270800000.0,1599200000.0
Payables,14922300000.0,12452400000.0,10057400000.0
Other Payable,,3120000000.0,
Dividends Payable,,13300000.0,
Total Tax Payable,60200000.0,37200000.0,250000000.0
Accounts Payable,14862100000.0,9281900000.0,9807400000.0
Total Assets,107354200000.0,94196400000.0,82740500000.0
Total Non Current Assets,68494100000.0,57461900000.0,46036500000.0
Other Non Current Assets,4292100000.0,4300000.0,3054500000.0
Non Current Prepaid Assets,,628700000.0,
Non Current Deferred Taxes Assets,783400000.0,434700000.0,564600000.0
Investmentin Financial Assets,15579500000.0,2800300000.0,12180400000.0
Held To Maturity Securities,,1983700000.0,
Available For Sale Securities,15579500000.0,528700000.0,12180400000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,287900000.0,
Long Term Equity Investment,,5655300000.0,
Investment Properties,304300000.0,268600000.0,266500000.0
Goodwill And Other Intangible Assets,722200000.0,1155600000.0,743000000.0
Other Intangible Assets,450300000.0,663500000.0,471100000.0
Goodwill,271900000.0,492100000.0,271900000.0
Net PPE,46801300000.0,46477600000.0,29212600000.0
Accumulated Depreciation,,-17745700000.0,
Gross PPE,46801300000.0,64223300000.0,29212600000.0
Construction In Progress,1960500000.0,8532000000.0,2186300000.0
Other Properties,44840800000.0,37949900000.0,27026300000.0
Machinery Furniture Equipment,,18191300000.0,
Buildings And Improvements,,36639700000.0,
Land And Improvements,,860300000.0,
Properties,,0.0,
Current Assets,38860100000.0,36734500000.0,36704000000.0
Other Current Assets,4700100000.0,4026100000.0,3651800000.0
Assets Held For Sale Current,0.0,91400000.0,185500000.0
Restricted Cash,,13700000.0,
Prepaid Assets,,2246100000.0,
Inventory,22424600000.0,20450500000.0,20120200000.0
Other Inventories,,305900000.0,
Finished Goods,,20117700000.0,
Raw Materials,,26900000.0,
Other Receivables,29800000.0,3548100000.0,183500000.0
Taxes Receivable,14800000.0,23600000.0,15900000.0
Accounts Receivable,586000000.0,629500000.0,624100000.0
Allowance For Doubtful Accounts Receivable,,-5800000.0,
Gross Accounts Receivable,,635300000.0,
Cash Cash Equivalents And Short Term Investments,11104800000.0,9731600000.0,11923000000.0
Other Short Term Investments,9171400000.0,6346900000.0,9750500000.0
Cash And Cash Equivalents,1933400000.0,3384700000.0,2172500000.0
Cash Equivalents,,60100000.0,
Cash Financial,,3324600000.0,
