,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,11416309714.466246,,0.0,10533514725.418495,0.0,0.0
Tax Rate For Calcs,0.202701,,0.389591,0.244186,0.3,0.2127
Normalized EBITDA,30579700000.0,,29773900000.0,16509700000.0,19821100000.0,36589100000.0
Total Unusual Items,56320900000.0,,0.0,43137200000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,56320900000.0,,0.0,43137200000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,56270200000.0,,7344100000.0,38449200000.0,614900000.0,17472900000.0
Reconciled Cost Of Revenue,146180900000.0,,119552800000.0,278436900000.0,131159000000.0,119477400000.0
EBITDA,86900600000.0,,29773900000.0,59646900000.0,19821100000.0,36589100000.0
EBIT,86900600000.0,,29773900000.0,59646900000.0,19821100000.0,36589100000.0
Net Interest Income,-17581300000.0,,-15111100000.0,2883200000.0,-14065500000.0,-12500200000.0
Interest Expense,17581300000.0,,15111100000.0,7059600000.0,14065500000.0,12500200000.0
Normalized Income,11365609714.466246,,7344100000.0,5845514725.418495,614900000.0,17472900000.0
Net Income From Continuing And Discontinued Operation,56270200000.0,,7344100000.0,38449200000.0,578300000.0,17417500000.0
Total Expenses,225496600000.0,,199348600000.0,241924600000.0,207836600000.0,198774600000.0
Diluted Average Shares,1220082394.0,1205053743.0,1258350573.0,,1190510909.0,1212263911.0
Basic Average Shares,1202868747.0,1205053743.0,1258350573.0,,1190510909.0,1212263911.0
Diluted EPS,46.12,26.544459,5.836291,,0.04,14.367746
Basic EPS,46.78,26.544459,5.836291,,0.04,14.367746
Diluted NI Availto Com Stockholders,56270200000.0,,7344100000.0,36882600000.0,578300000.0,17417500000.0
Net Income Common Stockholders,56270200000.0,,7344100000.0,36882600000.0,578300000.0,17417500000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,1566600000.0,0.0,0.0
Net Income,56270200000.0,,7344100000.0,38449200000.0,578300000.0,17417500000.0
Minority Interests,-995500000.0,,-2420700000.0,-1699800000.0,-1708100000.0,-2474400000.0
Net Income Including Noncontrolling Interests,57265700000.0,,9764800000.0,40149000000.0,2286400000.0,19891900000.0
Net Income Discontinuous Operations,0.0,,0.0,0.0,-36600000.0,-55400000.0
Net Income Continuous Operations,57265700000.0,,9764800000.0,40149000000.0,2323000000.0,19947300000.0
Tax Provision,14051100000.0,,5712500000.0,12841100000.0,5884400000.0,5123700000.0
Pretax Income,69319300000.0,,14662800000.0,52587300000.0,5755600000.0,24088900000.0
Other Non Operating Income Expenses,6558500000.0,,4754200000.0,-11407200000.0,6521200000.0,5881100000.0
Special Income Charges,56320900000.0,,0.0,41461700000.0,0.0,0.0
Other Special Charges,-56320900000.0,,,,,
Net Non Operating Interest Income Expense,-17581300000.0,,-15111100000.0,2883200000.0,-14065500000.0,-12500200000.0
Interest Expense Non Operating,17581300000.0,,15111100000.0,7059600000.0,14065500000.0,12500200000.0
Operating Income,22699300000.0,,20263400000.0,25897300000.0,20647600000.0,27306100000.0
Operating Expense,79315700000.0,,79795800000.0,-36512300000.0,76677600000.0,79297200000.0
Other Operating Expenses,70374000000.0,,70168100000.0,-65913400000.0,69262800000.0,71874400000.0
Gross Profit,102015000000.0,,100059200000.0,-10615000000.0,97325200000.0,106603300000.0
Cost Of Revenue,146180900000.0,,119552800000.0,278436900000.0,131159000000.0,119477400000.0
Total Revenue,248195900000.0,,219612000000.0,267821900000.0,228484200000.0,226080700000.0
Operating Revenue,248195900000.0,,219612000000.0,267821900000.0,228484200000.0,226080700000.0
