,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-584659907.16533,-540447317.808504,-561539320.99447,-279047439.790455,179670724.428717
Tax Rate For Calcs,0.157251,0.139568,0.144066,0.16606,0.163814
Normalized EBITDA,48181300000.0,50175100000.0,45057500000.0,39465900000.0,34640500000.0
Total Unusual Items,-3718000000.0,-3872300000.0,-3897800000.0,-1680400000.0,1096800000.0
Total Unusual Items Excluding Goodwill,-3718000000.0,-3872300000.0,-3897800000.0,-1680400000.0,1096800000.0
Net Income From Continuing Operation Net Minority Interest,30536100000.0,33145900000.0,30142200000.0,25202600000.0,24450000000.0
Reconciled Cost Of Revenue,48279400000.0,43504100000.0,16563600000.0,37414300000.0,33454500000.0
EBITDA,44463300000.0,46302800000.0,41159700000.0,37785500000.0,35737300000.0
EBIT,44463300000.0,46302800000.0,41159700000.0,37785500000.0,35737300000.0
Net Interest Income,-8356100000.0,-7826800000.0,55000000.0,-7586800000.0,-6885600000.0
Interest Expense,8356100000.0,7826800000.0,5840400000.0,7586800000.0,6885600000.0
Normalized Income,33669440092.83467,36477752682.1915,33478460679.00553,26603952560.209545,23532870724.42872
Net Income From Continuing And Discontinued Operation,30536100000.0,33145900000.0,30142200000.0,25202600000.0,24450000000.0
Total Expenses,53028700000.0,48857200000.0,45912800000.0,42672500000.0,37747200000.0
Diluted Average Shares,2174935897.0,2160749674.0,,2159605827.0,2159893993.0
Basic Average Shares,2174935897.0,2160749674.0,,2159605827.0,2159893993.0
Diluted EPS,14.04,15.34,,11.67,11.32
Basic EPS,14.04,15.34,,11.67,11.32
Diluted NI Availto Com Stockholders,30536100000.0,33145900000.0,30142200000.0,25202600000.0,24450000000.0
Net Income Common Stockholders,30536100000.0,33145900000.0,30142200000.0,25202600000.0,24450000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,30536100000.0,33145900000.0,30142200000.0,25202600000.0,24450000000.0
Minority Interests,106800000.0,39900000.0,-88800000.0,18700000.0,324600000.0
Net Income Including Noncontrolling Interests,30429300000.0,33106000000.0,30231000000.0,25183900000.0,24125400000.0
Net Income Extraordinary,,,0.0,0.0,
Net Income Continuous Operations,30429300000.0,33106000000.0,30231000000.0,25183900000.0,24125400000.0
Tax Provision,5677900000.0,5370000000.0,5088300000.0,5014800000.0,4726300000.0
Pretax Income,36107200000.0,38476000000.0,35319300000.0,30198700000.0,28851700000.0
Other Non Operating Income Expenses,2340800000.0,2960400000.0,-7586200000.0,2233500000.0,3053500000.0
Special Income Charges,-1460800000.0,0.0,-4661500000.0,-278500000.0,-517700000.0
Other Special Charges,1460800000.0,,2825000000.0,278500000.0,
Restructuring And Mergern Acquisition,,,1836500000.0,278500000.0,517700000.0
Net Non Operating Interest Income Expense,-8356100000.0,-7826800000.0,55000000.0,-7586800000.0,-6885600000.0
Interest Expense Non Operating,8356100000.0,7826800000.0,5840400000.0,7586800000.0,6885600000.0
Operating Income,44017200000.0,42404200000.0,38971600000.0,36963000000.0,32923000000.0
Operating Expense,4749300000.0,5353100000.0,29349200000.0,5258200000.0,4292700000.0
Other Operating Expenses,4749300000.0,5353100000.0,11814900000.0,5258200000.0,4292700000.0
Gross Profit,48766500000.0,47757300000.0,68320800000.0,42221200000.0,37215700000.0
Cost Of Revenue,48279400000.0,43504100000.0,16563600000.0,37414300000.0,33454500000.0
Total Revenue,97045900000.0,91261400000.0,84884400000.0,79635500000.0,70670200000.0
Operating Revenue,97045900000.0,91261400000.0,84884400000.0,79635500000.0,70670200000.0
