,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-46648680.351906,0.0,139303588.748788,0.0,0.0
Tax Rate For Calcs,0.242962,0.243178,0.195926,0.292428,0.290097
Normalized EBITDA,10330000000.0,9057000000.0,7342000000.0,8306000000.0,8594000000.0
Total Unusual Items,-192000000.0,,711000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-192000000.0,,711000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,5023000000.0,4328000000.0,3896000000.0,3723000000.0,3788000000.0
Reconciled Depreciation,2192000000.0,2147000000.0,2110000000.0,1846000000.0,1845000000.0
Reconciled Cost Of Revenue,33824000000.0,30476000000.0,29286000000.0,29007000000.0,28577000000.0
EBITDA,10138000000.0,9057000000.0,8053000000.0,8306000000.0,8594000000.0
EBIT,7946000000.0,6910000000.0,5943000000.0,6460000000.0,6749000000.0
Net Interest Income,-1126000000.0,-1083000000.0,-225000000.0,-1098000000.0,-1175000000.0
Interest Expense,1126000000.0,1083000000.0,788000000.0,1098000000.0,1175000000.0
Normalized Income,5168351319.648094,4328000000.0,3324303588.748788,3723000000.0,3788000000.0
Net Income From Continuing And Discontinued Operation,5023000000.0,4328000000.0,3896000000.0,3723000000.0,3788000000.0
Total Expenses,57313000000.0,52049000000.0,48054000000.0,49500000000.0,49583000000.0
Diluted Average Shares,143760733.0,143787375.0,,143800695.0,143811693.0
Basic Average Shares,143760733.0,143787375.0,,143800695.0,143811693.0
Diluted EPS,34.94,30.1,,25.89,26.34
Basic EPS,34.94,30.1,,25.89,26.34
Diluted NI Availto Com Stockholders,5023000000.0,4328000000.0,3896000000.0,3723000000.0,3788000000.0
Net Income Common Stockholders,5023000000.0,4328000000.0,3896000000.0,3723000000.0,3788000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,5023000000.0,4328000000.0,3896000000.0,3723000000.0,3788000000.0
Minority Interests,-140000000.0,-82000000.0,-249000000.0,-71000000.0,-169000000.0
Net Income Including Noncontrolling Interests,5163000000.0,4410000000.0,4145000000.0,3794000000.0,3957000000.0
Net Income Continuous Operations,5163000000.0,4410000000.0,4145000000.0,3794000000.0,3957000000.0
Tax Provision,1657000000.0,1417000000.0,1010000000.0,1568000000.0,1617000000.0
Pretax Income,6820000000.0,5827000000.0,5155000000.0,5362000000.0,5574000000.0
Other Non Operating Income Expenses,528000000.0,402000000.0,-1144000000.0,638000000.0,382000000.0
Special Income Charges,-192000000.0,,-63000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-1126000000.0,-1083000000.0,-225000000.0,-1098000000.0,-1175000000.0
Interest Expense Non Operating,1126000000.0,1083000000.0,788000000.0,1098000000.0,1175000000.0
Operating Income,7461000000.0,6372000000.0,5702000000.0,5769000000.0,6310000000.0
Operating Expense,23489000000.0,21573000000.0,18768000000.0,20493000000.0,21006000000.0
Other Operating Expenses,13807000000.0,12300000000.0,-17192000000.0,11783000000.0,12160000000.0
Depreciation And Amortization In Income Statement,2192000000.0,2147000000.0,2110000000.0,1846000000.0,1845000000.0
Depreciation Income Statement,2192000000.0,2147000000.0,1435000000.0,1846000000.0,1845000000.0
Gross Profit,30950000000.0,27945000000.0,24470000000.0,26262000000.0,27316000000.0
Cost Of Revenue,33824000000.0,30476000000.0,29286000000.0,29007000000.0,28577000000.0
Total Revenue,64774000000.0,58421000000.0,53756000000.0,55269000000.0,55893000000.0
Operating Revenue,64774000000.0,58421000000.0,53756000000.0,55269000000.0,55893000000.0
