,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-439429072.117871,0.0,0.0,7671947.175348,0.0,
Tax Rate For Calcs,0.278808,0.268261,0.259599,0.314424,0.256712,
Normalized EBITDA,20077100000.0,17403200000.0,18540800000.0,11504500000.0,18295500000.0,
Total Unusual Items,-1576100000.0,0.0,0.0,2256900000.0,0.0,
Total Unusual Items Excluding Goodwill,-1576100000.0,0.0,0.0,24400000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,10598700000.0,9935900000.0,10997700000.0,6921300000.0,11104800000.0,
Reconciled Depreciation,3130700000.0,3049300000.0,3008700000.0,3011000000.0,2555500000.0,
Reconciled Cost Of Revenue,49288700000.0,48463400000.0,51230500000.0,47630900000.0,49203800000.0,
EBITDA,18501000000.0,17403200000.0,18540800000.0,13761400000.0,18295500000.0,
EBIT,15370300000.0,14353900000.0,15532100000.0,10750400000.0,15740000000.0,
Net Interest Income,-479400000.0,-438700000.0,-445000000.0,1270500000.0,-558400000.0,
Interest Expense,479400000.0,438700000.0,445000000.0,527900000.0,558400000.0,
Normalized Income,11735370927.88213,9935900000.0,10997700000.0,6904571947.175348,11104800000.0,
Net Income From Continuing And Discontinued Operation,10598700000.0,9935900000.0,10997700000.0,6921300000.0,11104800000.0,
Total Expenses,73818300000.0,73152500000.0,76003900000.0,72044600000.0,71403300000.0,
Diluted Average Shares,959158371.0,959063707.0,958823017.0,,958963731.0,959447514.0
Basic Average Shares,958291139.0,958138862.0,958823017.0,,958963731.0,958124138.0
Diluted EPS,11.05,10.36,11.47,,11.58,7.24
Basic EPS,11.06,10.37,11.47,,11.58,7.25
Diluted NI Availto Com Stockholders,10598700000.0,9935900000.0,10997700000.0,6921300000.0,11104800000.0,
Net Income Common Stockholders,10598700000.0,9935900000.0,10997700000.0,6921300000.0,11104800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,10598700000.0,9935900000.0,10997700000.0,6921300000.0,11104800000.0,
Minority Interests,-140500000.0,-246400000.0,-172800000.0,-87000000.0,-179500000.0,
Net Income Including Noncontrolling Interests,10739200000.0,10182300000.0,11170500000.0,7008300000.0,11284300000.0,
Net Income Continuous Operations,10739200000.0,10182300000.0,11170500000.0,7008300000.0,11284300000.0,
Tax Provision,4151700000.0,3732900000.0,3916600000.0,3214200000.0,3897300000.0,
Pretax Income,14890900000.0,13915200000.0,15087100000.0,10222500000.0,15181600000.0,
Other Non Operating Income Expenses,1610000000.0,1986400000.0,1927900000.0,-3106500000.0,1430000000.0,
Special Income Charges,-1576100000.0,0.0,0.0,-1799900000.0,0.0,
Other Special Charges,1576100000.0,,,,,
Net Non Operating Interest Income Expense,-479400000.0,-438700000.0,-445000000.0,1270500000.0,-558400000.0,
Interest Expense Non Operating,479400000.0,438700000.0,445000000.0,527900000.0,558400000.0,
Operating Income,14678900000.0,11984500000.0,13241000000.0,11429400000.0,13811800000.0,
Operating Expense,24529600000.0,24689100000.0,24773400000.0,24413700000.0,22199500000.0,
Other Operating Expenses,14677300000.0,14953300000.0,14875700000.0,-20651400000.0,13772800000.0,
Depreciation And Amortization In Income Statement,3130700000.0,3049300000.0,3008700000.0,3011000000.0,2555500000.0,
Depreciation Income Statement,3130700000.0,3049300000.0,3008700000.0,2700100000.0,2555500000.0,
Gross Profit,39208500000.0,36673600000.0,38014400000.0,35843100000.0,36011300000.0,
Cost Of Revenue,49288700000.0,48463400000.0,51230500000.0,47630900000.0,49203800000.0,
Total Revenue,88497200000.0,85137000000.0,89244900000.0,83474000000.0,85215100000.0,
Operating Revenue,88497200000.0,85137000000.0,89244900000.0,83474000000.0,85215100000.0,
