,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,-956601733.643127,0.0,0.0
Tax Rate For Calcs,0.248246,0.23467,0.243064,0.249108,0.192692
Total Unusual Items,0.0,0.0,-3935600000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-3935600000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,70106500000.0,62437200000.0,74751300000.0,67422900000.0,74012600000.0
Net Interest Income,149240500000.0,141096200000.0,143316100000.0,141225200000.0,139861300000.0
Interest Expense,187851200000.0,182386900000.0,181207100000.0,180396800000.0,176149200000.0
Interest Income,337091700000.0,323483100000.0,324523200000.0,321622000000.0,316010500000.0
Normalized Income,70106500000.0,62437200000.0,77730298266.35687,67422900000.0,74012600000.0
Net Income From Continuing And Discontinued Operation,70106500000.0,62437200000.0,74751300000.0,67422900000.0,74012600000.0
Diluted Average Shares,3120004450.0,3115628743.0,,3114221709.0,3112388562.0
Basic Average Shares,3103430722.0,3098620347.0,,3094212942.0,3091587302.0
Diluted EPS,22.47,20.04,,21.65,23.78
Basic EPS,22.59,20.15,,21.79,23.94
Diluted NI Availto Com Stockholders,70106500000.0,62437200000.0,74751300000.0,67422900000.0,74012600000.0
Net Income Common Stockholders,70106500000.0,62437200000.0,74751300000.0,67422900000.0,74012600000.0
Net Income,70106500000.0,62437200000.0,74751300000.0,67422900000.0,74012600000.0
Minority Interests,-491300000.0,-357700000.0,-339700000.0,-366200000.0,-344000000.0
Net Income Including Noncontrolling Interests,70597800000.0,62794900000.0,75091000000.0,67789100000.0,74356600000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0,0.0
Net Income Continuous Operations,70597800000.0,62794900000.0,75091000000.0,67789100000.0,74356600000.0
Tax Provision,23262200000.0,19195300000.0,24050600000.0,22436600000.0,17683900000.0
Pretax Income,93706400000.0,81797000000.0,98947700000.0,90067600000.0,91772900000.0
Special Income Charges,0.0,0.0,-3935600000.0,0.0,0.0
Operating Expense,103743800000.0,99484200000.0,102619500000.0,96727500000.0,101369800000.0
Other Operating Expenses,71359300000.0,62967700000.0,8622800000.0,63189300000.0,66641400000.0
Total Revenue,221132900000.0,221623100000.0,218476200000.0,209194900000.0,214462100000.0
Operating Revenue,221132900000.0,221623100000.0,218476200000.0,209194900000.0,214462100000.0
