,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-190210617.941726,0.0,0.0,1445775508.708936,0.0,
Tax Rate For Calcs,0.247896,0.292341,0.253394,0.274685,0.236675,
Normalized EBITDA,41657900000.0,34044900000.0,33019200000.0,22236400000.0,30983600000.0,
Total Unusual Items,-767300000.0,0.0,0.0,5263400000.0,0.0,
Total Unusual Items Excluding Goodwill,-767300000.0,0.0,0.0,5263400000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Reconciled Depreciation,1192600000.0,1189900000.0,1175100000.0,1192300000.0,1017200000.0,
Reconciled Cost Of Revenue,107049800000.0,105173000000.0,87759300000.0,90523400000.0,91394400000.0,
EBITDA,40890600000.0,34044900000.0,33019200000.0,27499800000.0,30983600000.0,
EBIT,39698000000.0,32855000000.0,31844100000.0,26307500000.0,29966400000.0,
Net Interest Income,-3136300000.0,-2868400000.0,-2237600000.0,7303300000.0,-1202100000.0,
Interest Expense,3136300000.0,2868400000.0,2237600000.0,1465200000.0,1202100000.0,
Normalized Income,28075289382.058273,21220300000.0,22104400000.0,14200875508.708937,21956500000.0,
Net Income From Continuing And Discontinued Operation,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Total Expenses,117677500000.0,119094700000.0,99711600000.0,96262400000.0,100398500000.0,
Diluted Average Shares,279453252.0,279582345.0,279448799.0,,279700637.0,279322581.0
Basic Average Shares,279169543.0,279214474.0,279095960.0,,278989835.0,278760563.0
Diluted EPS,98.4,75.9,79.1,,78.5,49.6
Basic EPS,98.5,76.0,79.2,,78.7,49.7
Diluted NI Availto Com Stockholders,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Net Income Common Stockholders,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Minority Interests,0.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Net Income Continuous Operations,27498200000.0,21220300000.0,22104400000.0,18018500000.0,21956500000.0,
Tax Provision,9063500000.0,8766300000.0,7502100000.0,6823800000.0,6807800000.0,
Pretax Income,36561700000.0,29986600000.0,29606500000.0,24842300000.0,28764300000.0,
Other Non Operating Income Expenses,4360400000.0,5758000000.0,5089800000.0,-10340100000.0,3475300000.0,
Special Income Charges,-767300000.0,0.0,0.0,-1529900000.0,0.0,
Net Non Operating Interest Income Expense,-3136300000.0,-2868400000.0,-2237600000.0,7303300000.0,-1202100000.0,
Interest Expense Non Operating,3136300000.0,2868400000.0,2237600000.0,1465200000.0,1202100000.0,
Operating Income,36104900000.0,33441700000.0,26754300000.0,25782500000.0,26491100000.0,
Operating Expense,10627700000.0,13921700000.0,11952300000.0,5739000000.0,9004100000.0,
Other Operating Expenses,12534800000.0,12268300000.0,10443100000.0,-5545800000.0,7941900000.0,
Depreciation And Amortization In Income Statement,1192600000.0,1189900000.0,1175100000.0,1192300000.0,1017200000.0,
Depreciation Income Statement,1192600000.0,1189900000.0,1175100000.0,1027200000.0,1017200000.0,
Gross Profit,46732600000.0,47363400000.0,38706600000.0,31521500000.0,35495200000.0,
Cost Of Revenue,107049800000.0,105173000000.0,87759300000.0,90523400000.0,91394400000.0,
Total Revenue,153782400000.0,152536400000.0,126465900000.0,122044900000.0,126889600000.0,
Operating Revenue,153782400000.0,152536400000.0,126465900000.0,122044900000.0,126889600000.0,
