,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-998121684.935575,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.263017,0.30456,0.260233,0.207586,0.240836,
Total Unusual Items,-3794900000.0,,,,0.0,
Total Unusual Items Excluding Goodwill,-3794900000.0,,,,0.0,
Net Income From Continuing Operation Net Minority Interest,22291500000.0,22441000000.0,27890500000.0,24166400000.0,22310000000.0,
Reconciled Depreciation,3298300000.0,3271900000.0,3173300000.0,3394900000.0,2885000000.0,
EBIT,131587300000.0,137264600000.0,140101400000.0,123981100000.0,120877800000.0,
Net Interest Income,-72324500000.0,-69013300000.0,-68071000000.0,-66734100000.0,-62762700000.0,
Interest Expense,72324500000.0,69013300000.0,68071000000.0,63957900000.0,62762700000.0,
Interest Income,205288000000.0,196434500000.0,189432400000.0,179814100000.0,174328700000.0,
Normalized Income,25088278315.064426,22441000000.0,27890500000.0,24166400000.0,22310000000.0,
Net Income From Continuing And Discontinued Operation,22291500000.0,22441000000.0,27890500000.0,24166400000.0,22310000000.0,
Total Expenses,266931700000.0,247391500000.0,230272700000.0,323115800000.0,210350300000.0,
Diluted Average Shares,1615326087.0,1614460432.0,1612167630.0,,1605035971.0,1605361538.0
Basic Average Shares,1592250000.0,1591560284.0,1593742857.0,,1593571429.0,1593106870.0
Diluted EPS,13.8,13.9,17.3,,13.9,13.0
Basic EPS,14.0,14.1,17.5,,14.0,13.1
Diluted NI Availto Com Stockholders,22291500000.0,22441000000.0,27890500000.0,24166400000.0,22310000000.0,
Net Income Common Stockholders,22291500000.0,22441000000.0,27890500000.0,24166400000.0,22310000000.0,
Net Income,22291500000.0,22441000000.0,27890500000.0,24166400000.0,22310000000.0,
Minority Interests,-21384200000.0,-25023700000.0,-25401200000.0,-23396800000.0,-21808900000.0,
Net Income Including Noncontrolling Interests,43675700000.0,47464700000.0,53291700000.0,47563200000.0,44118900000.0,
Net Income Continuous Operations,43675700000.0,47464700000.0,53285700000.0,47563200000.0,44118900000.0,
Tax Provision,15587100000.0,20786600000.0,18744700000.0,12460000000.0,13996200000.0,
Pretax Income,59262800000.0,68251300000.0,72030400000.0,60023200000.0,58115100000.0,
Other Income Expense,6111000000.0,6377600000.0,5327800000.0,-4082700000.0,7362700000.0,
Special Income Charges,-3794900000.0,,,,0.0,
Other Special Charges,3794900000.0,,,,0.0,
Net Non Operating Interest Income Expense,-72324500000.0,-69013300000.0,-68071000000.0,-66734100000.0,-62762700000.0,
Interest Expense Non Operating,72324500000.0,69013300000.0,68071000000.0,63957900000.0,62762700000.0,
Other Operating Expenses,20862500000.0,18109900000.0,16454400000.0,64488300000.0,17652500000.0,
Depreciation And Amortization In Income Statement,3298300000.0,3271900000.0,3173300000.0,3394900000.0,2885000000.0,
Total Revenue,326194500000.0,315642800000.0,302309100000.0,383139000000.0,268465400000.0,
Operating Revenue,326194500000.0,315642800000.0,302309100000.0,383139000000.0,268465400000.0,
Net Policyholder Benefits And Claims,67273300000.0,68477500000.0,56387700000.0,63324400000.0,58024400000.0,
