,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-666622175.618199,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.251347,0.251262,0.251632,0.195101,0.252753,
Total Unusual Items,-2652200000.0,,,,0.0,
Total Unusual Items Excluding Goodwill,-2652200000.0,,,,0.0,
Net Income From Continuing Operation Net Minority Interest,39778500000.0,48753600000.0,46996100000.0,44795700000.0,42465400000.0,
Reconciled Depreciation,2439100000.0,2580600000.0,2514900000.0,2520100000.0,2191300000.0,
Net Interest Income,113177800000.0,107846900000.0,102269700000.0,98330900000.0,93825800000.0,
Interest Expense,73387100000.0,70112800000.0,69176800000.0,65519800000.0,63856300000.0,
Interest Income,186564900000.0,177959700000.0,171446500000.0,163850700000.0,157682100000.0,
Normalized Income,41764077824.3818,48753600000.0,46996100000.0,44795700000.0,42465400000.0,
Net Income From Continuing And Discontinued Operation,39778500000.0,48753600000.0,46996100000.0,44795700000.0,42465400000.0,
Diluted Average Shares,6234874608.0,6226513410.0,6224649007.0,,6199328467.0,6201131783.0
Basic Average Shares,6215390625.0,6210649682.0,6208203435.0,,6190291545.0,6181962906.0
Diluted EPS,6.38,7.83,7.55,,6.85,6.45
Basic EPS,6.4,7.85,7.57,,6.86,6.47
Diluted NI Availto Com Stockholders,39778500000.0,48753600000.0,46996100000.0,44795700000.0,42465400000.0,
Net Income Common Stockholders,39778500000.0,48753600000.0,46996100000.0,44795700000.0,42465400000.0,
Net Income,39778500000.0,48753600000.0,46996100000.0,44795700000.0,42465400000.0,
Minority Interests,-881600000.0,-724000000.0,-656800000.0,-660000000.0,-616500000.0,
Net Income Including Noncontrolling Interests,40660100000.0,49477600000.0,47652900000.0,45455700000.0,43081900000.0,
Net Income Continuous Operations,40660100000.0,49477600000.0,47652900000.0,45455700000.0,43081900000.0,
Tax Provision,13650900000.0,16603700000.0,16022900000.0,11018100000.0,14572300000.0,
Pretax Income,54311000000.0,66081300000.0,63675800000.0,56473800000.0,57654200000.0,
Special Income Charges,-2652200000.0,,,,0.0,
Other Special Charges,2652200000.0,,,,,
Gain On Sale Of Security,1394100000.0,947700000.0,2253000000.0,704400000.0,1645900000.0,
Operating Expense,35469800000.0,34601800000.0,33555200000.0,31849100000.0,31816300000.0,
Other Operating Expenses,10529400000.0,10476600000.0,10014700000.0,2092300000.0,10069600000.0,
Depreciation And Amortization In Income Statement,2439100000.0,2580600000.0,2514900000.0,2520100000.0,2191300000.0,
Depreciation Income Statement,2439100000.0,2580600000.0,2514900000.0,2520100000.0,2191300000.0,
Total Revenue,128665400000.0,123337600000.0,118425700000.0,111879100000.0,109873600000.0,
Operating Revenue,128665400000.0,123337600000.0,118425700000.0,111879100000.0,109873600000.0,
