,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,-368692671.749336,0.0,0.0
Tax Rate For Calcs,0.262236,0.249101,0.260266,0.253696,0.250014
Normalized EBITDA,22657800000.0,14015900000.0,31520700000.0,18558700000.0,15577100000.0
Total Unusual Items,0.0,0.0,-1416600000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-1416600000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,15791000000.0,9699100000.0,21270400000.0,13109500000.0,10924500000.0
Reconciled Depreciation,1354400000.0,1207900000.0,1375800000.0,1109300000.0,1111900000.0
Reconciled Cost Of Revenue,38245000000.0,20760800000.0,47563100000.0,29813500000.0,21418500000.0
EBITDA,22657800000.0,14015900000.0,30104100000.0,18558700000.0,15577100000.0
EBIT,21303400000.0,12808000000.0,28728300000.0,17449400000.0,14465200000.0
Net Interest Income,-20300000.0,-14400000.0,6390600000.0,-13200000.0,-13200000.0
Interest Expense,20300000.0,14400000.0,55700000.0,13200000.0,13200000.0
Normalized Income,15791000000.0,9699100000.0,22318307328.250664,13109500000.0,10924500000.0
Net Income From Continuing And Discontinued Operation,15791000000.0,9699100000.0,21270400000.0,13109500000.0,10924500000.0
Total Expenses,51620500000.0,33222600000.0,56602100000.0,42121300000.0,33161400000.0
Diluted Average Shares,7310648148.0,7292556391.0,,7323743017.0,7283000000.0
Basic Average Shares,7310648148.0,7292556391.0,,7323743017.0,7283000000.0
Diluted EPS,2.16,1.33,,1.79,1.5
Basic EPS,2.16,1.33,,1.79,1.5
Diluted NI Availto Com Stockholders,15791000000.0,9699100000.0,21270400000.0,13109500000.0,10924500000.0
Net Income Common Stockholders,15791000000.0,9699100000.0,21270400000.0,13109500000.0,10924500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,15791000000.0,9699100000.0,21270400000.0,13109500000.0,10924500000.0
Minority Interests,-6000000.0,8600000.0,200000.0,-6500000.0,-3300000.0
Net Income Including Noncontrolling Interests,15797000000.0,9690500000.0,21270200000.0,13116000000.0,10927800000.0
Net Income Continuous Operations,15797000000.0,9690500000.0,21270200000.0,13116000000.0,10927800000.0
Tax Provision,5581200000.0,3186900000.0,7462500000.0,4423500000.0,3613200000.0
Pretax Income,21283100000.0,12793600000.0,28672600000.0,17436200000.0,14452000000.0
Other Non Operating Income Expenses,1385400000.0,1633200000.0,-5356500000.0,1863800000.0,1577600000.0
Special Income Charges,0.0,0.0,-1621900000.0,0.0,0.0
Net Non Operating Interest Income Expense,-20300000.0,-14400000.0,6390600000.0,-13200000.0,-13200000.0
Interest Expense Non Operating,20300000.0,14400000.0,55700000.0,13200000.0,13200000.0
Operating Income,19918000000.0,11174800000.0,28379300000.0,15585600000.0,12887600000.0
Operating Expense,13375500000.0,12461800000.0,9039000000.0,12307800000.0,11742900000.0
Other Operating Expenses,3822300000.0,4289100000.0,3706200000.0,4478800000.0,4070900000.0
Depreciation And Amortization In Income Statement,1354400000.0,1207900000.0,1375800000.0,1109300000.0,1111900000.0
Depreciation Income Statement,1354400000.0,1207900000.0,973500000.0,1109300000.0,1111900000.0
Gross Profit,33293500000.0,23636600000.0,37418300000.0,27893400000.0,24630500000.0
Cost Of Revenue,38245000000.0,20760800000.0,47563100000.0,29813500000.0,21418500000.0
Total Revenue,71538500000.0,44397400000.0,84981400000.0,57706900000.0,46049000000.0
Operating Revenue,71538500000.0,44397400000.0,84981400000.0,57706900000.0,46049000000.0
