,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-792968873.208523,0.0,-737100000.0,3382853841.190156,-2524591854.037372
Tax Rate For Calcs,0.308789,0.293458,0.3,0.044832,0.295724
Normalized EBITDA,316014000000.0,284303000000.0,235181000000.0,267260000000.0,231748000000.0
Total Unusual Items,-2568000000.0,0.0,-2457000000.0,75456000000.0,-8537000000.0
Total Unusual Items Excluding Goodwill,-2568000000.0,0.0,-2457000000.0,75456000000.0,-8537000000.0
Net Income From Continuing Operation Net Minority Interest,66305000000.0,59479000000.0,110218000000.0,147812000000.0,35932000000.0
Reconciled Depreciation,134201000000.0,124651000000.0,123260000000.0,117042000000.0,110000000000.0
Reconciled Cost Of Revenue,151939000000.0,145227000000.0,165501000000.0,141601000000.0,132984000000.0
EBITDA,313446000000.0,284303000000.0,232724000000.0,342716000000.0,223211000000.0
EBIT,179245000000.0,159652000000.0,109464000000.0,225674000000.0,113211000000.0
Net Interest Income,-56232000000.0,-54608000000.0,-42803000000.0,-56755000000.0,-54237000000.0
Interest Expense,56232000000.0,54608000000.0,13625000000.0,56755000000.0,54237000000.0
Normalized Income,68080031126.79147,59479000000.0,111937900000.0,75738853841.19016,41944408145.96263
Net Income From Continuing And Discontinued Operation,66305000000.0,59479000000.0,110218000000.0,147812000000.0,35932000000.0
Total Expenses,366189000000.0,340890000000.0,324457000000.0,322369000000.0,306271000000.0
Diluted Average Shares,6016787659.0,6007979798.0,,5996430020.0,5988666667.0
Basic Average Shares,5795891608.0,5797173489.0,,5787470634.0,5786151369.0
Diluted EPS,11.02,9.9,,24.65,6.0
Basic EPS,11.44,10.26,,25.54,6.21
Diluted NI Availto Com Stockholders,66305000000.0,59479000000.0,110410000000.0,147812000000.0,35932000000.0
Net Income Common Stockholders,66305000000.0,59479000000.0,110218000000.0,147812000000.0,35932000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,66305000000.0,59479000000.0,110218000000.0,147812000000.0,35932000000.0
Minority Interests,-18723000000.0,-14739000000.0,-14540000000.0,-13534000000.0,-5602000000.0
Net Income Including Noncontrolling Interests,85028000000.0,74218000000.0,124758000000.0,161346000000.0,41534000000.0
Net Income Continuous Operations,85028000000.0,74218000000.0,124758000000.0,161346000000.0,41534000000.0
Tax Provision,37985000000.0,30826000000.0,-28919000000.0,7573000000.0,17440000000.0
Pretax Income,123013000000.0,105044000000.0,95839000000.0,168919000000.0,58974000000.0
Other Non Operating Income Expenses,7023000000.0,5088000000.0,-7289000000.0,4697000000.0,2547000000.0
Special Income Charges,-2568000000.0,0.0,-4085000000.0,75456000000.0,-8537000000.0
Net Non Operating Interest Income Expense,-56232000000.0,-54608000000.0,-42803000000.0,-56755000000.0,-54237000000.0
Interest Expense Non Operating,56232000000.0,54608000000.0,13625000000.0,56755000000.0,54237000000.0
Operating Income,173627000000.0,153736000000.0,154305000000.0,128924000000.0,108462000000.0
Operating Expense,214250000000.0,195663000000.0,158956000000.0,180768000000.0,173287000000.0
Other Operating Expenses,26199000000.0,23973000000.0,-14615000000.0,18383000000.0,19497000000.0
Depreciation And Amortization In Income Statement,134201000000.0,124651000000.0,123260000000.0,117042000000.0,110000000000.0
Depreciation Income Statement,134201000000.0,124651000000.0,19299000000.0,117042000000.0,110000000000.0
Selling General And Administration,34269000000.0,29659000000.0,34960000000.0,29261000000.0,28824000000.0
Selling And Marketing Expense,34269000000.0,29659000000.0,29359000000.0,29261000000.0,28824000000.0
Gross Profit,387877000000.0,349399000000.0,313261000000.0,309692000000.0,281749000000.0
Cost Of Revenue,151939000000.0,145227000000.0,165501000000.0,141601000000.0,132984000000.0
Total Revenue,539816000000.0,494626000000.0,478762000000.0,451293000000.0,414733000000.0
Operating Revenue,539816000000.0,494626000000.0,478762000000.0,451293000000.0,414733000000.0
