,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-436246331.231084,-154380174.014196,-424725528.256195,-170342257.128767,-193905170.234705
Tax Rate For Calcs,0.261758,0.229119,0.255213,0.286338,0.257442
Normalized EBITDA,105612700000.0,96968000000.0,69450300000.0,62537200000.0,40916900000.0
Total Unusual Items,-1666600000.0,-673800000.0,-1664200000.0,-594900000.0,-753200000.0
Total Unusual Items Excluding Goodwill,-1666600000.0,-673800000.0,-1664200000.0,-594900000.0,-753200000.0
Net Income From Continuing Operation Net Minority Interest,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Reconciled Cost Of Revenue,1013869100000.0,976937700000.0,1046485300000.0,997379000000.0,931104700000.0
EBITDA,103946100000.0,96294200000.0,67786100000.0,61942300000.0,40163700000.0
EBIT,103946100000.0,96294200000.0,67786100000.0,61942300000.0,40163700000.0
Net Interest Income,-6574200000.0,-7577300000.0,6708900000.0,-8612600000.0,-9227000000.0
Interest Expense,6574200000.0,7577300000.0,8818500000.0,8612600000.0,9227000000.0
Normalized Income,73114353668.76892,68909619825.98581,45157774471.743805,38483957742.87123,23531594829.765293
Net Income From Continuing And Discontinued Operation,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Total Expenses,1093214600000.0,1047624600000.0,1033421500000.0,1074501000000.0,1000468200000.0
Diluted Average Shares,4273721760.0,4271717676.0,,4271537598.0,4269944238.0
Basic Average Shares,4273721760.0,4271717676.0,,4271537598.0,4269944238.0
Diluted EPS,16.82,16.01,,8.91,5.38
Basic EPS,16.82,16.01,,8.91,5.38
Diluted NI Availto Com Stockholders,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Net Income Common Stockholders,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Minority Interests,0.0,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Net Income Continuous Operations,71884000000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0
Tax Provision,25487900000.0,20326700000.0,15049300000.0,15270300000.0,7964400000.0
Pretax Income,97371900000.0,88716900000.0,58967600000.0,53329700000.0,30936700000.0
Other Non Operating Income Expenses,6456700000.0,7497100000.0,-10292600000.0,6077900000.0,6974500000.0
Special Income Charges,-1666600000.0,-673800000.0,-2195100000.0,-594900000.0,-753200000.0
Net Non Operating Interest Income Expense,-6574200000.0,-7577300000.0,6708900000.0,-8612600000.0,-9227000000.0
Interest Expense Non Operating,6574200000.0,7577300000.0,8818500000.0,8612600000.0,9227000000.0
Operating Income,97079700000.0,77889900000.0,63539700000.0,57157700000.0,27384500000.0
Operating Expense,79345500000.0,70686900000.0,-13063800000.0,77122000000.0,69363500000.0
Other Operating Expenses,70689900000.0,61612500000.0,-23152000000.0,65046400000.0,61632400000.0
Gross Profit,176425200000.0,148576800000.0,50475900000.0,134279700000.0,96748000000.0
Cost Of Revenue,1013869100000.0,976937700000.0,1046485300000.0,997379000000.0,931104700000.0
Total Revenue,1190294300000.0,1125514500000.0,1096961200000.0,1131658700000.0,1027852700000.0
Operating Revenue,1190294300000.0,1125514500000.0,1096961200000.0,1131658700000.0,1027852700000.0
