,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,211766414.426875,0.0,-385094.036216
Tax Rate For Calcs,0.257761,0.258038,0.256407,0.251917,0.256729
Normalized EBITDA,10367900000.0,8092100000.0,7783500000.0,9053300000.0,8260100000.0
Total Unusual Items,0.0,0.0,825900000.0,0.0,-1500000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,825900000.0,0.0,-1500000.0
Net Income From Continuing Operation Net Minority Interest,6799600000.0,5207200000.0,5599500000.0,5816900000.0,5314500000.0
Reconciled Depreciation,845100000.0,820400000.0,809600000.0,823800000.0,760700000.0
Reconciled Cost Of Revenue,28198200000.0,27591000000.0,27245400000.0,28142600000.0,27294400000.0
EBITDA,10367900000.0,8092100000.0,8609400000.0,9053300000.0,8258600000.0
EBIT,9522800000.0,7271700000.0,7799800000.0,8229500000.0,7497900000.0
Net Interest Income,-332500000.0,-261500000.0,1021500000.0,-445600000.0,-346400000.0
Interest Expense,332500000.0,261500000.0,280500000.0,445600000.0,346400000.0
Normalized Income,6799600000.0,5207200000.0,4985366414.426875,5816900000.0,5315614905.963784
Net Income From Continuing And Discontinued Operation,6799600000.0,5207200000.0,5599500000.0,5816900000.0,5314500000.0
Total Expenses,39897500000.0,38598500000.0,36509400000.0,37007700000.0,38588900000.0
Diluted Average Shares,240864329.0,240851064.0,,240865424.0,240911151.0
Basic Average Shares,240864329.0,240851064.0,,240865424.0,240911151.0
Diluted EPS,28.23,21.62,,24.15,22.06
Basic EPS,28.23,21.62,,24.15,22.06
Diluted NI Availto Com Stockholders,6799600000.0,5207200000.0,5599500000.0,5816900000.0,5314500000.0
Net Income Common Stockholders,6799600000.0,5207200000.0,5599500000.0,5816900000.0,5314500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,6799600000.0,5207200000.0,5599500000.0,5816900000.0,5314500000.0
Minority Interests,-21800000.0,5900000.0,8200000.0,-6100000.0,-1000000.0
Net Income Including Noncontrolling Interests,6821400000.0,5201300000.0,5591300000.0,5823000000.0,5315500000.0
Net Income Continuous Operations,6821400000.0,5201300000.0,5591300000.0,5823000000.0,5315500000.0
Tax Provision,2368900000.0,1808900000.0,1928000000.0,1960900000.0,1836000000.0
Pretax Income,9190300000.0,7010200000.0,7519300000.0,7783900000.0,7151500000.0
Other Non Operating Income Expenses,594600000.0,570100000.0,-1548800000.0,624600000.0,460000000.0
Special Income Charges,0.0,0.0,12400000.0,0.0,-1500000.0
Net Non Operating Interest Income Expense,-332500000.0,-261500000.0,1021500000.0,-445600000.0,-346400000.0
Interest Expense Non Operating,332500000.0,261500000.0,280500000.0,445600000.0,346400000.0
Operating Income,8954800000.0,6750100000.0,7246300000.0,7625300000.0,7073400000.0
Operating Expense,11699300000.0,11007500000.0,9264000000.0,8865100000.0,11294500000.0
Other Operating Expenses,9552800000.0,8642100000.0,-6138000000.0,8276000000.0,9224400000.0
Depreciation And Amortization In Income Statement,845100000.0,820400000.0,809600000.0,823800000.0,760700000.0
Depreciation Income Statement,845100000.0,820400000.0,775300000.0,823800000.0,760700000.0
Gross Profit,20654100000.0,17757600000.0,16510300000.0,16490400000.0,18367900000.0
Cost Of Revenue,28198200000.0,27591000000.0,27245400000.0,28142600000.0,27294400000.0
Total Revenue,48852300000.0,45348600000.0,43755700000.0,44633000000.0,45662300000.0
Operating Revenue,48852300000.0,45348600000.0,43755700000.0,44633000000.0,45662300000.0
