,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-675170253.384242,0.0,671586433.557136,0.0,0.0
Tax Rate For Calcs,0.244707,0.269999,0.185654,0.173463,0.269997
Normalized EBITDA,14614000000.0,20367000000.0,13358200000.0,22105300000.0,20762000000.0
Total Unusual Items,-2759100000.0,,3617400000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-2759100000.0,,3617400000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,6758000000.0,12976200000.0,12218400000.0,15705100000.0,13025300000.0
Reconciled Depreciation,2783500000.0,2527200000.0,1972300000.0,2798000000.0,2717400000.0
Reconciled Cost Of Revenue,26320800000.0,21707100000.0,30227700000.0,22640800000.0,22830100000.0
EBITDA,11854900000.0,20367000000.0,16975600000.0,22105300000.0,20762000000.0
EBIT,9071400000.0,17839800000.0,15003300000.0,19307300000.0,18044600000.0
Net Interest Income,-140300000.0,-140500000.0,2503800000.0,-146400000.0,-154000000.0
Interest Expense,140300000.0,140500000.0,-39700000.0,146400000.0,154000000.0
Normalized Income,8841929746.615759,12976200000.0,9272586433.557137,15705100000.0,13025300000.0
Net Income From Continuing And Discontinued Operation,6758000000.0,12976200000.0,12218400000.0,15705100000.0,13025300000.0
Total Expenses,59862600000.0,53116200000.0,52455900000.0,52524800000.0,53473700000.0
Diluted Average Shares,808373206.0,807982565.0,,808291302.0,808021092.0
Basic Average Shares,807407407.0,807479776.0,,807460154.0,807520149.0
Diluted EPS,8.36,16.06,,19.43,16.12
Basic EPS,8.37,16.07,,19.45,16.13
Diluted NI Availto Com Stockholders,6758000000.0,12976200000.0,12218400000.0,15705100000.0,13025300000.0
Net Income Common Stockholders,6758000000.0,12976200000.0,12218400000.0,15705100000.0,13025300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,6758000000.0,12976200000.0,12218400000.0,15705100000.0,13025300000.0
Minority Interests,15500000.0,60100000.0,77000000.0,-40800000.0,-24800000.0
Net Income Including Noncontrolling Interests,6742500000.0,12916100000.0,12141400000.0,15745900000.0,13050100000.0
Net Income Continuous Operations,6742500000.0,12916100000.0,12141400000.0,15745900000.0,13050100000.0
Tax Provision,2185500000.0,4778800000.0,2792800000.0,3323700000.0,4830400000.0
Pretax Income,8931100000.0,17699300000.0,15043000000.0,19160900000.0,17890600000.0
Other Non Operating Income Expenses,2063400000.0,2585600000.0,-4508200000.0,2216100000.0,1906100000.0
Special Income Charges,-2759100000.0,,-470800000.0,0.0,0.0
Other Special Charges,2759100000.0,,-644200000.0,-670000000.0,
Impairment Of Capital Assets,,,,,0.0
Net Non Operating Interest Income Expense,-140300000.0,-140500000.0,2503800000.0,-146400000.0,-154000000.0
Interest Expense Non Operating,140300000.0,140500000.0,-39700000.0,146400000.0,154000000.0
Operating Income,9767100000.0,15254200000.0,13521300000.0,17091200000.0,16138500000.0
Operating Expense,33541800000.0,31409100000.0,22228200000.0,29884000000.0,30643600000.0
Other Operating Expenses,18623600000.0,16963200000.0,-25367700000.0,16223500000.0,16745400000.0
Depreciation And Amortization In Income Statement,2783500000.0,2527200000.0,1972300000.0,2798000000.0,2717400000.0
Depreciation Income Statement,2783500000.0,2527200000.0,-692200000.0,2798000000.0,2717400000.0
Gross Profit,43308900000.0,46663300000.0,35749500000.0,46975200000.0,46782100000.0
Cost Of Revenue,26320800000.0,21707100000.0,30227700000.0,22640800000.0,22830100000.0
Total Revenue,69629700000.0,68370400000.0,65977200000.0,69616000000.0,69612200000.0
Operating Revenue,69629700000.0,68370400000.0,65977200000.0,69616000000.0,69612200000.0
