,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.243505,0.254073,0.254844,0.279943,0.230404
Normalized EBITDA,97933400000.0,119742600000.0,128891500000.0,120179600000.0,83615100000.0
Net Income From Continuing Operation Net Minority Interest,71574500000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0
Reconciled Cost Of Revenue,43114800000.0,50181500000.0,61111900000.0,47950500000.0,51572100000.0
EBITDA,97933400000.0,119742600000.0,128891500000.0,120179600000.0,83615100000.0
EBIT,97933400000.0,119742600000.0,128891500000.0,120179600000.0,83615100000.0
Net Interest Income,-3207300000.0,-2651100000.0,51137900000.0,-2255400000.0,-2081400000.0
Interest Expense,3207300000.0,2651100000.0,159600000.0,2255400000.0,2081400000.0
Normalized Income,71574500000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0
Net Income From Continuing And Discontinued Operation,71574500000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0
Total Expenses,237052500000.0,216662500000.0,209382700000.0,225552100000.0,205519700000.0
Diluted Average Shares,6164900947.0,6161649049.0,,6163456522.0,6159745348.0
Basic Average Shares,6164900947.0,6161649049.0,,6163456522.0,6159745348.0
Diluted EPS,11.61,14.19,,13.8,10.21
Basic EPS,11.61,14.19,,13.8,10.21
Diluted NI Availto Com Stockholders,71574500000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0
Net Income Common Stockholders,71574500000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,71574500000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0
Minority Interests,-85300000.0,92100000.0,114900000.0,143500000.0,143000000.0
Net Income Including Noncontrolling Interests,71659800000.0,87341700000.0,95925300000.0,84912200000.0,62748000000.0
Net Income Continuous Operations,71659800000.0,87341700000.0,95925300000.0,84912200000.0,62748000000.0
Tax Provision,23066300000.0,29749800000.0,32806600000.0,33012000000.0,18785700000.0
Pretax Income,94726100000.0,117091500000.0,128731900000.0,117924200000.0,81533700000.0
Other Non Operating Income Expenses,23916400000.0,16158600000.0,-30537700000.0,21432000000.0,15050400000.0
Net Non Operating Interest Income Expense,-3207300000.0,-2651100000.0,51137900000.0,-2255400000.0,-2081400000.0
Interest Expense Non Operating,3207300000.0,2651100000.0,159600000.0,2255400000.0,2081400000.0
Operating Income,71129200000.0,102141800000.0,49028600000.0,98037700000.0,67193300000.0
Operating Expense,193937700000.0,166481000000.0,148270800000.0,177601600000.0,153947600000.0
Other Operating Expenses,117416200000.0,106821700000.0,51218200000.0,122389200000.0,91515300000.0
Gross Profit,265066900000.0,268622800000.0,309973600000.0,275639300000.0,221140900000.0
Cost Of Revenue,43114800000.0,50181500000.0,61111900000.0,47950500000.0,51572100000.0
Total Revenue,308181700000.0,318804300000.0,314684600000.0,323589800000.0,272713000000.0
Operating Revenue,308181700000.0,318804300000.0,314684600000.0,323589800000.0,272713000000.0
