,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-186897435.897436,0.0,2337962.962963,0.0,0.0
Tax Rate For Calcs,0.252564,0.25648,0.233796,0.188705,0.293629
Normalized EBITDA,9780000000.0,8480000000.0,9710000000.0,8250000000.0,8220000000.0
Total Unusual Items,-740000000.0,0.0,10000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-740000000.0,0.0,10000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Reconciled Depreciation,1180000000.0,1120000000.0,1070000000.0,990000000.0,990000000.0
Reconciled Cost Of Revenue,9450000000.0,9560000000.0,11260000000.0,9220000000.0,9690000000.0
EBITDA,9040000000.0,8480000000.0,9720000000.0,8250000000.0,8220000000.0
EBIT,7860000000.0,7360000000.0,8650000000.0,7260000000.0,7230000000.0
Net Interest Income,-60000000.0,-30000000.0,2930000000.0,0.0,-10000000.0
Interest Expense,60000000.0,30000000.0,10000000.0,0.0,10000000.0
Normalized Income,6383102564.102564,5450000000.0,6612337962.962963,5890000000.0,5100000000.0
Net Income From Continuing And Discontinued Operation,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Total Expenses,18320000000.0,17930000000.0,17660000000.0,16750000000.0,17210000000.0
Diluted Average Shares,265241128.0,265983407.0,,265315315.0,265625000.0
Basic Average Shares,265241128.0,265983407.0,,265315315.0,265625000.0
Diluted EPS,21.98,20.49,,22.2,19.2
Basic EPS,21.98,20.49,,22.2,19.2
Diluted NI Availto Com Stockholders,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Net Income Common Stockholders,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Minority Interests,0.0,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Net Income Continuous Operations,5830000000.0,5450000000.0,6620000000.0,5890000000.0,5100000000.0
Tax Provision,1970000000.0,1880000000.0,2020000000.0,1370000000.0,2120000000.0
Pretax Income,7800000000.0,7330000000.0,8640000000.0,7260000000.0,7220000000.0
Other Non Operating Income Expenses,690000000.0,800000000.0,-2240000000.0,720000000.0,770000000.0
Special Income Charges,-740000000.0,0.0,-40000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-60000000.0,-30000000.0,2930000000.0,0.0,-10000000.0
Interest Expense Non Operating,60000000.0,30000000.0,10000000.0,0.0,10000000.0
Operating Income,7720000000.0,6170000000.0,7840000000.0,6440000000.0,6170000000.0
Operating Expense,8870000000.0,8370000000.0,6400000000.0,7530000000.0,7520000000.0
Other Operating Expenses,4020000000.0,3850000000.0,-1050000000.0,3570000000.0,3490000000.0
Depreciation And Amortization In Income Statement,1180000000.0,1120000000.0,1070000000.0,990000000.0,990000000.0
Depreciation Income Statement,1180000000.0,1120000000.0,1040000000.0,990000000.0,990000000.0
Gross Profit,16590000000.0,14540000000.0,14240000000.0,13970000000.0,13690000000.0
Cost Of Revenue,9450000000.0,9560000000.0,11260000000.0,9220000000.0,9690000000.0
Total Revenue,26040000000.0,24100000000.0,25500000000.0,23190000000.0,23380000000.0
Operating Revenue,26040000000.0,24100000000.0,25500000000.0,23190000000.0,23380000000.0
