,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,280173600.0,92130000.0,320196800.0,572016854.492869,26606000.0,
Tax Rate For Calcs,0.2289,0.222,0.2599,0.208537,0.251,
Normalized EBITDA,20362000000.0,23893000000.0,23410000000.0,22521000000.0,24173000000.0,
Total Unusual Items,1224000000.0,415000000.0,1232000000.0,2743000000.0,106000000.0,
Total Unusual Items Excluding Goodwill,1224000000.0,415000000.0,1232000000.0,2743000000.0,106000000.0,
Net Income From Continuing Operation Net Minority Interest,12098000000.0,14372000000.0,14178000000.0,15938000000.0,14133000000.0,
Reconciled Depreciation,5213000000.0,5051000000.0,4765000000.0,4554000000.0,4719000000.0,
Reconciled Cost Of Revenue,40462000000.0,39911000000.0,34526000000.0,37797000000.0,34534000000.0,
EBITDA,21586000000.0,24308000000.0,24642000000.0,25264000000.0,24279000000.0,
EBIT,16373000000.0,19257000000.0,19877000000.0,20710000000.0,19560000000.0,
Net Interest Income,-148000000.0,5000000.0,298000000.0,-92000000.0,-114000000.0,
Interest Expense,944000000.0,907000000.0,830000000.0,656000000.0,818000000.0,
Interest Income,796000000.0,912000000.0,1128000000.0,564000000.0,704000000.0,
Normalized Income,11154173600.0,14049130000.0,13266196800.0,13767016854.492868,14053606000.0,
Net Income From Continuing And Discontinued Operation,12098000000.0,14372000000.0,14178000000.0,15938000000.0,14133000000.0,
Total Expenses,72938000000.0,70184000000.0,68610000000.0,67712000000.0,64878000000.0,
Total Operating Income As Reported,14238000000.0,17513000000.0,17475000000.0,17647000000.0,18720000000.0,
Diluted Average Shares,833195592.0,,833019976.0,,834297521.0,834086379.0
Basic Average Shares,832622161.0,,832042254.0,833315900.0,833313679.0,832979429.0
Diluted EPS,14.52,,17.02,19.1,16.94,15.05
Basic EPS,14.53,,17.04,19.12,16.96,15.07
Diluted NI Availto Com Stockholders,12098000000.0,14372000000.0,14178000000.0,15938000000.0,14133000000.0,
Net Income Common Stockholders,12098000000.0,14372000000.0,14178000000.0,15938000000.0,14133000000.0,
Net Income,12098000000.0,14372000000.0,14178000000.0,15938000000.0,14133000000.0,
Minority Interests,202000000.0,104000000.0,82000000.0,66000000.0,95000000.0,
Net Income Including Noncontrolling Interests,11896000000.0,14268000000.0,14096000000.0,15872000000.0,14038000000.0,
Net Income Continuous Operations,11896000000.0,14268000000.0,14096000000.0,15872000000.0,14038000000.0,
Tax Provision,3533000000.0,4082000000.0,4951000000.0,4182000000.0,4704000000.0,
Pretax Income,15429000000.0,18350000000.0,19047000000.0,20054000000.0,18742000000.0,
Other Income Expense,1247000000.0,478000000.0,1907000000.0,2798000000.0,148000000.0,
Other Non Operating Income Expenses,,,673000000.0,,,
Special Income Charges,-92000000.0,-354000000.0,-40000000.0,299000000.0,12000000.0,
Gain On Sale Of Ppe,179000000.0,308000000.0,-40000000.0,1067000000.0,8000000.0,
Impairment Of Capital Assets,271000000.0,662000000.0,0.0,768000000.0,-4000000.0,
Earnings From Equity Interest,23000000.0,63000000.0,2000000.0,55000000.0,42000000.0,
Gain On Sale Of Security,1316000000.0,769000000.0,1272000000.0,2444000000.0,94000000.0,
Net Non Operating Interest Income Expense,-148000000.0,5000000.0,298000000.0,-92000000.0,-114000000.0,
Interest Expense Non Operating,944000000.0,907000000.0,830000000.0,656000000.0,818000000.0,
Interest Income Non Operating,796000000.0,912000000.0,1128000000.0,564000000.0,704000000.0,
Operating Income,14330000000.0,17867000000.0,16842000000.0,17348000000.0,18708000000.0,
Operating Expense,32476000000.0,30273000000.0,31785000000.0,29915000000.0,30344000000.0,
Other Operating Expenses,-591000000.0,-2365000000.0,-106000000.0,-1398000000.0,-431000000.0,
Depreciation Amortization Depletion Income Statement,,,2466000000.0,,,
Depreciation And Amortization In Income Statement,,,2466000000.0,,,
Amortization,,,1858000000.0,,,
Amortization Of Intangibles Income Statement,,,1858000000.0,,,
Depreciation Income Statement,,,608000000.0,,,
Research And Development,6149000000.0,6202000000.0,6244000000.0,7258000000.0,6658000000.0,
Selling General And Administration,26918000000.0,26436000000.0,23181000000.0,24055000000.0,24117000000.0,
General And Administrative Expense,,,23181000000.0,,,
Other Gand A,,,13650000000.0,,,
Salaries And Wages,,,9531000000.0,,,
Gross Profit,46806000000.0,48140000000.0,48627000000.0,47263000000.0,49052000000.0,
Cost Of Revenue,40462000000.0,39911000000.0,36825000000.0,37797000000.0,34534000000.0,
Total Revenue,87268000000.0,88051000000.0,85452000000.0,85060000000.0,83586000000.0,
Operating Revenue,87268000000.0,88051000000.0,85452000000.0,85060000000.0,83586000000.0,
