,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-115213671.090787,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.207779,0.230218,0.243423,0.183931,0.198738,
Normalized EBITDA,20770200000.0,19977300000.0,18059500000.0,18860700000.0,16534800000.0,
Total Unusual Items,-554500000.0,,,,0.0,
Total Unusual Items Excluding Goodwill,-554500000.0,,,,0.0,
Net Income From Continuing Operation Net Minority Interest,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Reconciled Depreciation,2111000000.0,1995600000.0,1980600000.0,2013700000.0,1792700000.0,
Reconciled Cost Of Revenue,33981900000.0,34747500000.0,28126200000.0,32134200000.0,27316700000.0,
EBITDA,20215700000.0,19977300000.0,18059500000.0,18860700000.0,16534800000.0,
EBIT,18104700000.0,17981700000.0,16078900000.0,16847000000.0,14742100000.0,
Net Interest Income,-172700000.0,-191600000.0,-149000000.0,3017800000.0,-133900000.0,
Interest Expense,172700000.0,191600000.0,149000000.0,155400000.0,133900000.0,
Normalized Income,14645386328.909212,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Net Income From Continuing And Discontinued Operation,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Total Expenses,46542100000.0,47588500000.0,39409000000.0,40733900000.0,38661900000.0,
Diluted Average Shares,274779497.0,274714142.0,274600137.0,,274700774.0,274670494.0
Basic Average Shares,274301989.0,274273984.0,274225256.0,,274121780.0,274054795.0
Diluted EPS,51.7,49.85,43.89,,42.61,40.06
Basic EPS,51.79,49.93,43.95,,42.7,40.15
Diluted NI Availto Com Stockholders,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Net Income Common Stockholders,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Minority Interests,0.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Net Income Continuous Operations,14206100000.0,13694500000.0,12052200000.0,13621500000.0,11705000000.0,
Tax Provision,3725900000.0,4095600000.0,3877700000.0,3070100000.0,2903200000.0,
Pretax Income,17932000000.0,17790100000.0,15929900000.0,16691600000.0,14608200000.0,
Other Non Operating Income Expenses,3373600000.0,3509200000.0,4460600000.0,-8424800000.0,2887800000.0,
Special Income Charges,-554500000.0,,,,0.0,
Other Special Charges,554500000.0,,,,,
Net Non Operating Interest Income Expense,-172700000.0,-191600000.0,-149000000.0,3017800000.0,-133900000.0,
Interest Expense Non Operating,172700000.0,191600000.0,149000000.0,155400000.0,133900000.0,
Operating Income,13456200000.0,13123400000.0,10047200000.0,10769900000.0,10219200000.0,
Operating Expense,12560200000.0,12841000000.0,11282800000.0,8599700000.0,11345200000.0,
Other Operating Expenses,7289800000.0,7670200000.0,6524900000.0,-10775000000.0,6982700000.0,
Depreciation And Amortization In Income Statement,2111000000.0,1995600000.0,1980600000.0,2013700000.0,1792700000.0,
Depreciation Income Statement,2111000000.0,1995600000.0,1980600000.0,469400000.0,1792700000.0,
Gross Profit,26016400000.0,25964400000.0,21330000000.0,19369600000.0,21564400000.0,
Cost Of Revenue,33981900000.0,34747500000.0,28126200000.0,32134200000.0,27316700000.0,
Total Revenue,59998300000.0,60711900000.0,49456200000.0,51503800000.0,48881100000.0,
Operating Revenue,59998300000.0,60711900000.0,49456200000.0,51503800000.0,48881100000.0,
