,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-535904439.352667,-106772964.174479,1386693151.694525,0.0,-250350000.0
Tax Rate For Calcs,0.268046,0.278199,0.25888,0.248673,0.3
Normalized EBITDA,61582000000.0,64985500000.0,59676600000.0,46891800000.0,41420900000.0
Total Unusual Items,-1999300000.0,-383800000.0,5356500000.0,0.0,-834500000.0
Total Unusual Items Excluding Goodwill,-1999300000.0,-383800000.0,5356500000.0,0.0,-834500000.0
Net Income From Continuing Operation Net Minority Interest,10365900000.0,14186800000.0,12088700000.0,8201200000.0,3146300000.0
Reconciled Depreciation,19750400000.0,18103600000.0,20586200000.0,16076400000.0,15716200000.0
Reconciled Cost Of Revenue,246957700000.0,214502600000.0,299398500000.0,193444500000.0,190403100000.0
EBITDA,59582700000.0,64601700000.0,65033100000.0,46891800000.0,40586400000.0
EBIT,39832300000.0,46498100000.0,44446900000.0,30815400000.0,24870200000.0
Net Interest Income,-9325600000.0,-8162300000.0,-5253100000.0,-7734100000.0,-6566700000.0
Interest Expense,9325600000.0,8162300000.0,10118700000.0,7734100000.0,6566700000.0
Normalized Income,11829295560.647333,14463827035.825521,8118893151.694525,8201200000.0,3730450000.0
Net Income From Continuing And Discontinued Operation,10365900000.0,14186800000.0,12088800000.0,8201200000.0,3146300000.0
Total Expenses,403376500000.0,358406600000.0,408952600000.0,326792000000.0,321388200000.0
Diluted Average Shares,679285714.0,679444444.0,,671678952.0,668004246.0
Basic Average Shares,678396597.0,678469632.0,,667306753.0,665179704.0
Diluted EPS,15.26,20.88,,12.21,4.71
Basic EPS,15.28,20.91,,12.29,4.73
Diluted NI Availto Com Stockholders,10365900000.0,14186800000.0,12088800000.0,8201200000.0,3146300000.0
Net Income Common Stockholders,10365900000.0,14186800000.0,12088800000.0,8201200000.0,3146300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,10365900000.0,14186800000.0,12088800000.0,8201200000.0,3146300000.0
Minority Interests,-11963600000.0,-13484000000.0,-13352500000.0,-9140400000.0,-6683100000.0
Net Income Including Noncontrolling Interests,22329500000.0,27670800000.0,25441400000.0,17341600000.0,9829400000.0
Net Income Discontinuous Operations,,,,-100000.0,
Net Income Continuous Operations,22329500000.0,27670800000.0,25441300000.0,17341600000.0,9829400000.0
Tax Provision,8177200000.0,10665000000.0,8886900000.0,5739700000.0,8474100000.0
Pretax Income,30506700000.0,38335800000.0,34328200000.0,23081300000.0,18303500000.0
Other Non Operating Income Expenses,2652200000.0,3421000000.0,-8088500000.0,3720000000.0,4008500000.0
Special Income Charges,-1999300000.0,-383800000.0,-940600000.0,0.0,-834500000.0
Other Special Charges,1991800000.0,383800000.0,,,834500000.0
Write Off,7500000.0,,,,
Impairment Of Capital Assets,,,,,499800000.0
Net Non Operating Interest Income Expense,-9325600000.0,-8162300000.0,-5253100000.0,-7734100000.0,-6566700000.0
Interest Expense Non Operating,9325600000.0,8162300000.0,10118700000.0,7734100000.0,6566700000.0
Operating Income,39743200000.0,42774200000.0,40665600000.0,26991400000.0,20837200000.0
Operating Expense,156418800000.0,143904000000.0,109554100000.0,133347500000.0,130985100000.0
Other Operating Expenses,57026900000.0,49995700000.0,-41062900000.0,49038400000.0,49434700000.0
Depreciation And Amortization In Income Statement,19750400000.0,18103600000.0,20586200000.0,16076400000.0,15716200000.0
Depreciation Income Statement,19750400000.0,18103600000.0,13205000000.0,16076400000.0,15716200000.0
Selling General And Administration,51002100000.0,49857000000.0,110662600000.0,43646400000.0,41577400000.0
Selling And Marketing Expense,51002100000.0,49857000000.0,107072200000.0,43646400000.0,41577400000.0
Gross Profit,196162000000.0,186678200000.0,150219700000.0,160338900000.0,151822300000.0
Cost Of Revenue,246957700000.0,214502600000.0,299398500000.0,193444500000.0,190403100000.0
Total Revenue,443119700000.0,401180800000.0,449618200000.0,353783400000.0,342225400000.0
Operating Revenue,443119700000.0,401180800000.0,449618200000.0,353783400000.0,342225400000.0
