,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-2476333272.826284,,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.259031,,0.259202,0.248649,0.250815,0.255
Normalized EBITDA,77970000000.0,,64910000000.0,69310000000.0,73370000000.0,68250000000.0
Total Unusual Items,-9560000000.0,,,,0.0,
Total Unusual Items Excluding Goodwill,-9560000000.0,,,,0.0,
Net Income From Continuing Operation Net Minority Interest,40760000000.0,,38430000000.0,43070000000.0,45910000000.0,42350000000.0
Reconciled Depreciation,11270000000.0,,10930000000.0,10400000000.0,10390000000.0,10070000000.0
Reconciled Cost Of Revenue,244140000000.0,189210000000.0,181060000000.0,187860000000.0,210940000000.0,
EBITDA,68410000000.0,,64910000000.0,69310000000.0,73370000000.0,68250000000.0
EBIT,57140000000.0,,53980000000.0,58910000000.0,62980000000.0,58180000000.0
Net Interest Income,-2050000000.0,,-2090000000.0,14110000000.0,-1660000000.0,-1310000000.0
Interest Expense,2050000000.0,,2090000000.0,1560000000.0,1660000000.0,1310000000.0
Normalized Income,47843666727.17371,,38430000000.0,43070000000.0,45910000000.0,42350000000.0
Net Income From Continuing And Discontinued Operation,40760000000.0,,38430000000.0,43070000000.0,45910000000.0,42350000000.0
Total Expenses,275870000000.0,219650000000.0,212690000000.0,208050000000.0,240690000000.0,
Diluted Average Shares,2708305648.0,,2712067749.0,,2711754282.0,2713004484.0
Basic Average Shares,2706507304.0,,2710155148.0,,2710153483.0,2711267606.0
Diluted EPS,15.05,,14.17,,16.93,15.61
Basic EPS,15.06,,14.18,,16.94,15.62
Diluted NI Availto Com Stockholders,40760000000.0,,38430000000.0,43070000000.0,45910000000.0,42350000000.0
Net Income Common Stockholders,40760000000.0,,38430000000.0,43070000000.0,45910000000.0,42350000000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0,0.0
Net Income,40760000000.0,,38430000000.0,43070000000.0,45910000000.0,42350000000.0
Minority Interests,-60000000.0,,-10000000.0,-20000000.0,-30000000.0,-20000000.0
Net Income Including Noncontrolling Interests,40820000000.0,,38440000000.0,43090000000.0,45940000000.0,42370000000.0
Net Income Continuous Operations,40820000000.0,,38440000000.0,43090000000.0,45940000000.0,42370000000.0
Tax Provision,14270000000.0,,13450000000.0,14260000000.0,15380000000.0,14500000000.0
Pretax Income,55090000000.0,,51890000000.0,57350000000.0,61320000000.0,56870000000.0
Other Non Operating Income Expenses,3850000000.0,-40600000000.0,-36820000000.0,-59820000000.0,4770000000.0,
Special Income Charges,-9560000000.0,,,,0.0,
Other Special Charges,9560000000.0,,,,,
Net Non Operating Interest Income Expense,-2050000000.0,,-2090000000.0,-1560000000.0,-1660000000.0,-1310000000.0
Interest Expense Non Operating,2050000000.0,,2090000000.0,1560000000.0,1660000000.0,1310000000.0
Operating Income,62850000000.0,99770000000.0,90800000000.0,94410000000.0,58210000000.0,
Operating Expense,31730000000.0,,31630000000.0,20190000000.0,29750000000.0,27630000000.0
Other Operating Expenses,20460000000.0,,20700000000.0,-11070000000.0,19360000000.0,17560000000.0
Depreciation And Amortization In Income Statement,11270000000.0,,10930000000.0,10400000000.0,10390000000.0,10070000000.0
Depreciation Income Statement,11270000000.0,,10930000000.0,10400000000.0,10390000000.0,10070000000.0
Gross Profit,94580000000.0,130210000000.0,122430000000.0,114600000000.0,87960000000.0,
Cost Of Revenue,244140000000.0,189210000000.0,181060000000.0,187860000000.0,210940000000.0,
Total Revenue,338720000000.0,,303490000000.0,302460000000.0,298900000000.0,288620000000.0
Operating Revenue,338720000000.0,,303490000000.0,302460000000.0,298900000000.0,288620000000.0
