,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.051745,0.027024,0.021772,0.068661,
Net Income From Continuing Operation Net Minority Interest,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Normalized Income,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Net Income From Continuing And Discontinued Operation,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Total Expenses,193256800000.0,289798400000.0,289060000000.0,236639600000.0,167943700000.0,
Diluted Average Shares,2163000000.0,2155618557.0,2158858268.0,2150950226.0,2149540816.0,
Basic Average Shares,2153636364.0,2155618557.0,2150392157.0,2150950226.0,2149540816.0,
Diluted EPS,2.3,1.94,2.54,2.21,1.96,
Basic EPS,2.31,1.94,2.55,2.21,1.96,
Diluted NI Availto Com Stockholders,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Net Income Common Stockholders,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Net Income,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Net Income Including Noncontrolling Interests,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Net Income Continuous Operations,4974900000.0,4181900000.0,5483500000.0,4753600000.0,4213100000.0,
Tax Provision,-77900000.0,228200000.0,152300000.0,105800000.0,310600000.0,
Pretax Income,4897000000.0,4410100000.0,5635800000.0,4859400000.0,4523700000.0,
Other Income Expense,0.0,0.0,0.0,0.0,0.0,
Other Operating Expenses,11658300000.0,9872700000.0,5084000000.0,9077200000.0,4952600000.0,
Selling General And Administration,,,,10758300000.0,2310000000.0,3412800000.0
Selling And Marketing Expense,,,,5841300000.0,2310000000.0,3412800000.0
Total Revenue,198153800000.0,294208500000.0,294695800000.0,241499000000.0,172467400000.0,
Operating Revenue,198153800000.0,294208500000.0,294695800000.0,241499000000.0,172467400000.0,
Net Policyholder Benefits And Claims,112700900000.0,92290000000.0,87207100000.0,110965200000.0,92088700000.0,
