,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-293264742.904082,0.0,0.0,1446282339.559463,0.0,
Tax Rate For Calcs,0.246441,0.256573,0.197722,0.253152,0.25957,
Normalized EBITDA,20494200000.0,20064000000.0,23522800000.0,12146700000.0,17224000000.0,
Total Unusual Items,-1190000000.0,,,5713100000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-1190000000.0,,,5713100000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,12675500000.0,13088900000.0,17052900000.0,11613300000.0,11075500000.0,
Reconciled Depreciation,2186100000.0,2102700000.0,2056100000.0,2041400000.0,2089100000.0,
Reconciled Cost Of Revenue,83140400000.0,80811900000.0,64478400000.0,65695100000.0,66725200000.0,
EBITDA,19304200000.0,20064000000.0,23522800000.0,17859800000.0,17224000000.0,
EBIT,17118100000.0,17961300000.0,21466700000.0,15818400000.0,15134900000.0,
Net Interest Income,-196400000.0,-192500000.0,-206600000.0,4288100000.0,-165500000.0,
Interest Expense,196400000.0,192500000.0,206600000.0,169300000.0,165500000.0,
Normalized Income,13572235257.095919,13088900000.0,17052900000.0,7346482339.559463,11075500000.0,
Net Income From Continuing And Discontinued Operation,12675500000.0,13088900000.0,17052900000.0,11613300000.0,11075500000.0,
Total Expenses,108592100000.0,105646200000.0,85204600000.0,84803200000.0,89610800000.0,
Diluted Average Shares,200244866.0,200319865.0,200221909.0,,200244079.0,200397513.0
Basic Average Shares,200055240.0,200105488.0,200010556.0,,199990971.0,199983080.0
Diluted EPS,63.3,65.34,85.17,,55.31,53.08
Basic EPS,63.36,65.41,85.26,,55.38,53.19
Diluted NI Availto Com Stockholders,12675500000.0,13088900000.0,17052900000.0,11613300000.0,11075500000.0,
Net Income Common Stockholders,12675500000.0,13088900000.0,17052900000.0,11613300000.0,11075500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,12675500000.0,13088900000.0,17052900000.0,11613300000.0,11075500000.0,
Minority Interests,-76000000.0,-120900000.0,-3600000.0,-74200000.0,-8300000.0,
Net Income Including Noncontrolling Interests,12751500000.0,13209800000.0,17056500000.0,11687500000.0,11083800000.0,
Net Income Continuous Operations,12751500000.0,13209800000.0,17056500000.0,11687500000.0,11083800000.0,
Tax Provision,4170200000.0,4559000000.0,4203600000.0,3961600000.0,3885600000.0,
Pretax Income,16921700000.0,17768800000.0,21260100000.0,15649100000.0,14969400000.0,
Other Non Operating Income Expenses,2977600000.0,2403900000.0,3099400000.0,2741900000.0,3064200000.0,
Special Income Charges,-1190000000.0,,,-19000000.0,0.0,0.0
Restructuring And Mergern Acquisition,,,,,,0.0
Net Non Operating Interest Income Expense,-196400000.0,-192500000.0,-206600000.0,4288100000.0,-165500000.0,
Interest Expense Non Operating,196400000.0,192500000.0,206600000.0,169300000.0,165500000.0,
Operating Income,16276100000.0,16537700000.0,12072900000.0,12785600000.0,12988100000.0,
Operating Expense,25451700000.0,24834300000.0,20726200000.0,19108100000.0,22885600000.0,
Other Operating Expenses,15729700000.0,15476600000.0,12179400000.0,-12532700000.0,13964100000.0,
Depreciation And Amortization In Income Statement,2186100000.0,2102700000.0,2056100000.0,2041400000.0,2089100000.0,
Depreciation Income Statement,2186100000.0,2102700000.0,2056100000.0,356500000.0,2089100000.0,
Gross Profit,41727800000.0,41372000000.0,32799100000.0,31893700000.0,35873700000.0,
Cost Of Revenue,83140400000.0,80811900000.0,64478400000.0,65695100000.0,66725200000.0,
Total Revenue,124868200000.0,122183900000.0,97277500000.0,97588800000.0,102598900000.0,
Operating Revenue,124868200000.0,122183900000.0,97277500000.0,97588800000.0,102598900000.0,
