,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-7143796394.485684,-528146788.990826,-497829457.364341,270595419.847328,-173902945.619335,
Tax Rate For Calcs,0.275716,0.275076,0.294574,0.193282,0.294751,
Normalized EBITDA,63010000000.0,75350000000.0,65990000000.0,71940000000.0,61720000000.0,
Total Unusual Items,-25910000000.0,-1920000000.0,-1690000000.0,1400000000.0,-590000000.0,
Total Unusual Items Excluding Goodwill,-25910000000.0,-1920000000.0,-1690000000.0,1400000000.0,-590000000.0,
Net Income From Continuing Operation Net Minority Interest,20490000000.0,47410000000.0,40040000000.0,52830000000.0,37350000000.0,
Reconciled Cost Of Revenue,447190000000.0,437420000000.0,430290000000.0,465450000000.0,374050000000.0,
EBITDA,37100000000.0,73430000000.0,64300000000.0,73340000000.0,61130000000.0,
EBIT,37100000000.0,73430000000.0,64300000000.0,73340000000.0,61130000000.0,
Net Interest Income,-8810000000.0,-8030000000.0,-7540000000.0,1570000000.0,-8170000000.0,
Interest Expense,8810000000.0,8030000000.0,7540000000.0,7840000000.0,8170000000.0,
Normalized Income,39256203605.51431,48801853211.00917,41232170542.63566,51700595419.84733,37766097054.38067,
Net Income From Continuing And Discontinued Operation,20490000000.0,47410000000.0,40040000000.0,52830000000.0,37350000000.0,
Total Expenses,607660000000.0,592370000000.0,582370000000.0,553940000000.0,527280000000.0,
Diluted Average Shares,2224755700.0,2223733583.0,2224444444.0,,2224538416.0,2226082005.0
Basic Average Shares,2219934995.0,2220608899.0,2220743206.0,,2220570749.0,2222285389.0
Diluted EPS,9.21,21.32,18.0,,16.79,17.56
Basic EPS,9.23,21.35,18.03,,16.82,17.59
Diluted NI Availto Com Stockholders,20490000000.0,47410000000.0,40040000000.0,52830000000.0,37350000000.0,
Net Income Common Stockholders,20490000000.0,47410000000.0,40040000000.0,52830000000.0,37350000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,20490000000.0,47410000000.0,40040000000.0,52830000000.0,37350000000.0,
Minority Interests,0.0,0.0,0.0,-10000000.0,0.0,
Net Income Including Noncontrolling Interests,20490000000.0,47410000000.0,40040000000.0,52840000000.0,37350000000.0,
Net Income Continuous Operations,20490000000.0,47410000000.0,40040000000.0,52840000000.0,37350000000.0,
Tax Provision,7800000000.0,17990000000.0,16720000000.0,12660000000.0,15610000000.0,
Pretax Income,28290000000.0,65400000000.0,56760000000.0,65500000000.0,52960000000.0,
Other Non Operating Income Expenses,5490000000.0,7130000000.0,6020000000.0,-17720000000.0,5090000000.0,
Special Income Charges,-25910000000.0,-1920000000.0,-1690000000.0,170000000.0,-590000000.0,
Other Special Charges,26100000000.0,1820000000.0,,-7540000000.0,410000000.0,5140000000.0
Write Off,-190000000.0,100000000.0,1690000000.0,7370000000.0,180000000.0,
Restructuring And Mergern Acquisition,,,,,,4950000000.0
Net Non Operating Interest Income Expense,-8810000000.0,-8030000000.0,-7540000000.0,1570000000.0,-8170000000.0,
Interest Expense Non Operating,8810000000.0,8030000000.0,7540000000.0,7840000000.0,8170000000.0,
Operating Income,57550000000.0,68210000000.0,59950000000.0,80220000000.0,56620000000.0,
Operating Expense,160470000000.0,154950000000.0,152080000000.0,88490000000.0,153230000000.0,
Other Operating Expenses,116980000000.0,113740000000.0,109550000000.0,-31820000000.0,115230000000.0,
Gross Profit,218020000000.0,223160000000.0,212030000000.0,168710000000.0,209850000000.0,
Cost Of Revenue,447190000000.0,437420000000.0,430290000000.0,465450000000.0,374050000000.0,
Total Revenue,665210000000.0,660580000000.0,642320000000.0,634160000000.0,583900000000.0,
Operating Revenue,665210000000.0,660580000000.0,642320000000.0,634160000000.0,583900000000.0,
