,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1580596094.552929,-205706933.091129,311320642.474717,1341998512.273742,-42778091.473744
Tax Rate For Calcs,0.274409,0.161974,0.263831,0.249442,0.267363
Normalized EBITDA,39200000000.0,39180000000.0,36710000000.0,39220000000.0,40060000000.0
Total Unusual Items,-5760000000.0,-1270000000.0,1180000000.0,5380000000.0,-160000000.0
Total Unusual Items Excluding Goodwill,-5760000000.0,-1270000000.0,1180000000.0,5380000000.0,-160000000.0
Net Income From Continuing Operation Net Minority Interest,21220000000.0,27560000000.0,24640000000.0,30220000000.0,25910000000.0
Reconciled Depreciation,3370000000.0,3610000000.0,3470000000.0,3180000000.0,3380000000.0
Reconciled Cost Of Revenue,79910000000.0,82410000000.0,89040000000.0,76000000000.0,77090000000.0
EBITDA,33440000000.0,37910000000.0,37890000000.0,44600000000.0,39900000000.0
EBIT,30070000000.0,34300000000.0,34420000000.0,41420000000.0,36520000000.0
Net Interest Income,-880000000.0,-1270000000.0,6750000000.0,-1090000000.0,-1100000000.0
Interest Expense,880000000.0,1270000000.0,800000000.0,1090000000.0,1100000000.0
Normalized Income,25399403905.44707,28624293066.90887,23771320642.474716,26181998512.273743,26027221908.526257
Net Income From Continuing And Discontinued Operation,66070000000.0,27560000000.0,24640000000.0,29840000000.0,25910000000.0
Total Expenses,127840000000.0,129660000000.0,121740000000.0,119820000000.0,122740000000.0
Diluted Average Shares,2349573257.0,2349531117.0,,2349606299.0,2349048051.0
Basic Average Shares,2349573257.0,2349531117.0,,2349606299.0,2349048051.0
Diluted EPS,28.12,11.73,,12.7,11.03
Basic EPS,28.12,11.73,,12.7,11.03
Diluted NI Availto Com Stockholders,66070000000.0,27560000000.0,24640000000.0,29840000000.0,25910000000.0
Net Income Common Stockholders,66070000000.0,27560000000.0,24640000000.0,29840000000.0,25910000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,66070000000.0,27560000000.0,24640000000.0,29840000000.0,25910000000.0
Minority Interests,40000000.0,-120000000.0,-110000000.0,-50000000.0,-40000000.0
Net Income Including Noncontrolling Interests,66030000000.0,27680000000.0,24750000000.0,29890000000.0,25950000000.0
Net Income Discontinuous Operations,44850000000.0,,,-380000000.0,
Net Income Continuous Operations,21180000000.0,27680000000.0,24750000000.0,30270000000.0,25950000000.0
Tax Provision,8010000000.0,5350000000.0,8870000000.0,10060000000.0,9470000000.0
Pretax Income,29190000000.0,33030000000.0,33620000000.0,40330000000.0,35420000000.0
Other Non Operating Income Expenses,1390000000.0,2010000000.0,-7020000000.0,2320000000.0,2190000000.0
Special Income Charges,-5760000000.0,-1270000000.0,-1380000000.0,5380000000.0,-160000000.0
Other Special Charges,-10000000.0,330000000.0,,-50000000.0,
Restructuring And Mergern Acquisition,5770000000.0,940000000.0,,-5330000000.0,
Net Non Operating Interest Income Expense,-880000000.0,-1270000000.0,6750000000.0,-1090000000.0,-1100000000.0
Interest Expense Non Operating,880000000.0,1270000000.0,800000000.0,1090000000.0,1100000000.0
Operating Income,34510000000.0,33570000000.0,32720000000.0,33710000000.0,34550000000.0
Operating Expense,47930000000.0,47250000000.0,32700000000.0,43820000000.0,45650000000.0
Other Operating Expenses,22260000000.0,21730000000.0,-13400000000.0,20690000000.0,21010000000.0
Depreciation And Amortization In Income Statement,3370000000.0,3610000000.0,3470000000.0,3180000000.0,3380000000.0
Depreciation Income Statement,3370000000.0,3610000000.0,3220000000.0,3180000000.0,3380000000.0
Selling General And Administration,15220000000.0,16560000000.0,35780000000.0,14860000000.0,15010000000.0
Selling And Marketing Expense,15220000000.0,16560000000.0,35780000000.0,14860000000.0,15010000000.0
Gross Profit,82440000000.0,80820000000.0,65420000000.0,77530000000.0,80200000000.0
Cost Of Revenue,79910000000.0,82410000000.0,89040000000.0,76000000000.0,77090000000.0
Total Revenue,162350000000.0,163230000000.0,154460000000.0,153530000000.0,157290000000.0
Operating Revenue,162350000000.0,163230000000.0,154460000000.0,153530000000.0,157290000000.0
