,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.243647,0.251391,0.260811,0.250186,0.251572,
Total Unusual Items,,0.0,,0.0,,0.0
Total Unusual Items Excluding Goodwill,,0.0,,0.0,,0.0
Net Income From Continuing Operation Net Minority Interest,125379800000.0,133570600000.0,135576000000.0,135022155000.0,128833700000.0,
Net Interest Income,264895200000.0,261635200000.0,259899000000.0,253395912000.0,244037100000.0,
Interest Expense,218743200000.0,220173900000.0,230900600000.0,230473229000.0,226334100000.0,
Interest Income,483638400000.0,481809100000.0,490799600000.0,483869200000.0,470371200000.0,
Normalized Income,125379800000.0,133570600000.0,135576000000.0,135022155000.0,128833700000.0,
Net Income From Continuing And Discontinued Operation,125379800000.0,133570600000.0,135576000000.0,135022200000.0,128833700000.0,
Diluted Average Shares,7251578947.0,,7246178514.0,7166783439.0,7177364903.0,7173279778.0
Basic Average Shares,7148221209.0,,7128075710.0,7065525903.0,7055514786.0,7040657966.0
Diluted EPS,17.29,,18.71,18.84,17.95,18.05
Basic EPS,17.54,,19.02,19.11,18.26,18.39
Diluted NI Availto Com Stockholders,125379800000.0,133570600000.0,135576000000.0,134604200000.0,128833700000.0,
Net Income Common Stockholders,125379800000.0,133570600000.0,135576000000.0,135022200000.0,128833700000.0,
Net Income,125379800000.0,133570600000.0,135576000000.0,135022155000.0,128833700000.0,
Minority Interests,-9431500000.0,-9610900000.0,-8987300000.0,-8514701000.0,-9635200000.0,
Net Income Including Noncontrolling Interests,134811300000.0,143181500000.0,144563300000.0,143536900000.0,138468900000.0,
Net Income Extraordinary,,0.0,,,,0.0
Net Income Continuous Operations,134811300000.0,143181500000.0,144563300000.0,143536665000.0,138468900000.0,
Tax Provision,43427300000.0,48081800000.0,51006800000.0,47893100000.0,46544100000.0,
Pretax Income,178238600000.0,191263300000.0,195570100000.0,191429765000.0,185013000000.0,
Special Income Charges,,0.0,,0.0,,0.0
Selling General And Administration,258585200000.0,256445500000.0,225105800000.0,-134083911000.0,245583700000.0,
General And Administrative Expense,258585200000.0,256445500000.0,225105800000.0,287304400000.0,245583700000.0,
Insurance And Claims,196151600000.0,195243300000.0,158723600000.0,-267562142000.0,188844800000.0,
Salaries And Wages,62433600000.0,61202200000.0,66382200000.0,58179275000.0,56738900000.0,
Total Revenue,549077600000.0,541292000000.0,514859700000.0,558564237000.0,519931500000.0,
Operating Revenue,549077600000.0,541292000000.0,514859700000.0,558564237000.0,519931500000.0,
Other Non Interest Expense,86486600000.0,85107600000.0,76585800000.0,79172000000.0,76839000000.0,
