,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-360354855.923159,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.023301,0.058164,0.032151,0.030984,0.3
Normalized EBITDA,36539000000.0,37068000000.0,45436000000.0,38352000000.0,3330000000.0
Total Unusual Items,-15465000000.0,,,0.0,
Total Unusual Items Excluding Goodwill,-15465000000.0,,,0.0,
Net Income From Continuing Operation Net Minority Interest,5498000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Reconciled Cost Of Revenue,175781000000.0,157427000000.0,183840000000.0,158110000000.0,155163000000.0
EBITDA,21074000000.0,37068000000.0,45436000000.0,38352000000.0,3330000000.0
EBIT,21074000000.0,37068000000.0,45436000000.0,38352000000.0,3330000000.0
Net Interest Income,-15452000000.0,-13961000000.0,2029000000.0,-13081000000.0,-12401000000.0
Interest Expense,15452000000.0,13961000000.0,13742000000.0,13081000000.0,12401000000.0
Normalized Income,20602645144.07684,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Net Income From Continuing And Discontinued Operation,5498000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Total Expenses,197733000000.0,176885000000.0,154114000000.0,177012000000.0,171854000000.0
Rent Expense Supplemental,38946000000.0,35630000000.0,40316000000.0,36165000000.0,35082000000.0
Diluted Average Shares,387183099.0,386966572.0,,386856240.0,386183953.0
Basic Average Shares,386638537.0,386485527.0,,386367939.0,386183953.0
Diluted EPS,14.2,56.24,,63.3,-25.55
Basic EPS,14.22,56.31,,63.38,-25.55
Diluted NI Availto Com Stockholders,5498000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Net Income Common Stockholders,5498000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,5498000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Minority Interests,7000000.0,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,5491000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Net Income Continuous Operations,5491000000.0,21763000000.0,30675000000.0,24488000000.0,-9867000000.0
Tax Provision,131000000.0,1344000000.0,1019000000.0,783000000.0,796000000.0
Pretax Income,5622000000.0,23107000000.0,31694000000.0,25271000000.0,-9071000000.0
Other Non Operating Income Expenses,10687000000.0,10463000000.0,-21769000000.0,8821000000.0,7894000000.0
Special Income Charges,-15465000000.0,,,0.0,
Other Special Charges,15465000000.0,,,,
Net Non Operating Interest Income Expense,-15452000000.0,-13961000000.0,2029000000.0,-13081000000.0,-12401000000.0
Interest Expense Non Operating,15452000000.0,13961000000.0,13742000000.0,13081000000.0,12401000000.0
Operating Income,36986000000.0,28078000000.0,35562000000.0,44095000000.0,-2158000000.0
Operating Expense,21952000000.0,19458000000.0,-29726000000.0,18902000000.0,16691000000.0
Other Operating Expenses,21952000000.0,19458000000.0,-8153000000.0,18902000000.0,16691000000.0
Gross Profit,58938000000.0,47536000000.0,5836000000.0,62997000000.0,14533000000.0
Cost Of Revenue,175781000000.0,157427000000.0,183840000000.0,158110000000.0,155163000000.0
Total Revenue,234719000000.0,204963000000.0,189676000000.0,221107000000.0,169696000000.0
Operating Revenue,234719000000.0,204963000000.0,189676000000.0,221107000000.0,169696000000.0
