,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,4523855.299756,0.0,0.0
Tax Rate For Calcs,0.264078,0.251793,0.227033,0.244839,0.251988
Total Unusual Items,0.0,0.0,19926000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,19926000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,1279800000.0,6040700000.0,-23288700000.0,14023300000.0,13312900000.0
Net Interest Income,45616500000.0,46398200000.0,30483340000.0,52280900000.0,53472600000.0
Interest Expense,68112300000.0,76240600000.0,75855103000.0,75726800000.0,73390200000.0
Interest Income,113728800000.0,122638800000.0,106338443000.0,128007700000.0,126862800000.0
Normalized Income,1279800000.0,6040700000.0,-23304102144.700245,14023300000.0,13312900000.0
Net Income From Continuing And Discontinued Operation,1279800000.0,6040700000.0,-23288700000.0,14023300000.0,13312900000.0
Diluted Average Shares,804905660.0,779445161.0,,779072222.0,779443794.0
Basic Average Shares,780365854.0,779445161.0,,778639645.0,778987712.0
Diluted EPS,1.59,7.75,,18.0,17.08
Basic EPS,1.64,7.75,,18.01,17.09
Diluted NI Availto Com Stockholders,1279800000.0,6040700000.0,-23288700000.0,14023300000.0,13312900000.0
Net Income Common Stockholders,1279800000.0,6040700000.0,-23288700000.0,14023300000.0,13312900000.0
Net Income,1279800000.0,6040700000.0,-23288700000.0,14023300000.0,13312900000.0
Net Income Including Noncontrolling Interests,1279800000.0,6040700000.0,-23288654000.0,14023300000.0,13312900000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0,0.0
Net Income Continuous Operations,1279800000.0,6040700000.0,-23288654000.0,14023300000.0,13312900000.0
Tax Provision,459100000.0,2032800000.0,-6840400000.0,4546700000.0,4484700000.0
Pretax Income,1738500000.0,8073300000.0,-30129600000.0,18570200000.0,17797300000.0
Special Income Charges,0.0,0.0,19926000.0,0.0,0.0
Operating Expense,39992300000.0,42294200000.0,40124969000.0,39824700000.0,39324000000.0
Other Operating Expenses,20943400000.0,24241500000.0,26463900000.0,23412700000.0,22778800000.0
Total Revenue,62688500000.0,67967400000.0,35322574000.0,75831200000.0,75322300000.0
Operating Revenue,62688500000.0,67967400000.0,35322574000.0,75831200000.0,75322300000.0
