,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,6655072.463768,7253218.88412,0.0,6797853.309481,6191601.049869,
Tax Rate For Calcs,0.277295,0.27897,0.289104,0.271914,0.294838,
Normalized EBITDA,1152000000.0,1286000000.0,1028000000.0,1254000000.0,1277000000.0,
Total Unusual Items,24000000.0,26000000.0,,25000000.0,21000000.0,
Total Unusual Items Excluding Goodwill,24000000.0,26000000.0,,25000000.0,21000000.0,
Net Income From Continuing Operation Net Minority Interest,747000000.0,839000000.0,809000000.0,813000000.0,804000000.0,
Reconciled Depreciation,130000000.0,135000000.0,,150000000.0,,
Reconciled Cost Of Revenue,3660000000.0,3516000000.0,3416000000.0,3302000000.0,3444000000.0,
EBITDA,1176000000.0,1312000000.0,1028000000.0,1279000000.0,1298000000.0,
EBIT,1046000000.0,1177000000.0,1028000000.0,1129000000.0,1155000000.0,
Net Interest Income,56000000.0,72000000.0,,114000000.0,58000000.0,72000000.0
Interest Expense,11000000.0,12000000.0,,11000000.0,12000000.0,
Interest Income,67000000.0,84000000.0,,125000000.0,70000000.0,
Normalized Income,729655072.463768,820253218.88412,809000000.0,794797853.309481,789191601.049869,
Net Income From Continuing And Discontinued Operation,747000000.0,839000000.0,809000000.0,813000000.0,804000000.0,
Total Expenses,4156000000.0,4011000000.0,3913000000.0,3745000000.0,3885000000.0,
Total Operating Income As Reported,937000000.0,1065000000.0,1028000000.0,991000000.0,1053000000.0,
Diluted Average Shares,4121795902.0,,4257894737.0,,4151534784.0,4089473684.0
Basic Average Shares,4114946425.0,,4045000000.0,,4141941436.0,4089473684.0
Diluted EPS,0.18,,0.19,0.2,0.19,0.19
Basic EPS,0.18,,0.2,0.2,0.19,0.19
Diluted NI Availto Com Stockholders,747000000.0,839000000.0,809000000.0,813000000.0,804000000.0,
Net Income Common Stockholders,747000000.0,839000000.0,809000000.0,813000000.0,804000000.0,
Net Income,747000000.0,839000000.0,809000000.0,813000000.0,804000000.0,
Minority Interests,-1000000.0,-1000000.0,,-1000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,748000000.0,840000000.0,809000000.0,814000000.0,806000000.0,
Net Income Continuous Operations,748000000.0,840000000.0,809000000.0,814000000.0,806000000.0,
Tax Provision,287000000.0,325000000.0,329000000.0,304000000.0,337000000.0,
Pretax Income,1035000000.0,1165000000.0,1138000000.0,1118000000.0,1143000000.0,
Other Income Expense,36000000.0,28000000.0,110000000.0,19000000.0,31000000.0,
Other Non Operating Income Expenses,12000000.0,2000000.0,110000000.0,-6000000.0,10000000.0,
Special Income Charges,-6000000.0,0.0,,6000000.0,-1000000.0,
Write Off,6000000.0,0.0,,-6000000.0,1000000.0,
Gain On Sale Of Security,30000000.0,26000000.0,,19000000.0,22000000.0,
Net Non Operating Interest Income Expense,56000000.0,72000000.0,,114000000.0,58000000.0,72000000.0
Total Other Finance Cost,,,,,,-72000000.0
Interest Expense Non Operating,11000000.0,12000000.0,,11000000.0,12000000.0,
Interest Income Non Operating,67000000.0,84000000.0,,125000000.0,70000000.0,
Operating Income,943000000.0,1065000000.0,1028000000.0,985000000.0,1054000000.0,
Operating Expense,496000000.0,495000000.0,497000000.0,443000000.0,441000000.0,
Other Operating Expenses,33000000.0,32000000.0,,30000000.0,31000000.0,
Other Taxes,8000000.0,9000000.0,,9000000.0,7000000.0,
Selling General And Administration,455000000.0,454000000.0,497000000.0,404000000.0,403000000.0,
Selling And Marketing Expense,53000000.0,254000000.0,258000000.0,55000000.0,45000000.0,
General And Administrative Expense,402000000.0,200000000.0,239000000.0,349000000.0,358000000.0,
Other Gand A,93000000.0,97000000.0,239000000.0,89000000.0,98000000.0,
Insurance And Claims,10000000.0,10000000.0,,9000000.0,8000000.0,
Salaries And Wages,299000000.0,93000000.0,,251000000.0,252000000.0,86000000.0
Gross Profit,1439000000.0,1560000000.0,1525000000.0,1428000000.0,1495000000.0,
Cost Of Revenue,3660000000.0,3516000000.0,3416000000.0,3302000000.0,3444000000.0,
Total Revenue,5099000000.0,5076000000.0,4941000000.0,4730000000.0,4939000000.0,
Operating Revenue,5099000000.0,5076000000.0,4941000000.0,4730000000.0,4939000000.0,
