,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1124858927.460544,-1065464.751648,-241702981.587213,1553803279.992192,3153303570.518591
Tax Rate For Calcs,0.242589,0.221972,0.166957,0.223794,0.237689
Normalized EBITDA,203785600000.0,108210100000.0,115970200000.0,45300700000.0,6310100000.0
Total Unusual Items,-4636900000.0,-4800000.0,-1447700000.0,6943000000.0,13266500000.0
Total Unusual Items Excluding Goodwill,-4636900000.0,-4800000.0,-1447700000.0,6943000000.0,13266500000.0
Net Income From Continuing Operation Net Minority Interest,130069200000.0,68137100000.0,81236400000.0,21152900000.0,-1695800000.0
Reconciled Cost Of Revenue,1694686300000.0,1671515600000.0,1828415200000.0,1733603800000.0,1591391600000.0
EBITDA,199148700000.0,108205300000.0,114522500000.0,52243700000.0,19576600000.0
EBIT,199148700000.0,108205300000.0,114522500000.0,52243700000.0,19576600000.0
Net Interest Income,-20880200000.0,-20700500000.0,2544400000.0,-24579000000.0,-25463700000.0
Interest Expense,20880200000.0,20700500000.0,14076000000.0,24579000000.0,25463700000.0
Normalized Income,133581241072.53946,68140834535.24835,82442397018.41278,15763703279.992191,-11808996429.48141
Net Income From Continuing And Discontinued Operation,130069200000.0,68137100000.0,81236400000.0,21152900000.0,-1695800000.0
Total Expenses,1864057700000.0,1832513400000.0,1784543100000.0,1907404800000.0,1757435100000.0
Diluted Average Shares,13778516949.0,13765070707.0,,13735649351.0,14131666667.0
Basic Average Shares,13778516949.0,13765070707.0,,13735649351.0,14131666667.0
Diluted EPS,9.44,4.95,,1.54,-0.12
Basic EPS,9.44,4.95,,1.54,-0.12
Diluted NI Availto Com Stockholders,130069200000.0,68137100000.0,81236400000.0,21152900000.0,-1695800000.0
Net Income Common Stockholders,130069200000.0,68137100000.0,81236400000.0,21152900000.0,-1695800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,130069200000.0,68137100000.0,81236400000.0,21152900000.0,-1695800000.0
Minority Interests,-4953400000.0,55900000.0,-2439900000.0,-320600000.0,2792000000.0
Net Income Including Noncontrolling Interests,135022600000.0,68081200000.0,83676300000.0,21473500000.0,-4487800000.0
Net Income Continuous Operations,135022600000.0,68081200000.0,83676300000.0,21473500000.0,-4487800000.0
Tax Provision,43245900000.0,19423600000.0,16770200000.0,6191200000.0,-1399300000.0
Pretax Income,178268500000.0,87504800000.0,100446500000.0,27664700000.0,-5887100000.0
Other Non Operating Income Expenses,11604500000.0,5832500000.0,-20929300000.0,10215700000.0,7232500000.0
Special Income Charges,-4631100000.0,800000.0,-1372000000.0,6951000000.0,13271800000.0
Other Special Charges,,,-10500000.0,-6796700000.0,-11573000000.0
Write Off,4631100000.0,-800000.0,1382500000.0,-154300000.0,-1698800000.0
Net Non Operating Interest Income Expense,-20880200000.0,-20700500000.0,2544400000.0,-24579000000.0,-25463700000.0
Interest Expense Non Operating,20880200000.0,20700500000.0,14076000000.0,24579000000.0,25463700000.0
Operating Income,187516000000.0,90893100000.0,132781100000.0,32740100000.0,-7673900000.0
Operating Expense,169371400000.0,160997800000.0,-43872100000.0,173801000000.0,166043500000.0
Other Operating Expenses,139081000000.0,130316700000.0,-232985900000.0,148551300000.0,139821400000.0
Gross Profit,356887400000.0,251890900000.0,88909000000.0,206541100000.0,158369600000.0
Cost Of Revenue,1694686300000.0,1671515600000.0,1828415200000.0,1733603800000.0,1591391600000.0
Total Revenue,2051573700000.0,1923406500000.0,1917324200000.0,1940144900000.0,1749761200000.0
Operating Revenue,2051573700000.0,1923406500000.0,1917324200000.0,1940144900000.0,1749761200000.0
