,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-911182108.296023,0.0,2518894903.10293,0.0,0.0
Tax Rate For Calcs,0.256975,0.250364,0.245878,0.264122,0.260837
Normalized EBITDA,75589500000.0,75674400000.0,62336100000.0,69618600000.0,71671000000.0
Total Unusual Items,-3545800000.0,0.0,10244500000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-3545800000.0,0.0,10244500000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,49311900000.0,52442000000.0,50747600000.0,47313600000.0,49175800000.0
Reconciled Depreciation,4308200000.0,4229600000.0,4110300000.0,4159800000.0,4161800000.0
Reconciled Cost Of Revenue,84176400000.0,102304800000.0,81348200000.0,79634900000.0,90660100000.0
EBITDA,72043700000.0,75674400000.0,72580600000.0,69618600000.0,71671000000.0
EBIT,67735500000.0,71444800000.0,68470300000.0,65458800000.0,67509200000.0
Net Interest Income,-194700000.0,-164700000.0,14778500000.0,-98200000.0,-147300000.0
Interest Expense,194700000.0,164700000.0,109100000.0,98200000.0,147300000.0
Normalized Income,51946517891.70398,52442000000.0,43021994903.10293,47313600000.0,49175800000.0
Net Income From Continuing And Discontinued Operation,49311900000.0,52442000000.0,197273700000.0,49348000000.0,49928700000.0
Total Expenses,134665400000.0,149794200000.0,125954500000.0,126344400000.0,137052300000.0
Diluted Average Shares,12515710660.0,12545933014.0,,12524873096.0,12513458647.0
Basic Average Shares,12515710660.0,12515990453.0,,12493164557.0,12513458647.0
Diluted EPS,3.94,4.18,,3.94,3.99
Basic EPS,3.94,4.19,,3.95,3.99
Diluted NI Availto Com Stockholders,49311900000.0,52442000000.0,197273700000.0,49348000000.0,49928700000.0
Net Income Common Stockholders,49311900000.0,52442000000.0,197273700000.0,49348000000.0,49928700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,49311900000.0,52442000000.0,197273700000.0,49348000000.0,49928700000.0
Minority Interests,-872600000.0,-992100000.0,-805500000.0,-783800000.0,-615600000.0
Net Income Including Noncontrolling Interests,50184500000.0,53434100000.0,198078800000.0,50131800000.0,50544300000.0
Net Income Discontinuous Operations,0.0,0.0,146526100000.0,2034400000.0,
Net Income Continuous Operations,50184500000.0,53434100000.0,51552700000.0,48097400000.0,49791400000.0
Tax Provision,17356300000.0,17846000000.0,16808500000.0,17263200000.0,17570500000.0
Pretax Income,67540800000.0,71280100000.0,68361200000.0,65360600000.0,67361900000.0
Other Non Operating Income Expenses,5740400000.0,6822100000.0,-17382200000.0,5958600000.0,6108700000.0
Special Income Charges,-3545800000.0,0.0,1308900000.0,0.0,0.0
Net Non Operating Interest Income Expense,-194700000.0,-164700000.0,14778500000.0,-98200000.0,-147300000.0
Interest Expense Non Operating,194700000.0,164700000.0,109100000.0,98200000.0,147300000.0
Operating Income,64517000000.0,63935100000.0,59696000000.0,59459200000.0,61359000000.0
Operating Expense,50489000000.0,47489400000.0,44606300000.0,46709500000.0,46392200000.0
Other Operating Expenses,30430800000.0,27719900000.0,-18838100000.0,28742400000.0,29074000000.0
Depreciation And Amortization In Income Statement,4308200000.0,4229600000.0,4110300000.0,4159800000.0,4161800000.0
Depreciation Income Statement,4308200000.0,4229600000.0,4110300000.0,4159800000.0,4161800000.0
Gross Profit,115006000000.0,111424500000.0,104302300000.0,106168700000.0,107751200000.0
Cost Of Revenue,84176400000.0,102304800000.0,81348200000.0,79634900000.0,90660100000.0
Total Revenue,199182400000.0,213729300000.0,185650500000.0,185803600000.0,198411300000.0
Operating Revenue,199182400000.0,213729300000.0,185650500000.0,185803600000.0,198411300000.0
