,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,64310969.759171,0.0,0.0,0.0
Tax Rate For Calcs,0.275162,0.2251,0.201359,0.218546,0.109142
Normalized EBITDA,5910200000.0,4953300000.0,4092200000.0,3829800000.0,7791000000.0
Total Unusual Items,0.0,285700000.0,,0.0,
Total Unusual Items Excluding Goodwill,0.0,285700000.0,,0.0,
Net Income From Continuing Operation Net Minority Interest,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Reconciled Depreciation,75500000.0,61300000.0,57600000.0,57600000.0,56100000.0
Reconciled Cost Of Revenue,999500000.0,636800000.0,293000000.0,535400000.0,677100000.0
EBITDA,5910200000.0,5239000000.0,4092200000.0,3829800000.0,7791000000.0
EBIT,5834700000.0,5177700000.0,4034600000.0,3772200000.0,7734900000.0
Net Interest Income,-2123800000.0,-988000000.0,3768200000.0,0.0,0.0
Interest Expense,2123800000.0,988000000.0,76500000.0,0.0,0.0
Normalized Income,2689800000.0,3025210969.759171,3161100000.0,2947800000.0,6890700000.0
Net Income From Continuing And Discontinued Operation,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Total Expenses,1390100000.0,-343100000.0,4254300000.0,-606100000.0,-608600000.0
Diluted Average Shares,6404285714.0,6365882353.0,,6408260870.0,6321743119.0
Basic Average Shares,6404285714.0,6365882353.0,,6408260870.0,6321743119.0
Diluted EPS,0.42,0.51,,0.46,1.09
Basic EPS,0.42,0.51,,0.46,1.09
Diluted NI Availto Com Stockholders,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Net Income Common Stockholders,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Net Income Including Noncontrolling Interests,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Net Income Continuous Operations,2689800000.0,3246600000.0,3161100000.0,2947800000.0,6890700000.0
Tax Provision,1021100000.0,943100000.0,797000000.0,824400000.0,844200000.0
Pretax Income,3710900000.0,4189700000.0,3958100000.0,3772200000.0,7734900000.0
Other Non Operating Income Expenses,1500000.0,70000000.0,247400000.0,105400000.0,3500000.0
Special Income Charges,0.0,285700000.0,,0.0,
Restructuring And Mergern Acquisition,,-285700000.0,,,
Net Non Operating Interest Income Expense,-2123800000.0,-988000000.0,3768200000.0,0.0,0.0
Interest Expense Non Operating,2123800000.0,988000000.0,76500000.0,0.0,0.0
Operating Income,5473600000.0,4507500000.0,-115100000.0,3076000000.0,5474300000.0
Operating Expense,390600000.0,-979900000.0,3961300000.0,-1141500000.0,-1285700000.0
Other Operating Expenses,2460400000.0,919000000.0,-418600000.0,714500000.0,727500000.0
Depreciation And Amortization In Income Statement,75500000.0,61300000.0,57600000.0,57600000.0,56100000.0
Depreciation Income Statement,75500000.0,61300000.0,-65900000.0,57600000.0,56100000.0
Gross Profit,5864200000.0,3527600000.0,3846200000.0,1934500000.0,4188600000.0
Cost Of Revenue,999500000.0,636800000.0,293000000.0,535400000.0,677100000.0
Total Revenue,6863700000.0,4164400000.0,4139200000.0,2469900000.0,4865700000.0
Operating Revenue,6863700000.0,4164400000.0,4139200000.0,2469900000.0,4865700000.0
