,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1587000000.0,0.0,-170757225.433526,-401332767.402377,-1026000000.0
Tax Rate For Calcs,0.3,0.280924,0.13237,0.389643,0.3
Normalized EBITDA,66520000000.0,78260000000.0,59010000000.0,57320000000.0,55280000000.0
Total Unusual Items,-5290000000.0,0.0,-1290000000.0,-1030000000.0,-3420000000.0
Total Unusual Items Excluding Goodwill,-5290000000.0,0.0,-1290000000.0,-1030000000.0,-3420000000.0
Net Income From Continuing Operation Net Minority Interest,21390000000.0,21840000000.0,15030000000.0,7170000000.0,4390000000.0
Reconciled Depreciation,23620000000.0,25370000000.0,24970000000.0,23360000000.0,22670000000.0
Reconciled Cost Of Revenue,272660000000.0,229970000000.0,344490000000.0,245100000000.0,229050000000.0
EBITDA,61230000000.0,78260000000.0,57720000000.0,56290000000.0,51860000000.0
EBIT,37610000000.0,52890000000.0,32750000000.0,32930000000.0,29190000000.0
Net Interest Income,-23040000000.0,-22170000000.0,-12650000000.0,-21150000000.0,-21300000000.0
Interest Expense,23040000000.0,22170000000.0,15450000000.0,21150000000.0,21300000000.0
Normalized Income,25093000000.0,21840000000.0,16149242774.566475,7798667232.597623,6784000000.0
Net Income From Continuing And Discontinued Operation,21390000000.0,21840000000.0,15030000000.0,7170000000.0,4390000000.0
Total Expenses,410850000000.0,374210000000.0,398970000000.0,375500000000.0,359340000000.0
Diluted Average Shares,2444571429.0,2445688690.0,,2447098976.0,2438888889.0
Basic Average Shares,2441780822.0,2440223464.0,,2438775510.0,2438888889.0
Diluted EPS,8.75,8.93,,2.93,1.8
Basic EPS,8.76,8.95,,2.94,1.8
Diluted NI Availto Com Stockholders,21390000000.0,21840000000.0,15030000000.0,7170000000.0,4390000000.0
Net Income Common Stockholders,21390000000.0,21840000000.0,15030000000.0,7170000000.0,4390000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,21390000000.0,21840000000.0,15030000000.0,7170000000.0,4390000000.0
Minority Interests,-2710000000.0,-250000000.0,20000000.0,-20000000.0,350000000.0
Net Income Including Noncontrolling Interests,24100000000.0,22090000000.0,15010000000.0,7190000000.0,4040000000.0
Net Income Continuous Operations,24100000000.0,22090000000.0,15010000000.0,7190000000.0,4040000000.0
Tax Provision,-9530000000.0,8630000000.0,2290000000.0,4590000000.0,3850000000.0
Pretax Income,14570000000.0,30720000000.0,17300000000.0,11780000000.0,7890000000.0
Other Non Operating Income Expenses,2730000000.0,3500000000.0,-3910000000.0,1470000000.0,1530000000.0
Special Income Charges,-5290000000.0,0.0,-1760000000.0,-1030000000.0,-3420000000.0
Other Special Charges,5290000000.0,,1760000000.0,1030000000.0,3420000000.0
Net Non Operating Interest Income Expense,-23040000000.0,-22170000000.0,-12650000000.0,-21150000000.0,-21300000000.0
Interest Expense Non Operating,23040000000.0,22170000000.0,15450000000.0,21150000000.0,21300000000.0
Operating Income,41340000000.0,50390000000.0,44440000000.0,32430000000.0,31700000000.0
Operating Expense,138190000000.0,144240000000.0,54480000000.0,130400000000.0,130290000000.0
Other Operating Expenses,109240000000.0,112560000000.0,-71690000000.0,101400000000.0,101220000000.0
Depreciation And Amortization In Income Statement,23620000000.0,25370000000.0,24970000000.0,23360000000.0,22670000000.0
Depreciation Income Statement,23620000000.0,25370000000.0,22740000000.0,23360000000.0,22670000000.0
Gross Profit,179530000000.0,194630000000.0,98920000000.0,162830000000.0,161990000000.0
Cost Of Revenue,272660000000.0,229970000000.0,344490000000.0,245100000000.0,229050000000.0
Total Revenue,452190000000.0,424600000000.0,443410000000.0,407930000000.0,391040000000.0
Operating Revenue,452190000000.0,424600000000.0,443410000000.0,407930000000.0,391040000000.0
