,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,,0.0,-8532471750.75907,0.0,0.0
Tax Rate For Calcs,0.249389,,0.268324,0.227073,0.249261,0.248099
Total Unusual Items,0.0,,0.0,-37575954000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,,0.0,-37575954000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,49242900000.0,,44721800000.0,49327590000.0,47010200000.0,50440500000.0
Net Interest Income,101223700000.0,,97189800000.0,96123443000.0,94634500000.0,92879900000.0
Interest Expense,73844300000.0,,75293300000.0,71595809000.0,71696900000.0,71389800000.0
Interest Income,175068000000.0,,172483100000.0,167719252000.0,166331400000.0,164269700000.0
Normalized Income,49242900000.0,,44721800000.0,78371072249.24094,47010200000.0,50440500000.0
Net Income From Continuing And Discontinued Operation,49242900000.0,,44721800000.0,49327590000.0,47010200000.0,50440500000.0
Diluted Average Shares,9945492975.0,9942745883.0,9942596710.0,,9940868355.0,9940973591.0
Basic Average Shares,9945492975.0,9942745883.0,9942596710.0,,9940868355.0,9940973591.0
Diluted EPS,0.99,4.494,4.498,,0.946,5.074
Basic EPS,0.99,4.494,4.498,,0.946,5.074
Diluted NI Availto Com Stockholders,49242900000.0,,44721800000.0,49327600000.0,47010200000.0,50440500000.0
Net Income Common Stockholders,49242900000.0,,44721800000.0,49327600000.0,47010200000.0,50440500000.0
Net Income,49242900000.0,,44721800000.0,49327590000.0,47010200000.0,50440500000.0
Minority Interests,0.0,,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,49242900000.0,,44721800000.0,49327563000.0,47010200000.0,50440500000.0
Net Income Extraordinary,0.0,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,49242900000.0,,44721800000.0,49327563000.0,47010200000.0,50440500000.0
Tax Provision,16293400000.0,,16242700000.0,14421600000.0,15404500000.0,16490800000.0
Pretax Income,65333400000.0,,60534000000.0,63510949000.0,61800800000.0,66468600000.0
Special Income Charges,0.0,,0.0,-37575954000.0,0.0,
Gain On Sale Of Security,9691700000.0,,23842800000.0,48155757000.0,-10789300000.0,22441700000.0
Operating Expense,129934300000.0,,118000200000.0,107945710000.0,95418500000.0,122038200000.0
Other Operating Expenses,38307600000.0,,35298800000.0,81174518000.0,34732900000.0,33026800000.0
Insurance And Claims,57273600000.0,,51599400000.0,-54894238000.0,31097600000.0,59419600000.0
Total Revenue,204589600000.0,,191661800000.0,214985999000.0,167761000000.0,197503700000.0
Operating Revenue,204589600000.0,,191661800000.0,214985999000.0,167761000000.0,197503700000.0
