,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,-6195925408.970779,0.0,0.0
Tax Rate For Calcs,0.277614,0.261789,0.234661,0.249764,0.259632
Normalized EBITDA,88578500000.0,76744400000.0,124262500000.0,72227400000.0,74633100000.0
Total Unusual Items,,0.0,-26403700000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,-26403700000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,45588700000.0,36171900000.0,54972600000.0,33588400000.0,33952900000.0
Reconciled Depreciation,10717400000.0,10333000000.0,10294600000.0,10470000000.0,10238400000.0
Reconciled Cost Of Revenue,480620100000.0,419371700000.0,509345900000.0,436152100000.0,410125300000.0
EBITDA,88578500000.0,76744400000.0,97858800000.0,72227400000.0,74633100000.0
EBIT,77861100000.0,66411400000.0,87564200000.0,61757400000.0,64394700000.0
Net Interest Income,-6251300000.0,-7816100000.0,14062900000.0,-8427100000.0,-8843800000.0
Interest Expense,6251300000.0,7816100000.0,7424000000.0,8427100000.0,8843800000.0
Normalized Income,45588700000.0,36171900000.0,75180374591.02922,33588400000.0,33952900000.0
Net Income From Continuing And Discontinued Operation,45588700000.0,36171900000.0,54972600000.0,33588400000.0,33952900000.0
Total Expenses,651046300000.0,583945600000.0,615175100000.0,594599100000.0,562163800000.0
Diluted Average Shares,1376331336.0,1375880563.0,,1376009832.0,1375725284.0
Basic Average Shares,1375742405.0,1375357414.0,,1374883340.0,1375168084.0
Diluted EPS,23.36,26.29,,24.41,24.68
Basic EPS,23.37,26.3,,24.43,24.69
Diluted NI Availto Com Stockholders,32151100000.0,36171900000.0,54972600000.0,33588400000.0,33952900000.0
Net Income Common Stockholders,32151100000.0,36171900000.0,54972600000.0,33588400000.0,33952900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,32151100000.0,36171900000.0,54972600000.0,33588400000.0,33952900000.0
Minority Interests,-6095400000.0,-7009800000.0,-6585600000.0,-6151400000.0,-7035500000.0
Net Income Including Noncontrolling Interests,38246500000.0,43181700000.0,61558200000.0,39739800000.0,40988400000.0
Net Income Extraordinary,-13437600000.0,,,0.0,
Net Income Continuous Operations,51684100000.0,43181700000.0,61558200000.0,39739800000.0,40988400000.0
Tax Provision,19879900000.0,15339600000.0,18805800000.0,13320000000.0,14422800000.0
Pretax Income,71609800000.0,58595300000.0,80140200000.0,53330300000.0,55550900000.0
Other Non Operating Income Expenses,14410400000.0,13567800000.0,-24809200000.0,9678700000.0,11012700000.0
Special Income Charges,,0.0,-40194100000.0,0.0,0.0
Net Non Operating Interest Income Expense,-6251300000.0,-7816100000.0,14062900000.0,-8427100000.0,-8843800000.0
Interest Expense Non Operating,6251300000.0,7816100000.0,7424000000.0,8427100000.0,8843800000.0
Operating Income,63450700000.0,52843600000.0,113489600000.0,52078700000.0,53382000000.0
Operating Expense,170426200000.0,164573900000.0,105829200000.0,158447000000.0,152038500000.0
Depreciation And Amortization In Income Statement,10717400000.0,10333000000.0,10294600000.0,10470000000.0,10238400000.0
Depreciation Income Statement,10717400000.0,10333000000.0,1052200000.0,10470000000.0,10238400000.0
Selling General And Administration,31710200000.0,27856500000.0,-24042400000.0,28855100000.0,27243600000.0
Selling And Marketing Expense,31710200000.0,27856500000.0,-79963800000.0,28855100000.0,27243600000.0
General And Administrative Expense,,,-28721900000.0,28855100000.0,27243600000.0
Gross Profit,233876900000.0,217417500000.0,219318800000.0,210525700000.0,205420500000.0
Cost Of Revenue,480620100000.0,419371700000.0,509345900000.0,436152100000.0,410125300000.0
Total Revenue,714497000000.0,636789200000.0,728664700000.0,646677800000.0,615545800000.0
Operating Revenue,714497000000.0,636789200000.0,728664700000.0,646677800000.0,615545800000.0
