,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1564295000.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.265,0.273,0.262015,0.262,0.258
Normalized EBITDA,22299000000.0,20415000000.0,23237000000.0,18058000000.0,19982000000.0
Total Unusual Items,-5903000000.0,,,0.0,
Total Unusual Items Excluding Goodwill,-5903000000.0,,,0.0,
Net Income From Continuing Operation Net Minority Interest,9706000000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0
Reconciled Depreciation,-2429000000.0,2429000000.0,7271000000.0,2644000000.0,2411000000.0
Reconciled Cost Of Revenue,74225000000.0,70059000000.0,70744000000.0,69447000000.0,66915000000.0
EBITDA,16396000000.0,20415000000.0,23237000000.0,18058000000.0,19982000000.0
EBIT,13740000000.0,17986000000.0,15966000000.0,15414000000.0,17571000000.0
Net Interest Income,-693000000.0,-724000000.0,-673000000.0,-689000000.0,-703000000.0
Interest Expense,693000000.0,724000000.0,673000000.0,689000000.0,703000000.0
Normalized Income,14044705000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0
Net Income From Continuing And Discontinued Operation,9706000000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0
Total Expenses,90439000000.0,84341000000.0,84263000000.0,83320000000.0,79747000000.0
Diluted Average Shares,296728829.0,296617786.0,,296638426.0,296656391.0
Basic Average Shares,296366412.0,296267423.0,,296152797.0,296094675.0
Diluted EPS,32.71,42.28,,36.59,42.17
Basic EPS,32.75,42.33,,36.65,42.25
Diluted NI Availto Com Stockholders,9706000000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0
Net Income Common Stockholders,9706000000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,9706000000.0,12541000000.0,11285000000.0,10854000000.0,12510000000.0
Minority Interests,110000000.0,-5000000.0,-1000000.0,-13000000.0,-6000000.0
Net Income Including Noncontrolling Interests,9596000000.0,12546000000.0,11286000000.0,10867000000.0,12516000000.0
Net Income Continuous Operations,9596000000.0,12546000000.0,11286000000.0,10867000000.0,12516000000.0
Tax Provision,3451000000.0,4716000000.0,4007000000.0,3858000000.0,4352000000.0
Pretax Income,13047000000.0,17262000000.0,15293000000.0,14725000000.0,16868000000.0
Other Non Operating Income Expenses,2272000000.0,3921000000.0,2512000000.0,2125000000.0,2989000000.0
Special Income Charges,-5903000000.0,,,0.0,
Net Non Operating Interest Income Expense,-693000000.0,-724000000.0,-673000000.0,-689000000.0,-703000000.0
Interest Expense Non Operating,693000000.0,724000000.0,673000000.0,689000000.0,703000000.0
Operating Income,17371000000.0,14065000000.0,13454000000.0,13289000000.0,14582000000.0
Operating Expense,16214000000.0,14282000000.0,13519000000.0,13873000000.0,12832000000.0
Other Operating Expenses,13558000000.0,11853000000.0,11011000000.0,11229000000.0,10421000000.0
Depreciation And Amortization In Income Statement,2656000000.0,2429000000.0,2508000000.0,2644000000.0,2411000000.0
Depreciation Income Statement,2656000000.0,2429000000.0,2508000000.0,2644000000.0,2411000000.0
Gross Profit,33585000000.0,28347000000.0,26973000000.0,27162000000.0,27414000000.0
Cost Of Revenue,74225000000.0,70059000000.0,70744000000.0,69447000000.0,66915000000.0
Total Revenue,107810000000.0,98406000000.0,97717000000.0,96609000000.0,94329000000.0
Operating Revenue,107810000000.0,98406000000.0,97717000000.0,96609000000.0,94329000000.0
