,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-689980728.067692,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.235537,0.224576,0.234493,0.2882,0.29091
Normalized EBITDA,114297500000.0,96228600000.0,83069700000.0,89493200000.0,82589700000.0
Total Unusual Items,-2929400000.0,,,,
Total Unusual Items Excluding Goodwill,-2929400000.0,,,,
Net Income From Continuing Operation Net Minority Interest,46746400000.0,40833200000.0,32951700000.0,31805800000.0,31707200000.0
Reconciled Depreciation,21628900000.0,15475600000.0,15132500000.0,14951700000.0,13019900000.0
Reconciled Cost Of Revenue,321466000000.0,283349000000.0,264049500000.0,251291200000.0,226824100000.0
EBITDA,111368100000.0,96228600000.0,83069700000.0,89493200000.0,82589700000.0
EBIT,89739200000.0,80753000000.0,67937200000.0,74541500000.0,69569800000.0
Net Interest Income,-24053000000.0,-24311900000.0,-11449600000.0,-23621600000.0,-22170200000.0
Interest Expense,24053000000.0,24311900000.0,21669200000.0,23621600000.0,22170200000.0
Normalized Income,48985819271.932304,40833200000.0,32951700000.0,31805800000.0,31707200000.0
Net Income From Continuing And Discontinued Operation,46746400000.0,40833200000.0,32951700000.0,31805800000.0,31707200000.0
Total Expenses,441022600000.0,386642900000.0,330188200000.0,347344900000.0,320923300000.0
Diluted Average Shares,1121285680.0,1120867417.0,,1119922535.0,1120000000.0
Basic Average Shares,1116998805.0,1116271186.0,,1115601543.0,1115272599.0
Diluted EPS,41.69,36.43,,28.4,28.31
Basic EPS,41.85,36.58,,28.51,28.43
Diluted NI Availto Com Stockholders,46746400000.0,40833200000.0,32495600000.0,31805800000.0,31707200000.0
Net Income Common Stockholders,46746400000.0,40833200000.0,32951700000.0,31805800000.0,31707200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,46746400000.0,40833200000.0,32951700000.0,31805800000.0,31707200000.0
Minority Interests,-3468300000.0,-2932600000.0,-2466800000.0,-4439000000.0,-1903400000.0
Net Income Including Noncontrolling Interests,50214700000.0,43765800000.0,35418500000.0,36244800000.0,33610600000.0
Net Income Continuous Operations,50214700000.0,43765800000.0,35418500000.0,36244800000.0,33610600000.0
Tax Provision,15471500000.0,12675300000.0,10849500000.0,14675100000.0,13789000000.0
Pretax Income,65686200000.0,56441100000.0,46268000000.0,50919900000.0,47399600000.0
Other Non Operating Income Expenses,8585200000.0,9169200000.0,-9535000000.0,4113300000.0,6592200000.0
Special Income Charges,-2929400000.0,,,,
Net Non Operating Interest Income Expense,-24053000000.0,-24311900000.0,-11449600000.0,-23621600000.0,-22170200000.0
Interest Expense Non Operating,24053000000.0,24311900000.0,21669200000.0,23621600000.0,22170200000.0
Operating Income,74776900000.0,67715900000.0,64623600000.0,67304900000.0,55967100000.0
Operating Expense,119556600000.0,103293900000.0,66138700000.0,96053700000.0,94099200000.0
Other Operating Expenses,64568900000.0,57373100000.0,-68664500000.0,52274300000.0,54527100000.0
Depreciation And Amortization In Income Statement,21628900000.0,15475600000.0,15132500000.0,14951700000.0,13019900000.0
Depreciation Income Statement,21628900000.0,15475600000.0,-3549600000.0,14951700000.0,13019900000.0
Gross Profit,194333500000.0,171009800000.0,130762300000.0,163358600000.0,150066300000.0
Cost Of Revenue,321466000000.0,283349000000.0,264049500000.0,251291200000.0,226824100000.0
Total Revenue,515799500000.0,454358800000.0,394811800000.0,414649800000.0,376890400000.0
Operating Revenue,515799500000.0,454358800000.0,394811800000.0,414649800000.0,376890400000.0
