,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.211132,0.232851,0.204689,0.211405,0.396471
Normalized EBITDA,67136000000.0,65463000000.0,64271000000.0,62013000000.0,65693000000.0
Net Income From Continuing Operation Net Minority Interest,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Reconciled Depreciation,17346000000.0,15560000000.0,14618000000.0,14290000000.0,13857000000.0
Reconciled Cost Of Revenue,362195000000.0,272728000000.0,353792000000.0,272311000000.0,264283000000.0
EBITDA,67136000000.0,65463000000.0,64271000000.0,62013000000.0,65693000000.0
EBIT,49790000000.0,49903000000.0,49653000000.0,47723000000.0,51836000000.0
Net Interest Income,-617000000.0,-468000000.0,3853000000.0,-463000000.0,-430000000.0
Interest Expense,617000000.0,468000000.0,476000000.0,463000000.0,430000000.0
Normalized Income,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Net Income From Continuing And Discontinued Operation,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Total Expenses,436987000000.0,335575000000.0,378610000000.0,331576000000.0,319734000000.0
Diluted Average Shares,314402658.0,314408887.0,,314400202.0,314400081.0
Basic Average Shares,314402658.0,314408887.0,,314400202.0,314400081.0
Diluted EPS,123.38,120.62,,118.54,98.68
Basic EPS,123.38,120.62,,118.54,98.68
Diluted NI Availto Com Stockholders,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Net Income Common Stockholders,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Minority Interests,0.0,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Net Income Continuous Operations,38791000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0
Tax Provision,10382000000.0,11511000000.0,10066000000.0,9991000000.0,20381000000.0
Pretax Income,49173000000.0,49435000000.0,49177000000.0,47260000000.0,51406000000.0
Other Non Operating Income Expenses,10551000000.0,18882000000.0,-34011000000.0,10577000000.0,15232000000.0
Net Non Operating Interest Income Expense,-617000000.0,-468000000.0,3853000000.0,-463000000.0,-430000000.0
Interest Expense Non Operating,617000000.0,468000000.0,476000000.0,463000000.0,430000000.0
Operating Income,38385000000.0,30666000000.0,33396000000.0,36475000000.0,36131000000.0
Operating Expense,74792000000.0,62847000000.0,24818000000.0,59265000000.0,55451000000.0
Other Operating Expenses,54106000000.0,46615000000.0,-75303000000.0,46701000000.0,43414000000.0
Depreciation And Amortization In Income Statement,17346000000.0,15560000000.0,14618000000.0,14290000000.0,13857000000.0
Depreciation Income Statement,17346000000.0,15560000000.0,12792000000.0,14290000000.0,13857000000.0
Gross Profit,113177000000.0,93513000000.0,58214000000.0,95740000000.0,91582000000.0
Cost Of Revenue,362195000000.0,272728000000.0,353792000000.0,272311000000.0,264283000000.0
Total Revenue,475372000000.0,366241000000.0,412006000000.0,368051000000.0,355865000000.0
Operating Revenue,475372000000.0,366241000000.0,412006000000.0,368051000000.0,355865000000.0
