,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-84189082.130905,0.0,0.0,-126193913.043478,-167036426.328229,
Tax Rate For Calcs,0.174521,0.3,0.230902,0.207453,0.226859,
Normalized EBITDA,5837200000.0,6080500000.0,5594200000.0,6031000000.0,5324300000.0,
Total Unusual Items,-482400000.0,0.0,0.0,-608300000.0,-736300000.0,
Total Unusual Items Excluding Goodwill,-482400000.0,0.0,0.0,-608300000.0,-736300000.0,
Net Income From Continuing Operation Net Minority Interest,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Reconciled Depreciation,1112700000.0,1081000000.0,1041400000.0,1008300000.0,975400000.0,
Reconciled Cost Of Revenue,4403500000.0,4648900000.0,4452400000.0,4092700000.0,3918200000.0,
EBITDA,5354800000.0,6080500000.0,5594200000.0,5422700000.0,4588000000.0,
EBIT,4242100000.0,4999500000.0,4552800000.0,4414400000.0,3612600000.0,
Net Interest Income,-297900000.0,-290600000.0,-267000000.0,-275200000.0,-290800000.0,
Interest Expense,596700000.0,539200000.0,548500000.0,389400000.0,523900000.0,
Interest Income,298800000.0,248600000.0,281500000.0,276900000.0,233100000.0,
Normalized Income,3407410917.869095,4913000000.0,3079700000.0,3672106086.956522,2957263573.671771,
Net Income From Continuing And Discontinued Operation,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Total Expenses,16404500000.0,16684200000.0,16088000000.0,12938800000.0,14667200000.0,
Diluted Average Shares,973851133.0,978685259.0,977682540.0,,978688525.0,978506944.0
Basic Average Shares,970709677.0,972871287.0,971514196.0,,970731707.0,971758621.0
Diluted EPS,3.09,5.02,3.15,,2.44,2.88
Basic EPS,3.1,5.05,3.17,,2.46,2.9
Diluted NI Availto Com Stockholders,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Net Income Common Stockholders,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Net Income Including Noncontrolling Interests,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Net Income Continuous Operations,3009200000.0,4913000000.0,3079700000.0,3190000000.0,2388000000.0,
Tax Provision,636200000.0,-452700000.0,924600000.0,835000000.0,700700000.0,
Pretax Income,3645400000.0,4460300000.0,4004300000.0,4025000000.0,3088700000.0,
Other Non Operating Income Expenses,155000000.0,80400000.0,83600000.0,-62100000.0,99900000.0,
Special Income Charges,-482400000.0,0.0,0.0,-608300000.0,-736300000.0,
Other Special Charges,482400000.0,,,,,
Restructuring And Mergern Acquisition,0.0,,,369000000.0,736300000.0,
Net Non Operating Interest Income Expense,-297900000.0,-290600000.0,-267000000.0,-275200000.0,-290800000.0,
Interest Expense Non Operating,596700000.0,539200000.0,548500000.0,389400000.0,523900000.0,
Interest Income Non Operating,298800000.0,248600000.0,281500000.0,276900000.0,233100000.0,
Operating Income,4270700000.0,4670500000.0,4187700000.0,4977600000.0,4015900000.0,
Operating Expense,12001000000.0,12035300000.0,11635600000.0,8846100000.0,10749000000.0,
Other Operating Expenses,3063800000.0,3043800000.0,2949600000.0,-2039600000.0,2866200000.0,
Depreciation And Amortization In Income Statement,1112700000.0,1081000000.0,1041400000.0,1008300000.0,975400000.0,
Depreciation Income Statement,1112700000.0,1081000000.0,1041400000.0,503700000.0,975400000.0,
Selling General And Administration,4419900000.0,4527300000.0,4263900000.0,7538900000.0,3861400000.0,
General And Administrative Expense,4419900000.0,4527300000.0,4263900000.0,6646700000.0,3861400000.0,
Gross Profit,16271700000.0,16705800000.0,15823300000.0,13823700000.0,14764900000.0,
Cost Of Revenue,4403500000.0,4648900000.0,4452400000.0,4092700000.0,3918200000.0,
Total Revenue,20675200000.0,21354700000.0,20275700000.0,17916400000.0,18683100000.0,
Operating Revenue,20675200000.0,21354700000.0,20275700000.0,17916400000.0,18683100000.0,
