,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,205010923.608753,0.0,1470209.785517,0.0,459758259.471527
Tax Rate For Calcs,0.130622,0.271719,0.267311,0.247624,0.2507
Normalized EBITDA,11941400000.0,10916600000.0,13804800000.0,10993200000.0,11708700000.0
Total Unusual Items,1569500000.0,0.0,5500000.0,0.0,1833900000.0
Total Unusual Items Excluding Goodwill,1569500000.0,0.0,5500000.0,0.0,1833900000.0
Net Income From Continuing Operation Net Minority Interest,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Reconciled Depreciation,1744100000.0,1569400000.0,1513500000.0,1502700000.0,1216000000.0
Reconciled Cost Of Revenue,25088300000.0,22854300000.0,26114100000.0,20846000000.0,22139200000.0
EBITDA,13510900000.0,10916600000.0,13810300000.0,10993200000.0,13542600000.0
EBIT,11766800000.0,9347200000.0,12296800000.0,9490500000.0,12326600000.0
Net Interest Income,-282500000.0,-468900000.0,192200000.0,-346000000.0,-322200000.0
Interest Expense,282500000.0,468900000.0,375100000.0,346000000.0,322200000.0
Normalized Income,8619710923.608753,6465900000.0,8730870209.785517,6880100000.0,7620758259.471527
Net Income From Continuing And Discontinued Operation,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Total Expenses,46158600000.0,41306400000.0,41978000000.0,38097100000.0,40286300000.0
Total Operating Income As Reported,,,,,10671800000.0
Diluted Average Shares,1931179884.0,1927242921.0,,1927198880.0,1930236052.0
Basic Average Shares,1931179884.0,1927242921.0,,1927198880.0,1930236052.0
Diluted EPS,5.17,3.355,,3.57,4.66
Basic EPS,5.17,3.355,,3.57,4.66
Diluted NI Availto Com Stockholders,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Net Income Common Stockholders,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Net Income Including Noncontrolling Interests,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Net Income Continuous Operations,9984200000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0
Tax Provision,1500100000.0,2412400000.0,3186800000.0,2264400000.0,3009500000.0
Pretax Income,11484300000.0,8878300000.0,11921700000.0,9144500000.0,12004400000.0
Other Non Operating Income Expenses,117100000.0,40400000.0,84400000.0,44400000.0,68600000.0
Special Income Charges,1569500000.0,0.0,-15800000.0,0.0,1833900000.0
Other Special Charges,-1569500000.0,,-24100000.0,,-1833900000.0
Impairment Of Capital Assets,,,39900000.0,177600000.0,0.0
Net Non Operating Interest Income Expense,-282500000.0,-468900000.0,192200000.0,-346000000.0,-322200000.0
Interest Expense Non Operating,282500000.0,468900000.0,375100000.0,346000000.0,322200000.0
Operating Income,10276600000.0,9433200000.0,12498400000.0,9524200000.0,10461300000.0
Operating Expense,21070300000.0,18452100000.0,15863900000.0,17251100000.0,18147100000.0
Other Operating Expenses,13651600000.0,11948000000.0,-10436600000.0,10977800000.0,12206800000.0
Depreciation And Amortization In Income Statement,1744100000.0,1569400000.0,1513500000.0,1502700000.0,1216000000.0
Depreciation Income Statement,1744100000.0,1569400000.0,1513500000.0,1502700000.0,1216000000.0
Gross Profit,31346900000.0,27885300000.0,28362300000.0,26775300000.0,28608400000.0
Cost Of Revenue,25088300000.0,22854300000.0,26114100000.0,20846000000.0,22139200000.0
Total Revenue,56435200000.0,50739600000.0,54476400000.0,47621300000.0,50747600000.0
Operating Revenue,56435200000.0,50739600000.0,54476400000.0,47621300000.0,50747600000.0
