,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-5273959988.338538,-2983229638.033789,-4590140989.052512,-20339720766.535797,-5349977915.569064,
Tax Rate For Calcs,0.262115,0.270166,0.25498,0.319056,0.27697,
Normalized EBITDA,214090100000.0,217994100000.0,206501900000.0,201865260000.0,191614200000.0,
Total Unusual Items,-20120800000.0,-11042200000.0,-18002000000.0,-63749770000.0,-19316100000.0,
Total Unusual Items Excluding Goodwill,-20120800000.0,-11042200000.0,-18002000000.0,-63749770000.0,-19316100000.0,
Net Income From Continuing Operation Net Minority Interest,100157800000.0,107848800000.0,98040700000.0,73228330000.0,85846000000.0,
Reconciled Cost Of Revenue,1132965700000.0,1040407300000.0,1113468400000.0,1366214310000.0,1153995200000.0,
EBITDA,193969300000.0,206951900000.0,188499900000.0,138115490000.0,172298100000.0,
EBIT,193969300000.0,206951900000.0,188499900000.0,138115490000.0,172298100000.0,
Net Interest Income,-32068500000.0,-34109800000.0,-33414100000.0,49244950000.0,-37496800000.0,
Interest Expense,32068500000.0,34109800000.0,33414100000.0,8055680000.0,37496800000.0,
Normalized Income,115004640011.66147,115907770361.96622,111452559010.9475,116638379233.4642,99812122084.43094,
Net Income From Continuing And Discontinued Operation,100157800000.0,107848800000.0,98040700000.0,73228330000.0,85846000000.0,
Total Expenses,1358847200000.0,1254661800000.0,1326630600000.0,1355118840000.0,1364903100000.0,
Diluted Average Shares,12582638191.0,12569790210.0,12585455712.0,,12568960469.0,12589741697.0
Basic Average Shares,12582638191.0,12569790210.0,12585455712.0,,12568960469.0,12589741697.0
Diluted EPS,7.96,8.58,7.79,,6.83,8.13
Basic EPS,7.96,8.58,7.79,,6.83,8.13
Diluted NI Availto Com Stockholders,100157800000.0,107848800000.0,98040700000.0,73228330000.0,85846000000.0,
Net Income Common Stockholders,100157800000.0,107848800000.0,98040700000.0,73228330000.0,85846000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,100157800000.0,107848800000.0,98040700000.0,73228330000.0,85846000000.0,
Minority Interests,-19306400000.0,-18297200000.0,-17501400000.0,-15335170000.0,-11619400000.0,
Net Income Including Noncontrolling Interests,119464200000.0,126146000000.0,115542100000.0,88563500000.0,97465400000.0,
Net Income Continuous Operations,119464200000.0,126146000000.0,115542100000.0,88563500000.0,97465400000.0,
Tax Provision,42436600000.0,46696100000.0,39543700000.0,41496310000.0,37335900000.0,
Pretax Income,161900800000.0,172842100000.0,155085800000.0,130059810000.0,134801300000.0,
Other Non Operating Income Expenses,-102264400000.0,-109851300000.0,-95669800000.0,328355240000.0,-111961400000.0,
Special Income Charges,-20120800000.0,-11042200000.0,-18002000000.0,-68474190000.0,-19316100000.0,
Other Special Charges,-451200000.0,1900000.0,185600000.0,,,240400000.0
Impairment Of Capital Assets,20572000000.0,11040300000.0,17816400000.0,58594210000.0,19316100000.0,
Net Non Operating Interest Income Expense,-32068500000.0,-34109800000.0,-33414100000.0,49244950000.0,-37496800000.0,
Interest Expense Non Operating,32068500000.0,34109800000.0,33414100000.0,8055680000.0,37496800000.0,
Operating Income,315382100000.0,324449000000.0,304450600000.0,-190115690000.0,307222400000.0,
Operating Expense,225881500000.0,214254500000.0,213162200000.0,-11095470000.0,210907900000.0,
Other Operating Expenses,207476400000.0,196463600000.0,194278500000.0,-195884840000.0,191727200000.0,
Gross Profit,541263600000.0,538703500000.0,517612800000.0,-201211160000.0,518130300000.0,
Cost Of Revenue,1132965700000.0,1040407300000.0,1113468400000.0,1366214310000.0,1153995200000.0,
Total Revenue,1674229300000.0,1579110800000.0,1631081200000.0,1165003150000.0,1672125500000.0,
Operating Revenue,1674229300000.0,1579110800000.0,1631081200000.0,1165003150000.0,1672125500000.0,
