,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.250525,0.202529,0.18335,0.222059,0.199579
Normalized EBITDA,108107500000.0,93505000000.0,109193200000.0,100429200000.0,101648800000.0
Net Income From Continuing Operation Net Minority Interest,39263400000.0,34177600000.0,40924800000.0,38191600000.0,35472500000.0
Reconciled Depreciation,33814600000.0,31304700000.0,31955100000.0,32161900000.0,32920600000.0
EBITDA,108107500000.0,93505000000.0,105094700000.0,100429200000.0,101648800000.0
EBIT,74292900000.0,62200300000.0,73139600000.0,68267300000.0,68728200000.0
Net Interest Income,-21905000000.0,-19342800000.0,-2620500000.0,-19174100000.0,-24410900000.0
Interest Expense,21905000000.0,19342800000.0,23026600000.0,19174100000.0,24410900000.0
Normalized Income,39263400000.0,34177600000.0,40924800000.0,38191600000.0,35472500000.0
Net Income From Continuing And Discontinued Operation,39263400000.0,34177600000.0,40924800000.0,38191600000.0,35472500000.0
Total Expenses,51235700000.0,51799500000.0,52472600000.0,49112400000.0,48685000000.0
Diluted Average Shares,9299911111.0,9309179487.0,,9305132530.0,9296617647.0
Basic Average Shares,9299911111.0,9309179487.0,,9305132530.0,9296617647.0
Diluted EPS,4.5,3.9,,4.15,4.08
Basic EPS,4.5,3.9,,4.15,4.08
Diluted NI Availto Com Stockholders,41849600000.0,36305800000.0,41428700000.0,38616300000.0,37930200000.0
Net Income Common Stockholders,41849600000.0,36305800000.0,41428700000.0,38616300000.0,37930200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,41849600000.0,36305800000.0,41428700000.0,38616300000.0,37930200000.0
Net Income Including Noncontrolling Interests,41849600000.0,36305800000.0,41428700000.0,38616300000.0,37930200000.0
Net Income Extraordinary,2586200000.0,2128200000.0,503900000.0,424700000.0,2457700000.0
Net Income Continuous Operations,39263400000.0,34177600000.0,40924800000.0,38191600000.0,35472500000.0
Tax Provision,13124500000.0,8679900000.0,9188200000.0,10901600000.0,8844800000.0
Pretax Income,52387900000.0,42857500000.0,50113000000.0,49093200000.0,44317300000.0
Other Non Operating Income Expenses,2039900000.0,2482000000.0,3154500000.0,5100300000.0,5681700000.0
Net Non Operating Interest Income Expense,-21905000000.0,-19342800000.0,-23026600000.0,-19174100000.0,-24410900000.0
Interest Expense Non Operating,21905000000.0,19342800000.0,27125100000.0,19174100000.0,24410900000.0
Operating Income,72715200000.0,60162700000.0,66291900000.0,63217900000.0,64092600000.0
Operating Expense,51235700000.0,51799500000.0,23096300000.0,49112400000.0,48685000000.0
Other Operating Expenses,10828300000.0,14089100000.0,-13702700000.0,10983100000.0,9555000000.0
Depreciation And Amortization In Income Statement,33814600000.0,31304700000.0,31955100000.0,32161900000.0,32920600000.0
Depreciation Income Statement,33814600000.0,31304700000.0,30695500000.0,32161900000.0,32920600000.0
Total Revenue,123950900000.0,111962200000.0,122753500000.0,112330300000.0,112777600000.0
Operating Revenue,123950900000.0,111962200000.0,122753500000.0,112330300000.0,112777600000.0
