,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.034793,0.027138,0.032238,0.036371,0.032015
Net Income From Continuing Operation Net Minority Interest,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Normalized Income,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Net Income From Continuing And Discontinued Operation,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Total Expenses,455127200000.0,384019900000.0,207142600000.0,182887800000.0,397758200000.0
Diluted Average Shares,1003026087.0,1002310287.0,,1003315118.0,1002689394.0
Basic Average Shares,1003026087.0,1002310287.0,,1001490909.0,1000793951.0
Diluted EPS,5.75,5.93,,5.49,5.28
Basic EPS,5.75,5.93,,5.5,5.29
Diluted NI Availto Com Stockholders,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Net Income Common Stockholders,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Net Income,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Net Income Including Noncontrolling Interests,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0,0.0
Net Income Continuous Operations,5767400000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0
Tax Provision,207900000.0,165800000.0,271000000.0,207900000.0,175100000.0
Pretax Income,5975300000.0,6109500000.0,8406100000.0,5716100000.0,5469300000.0
Other Income Expense,0.0,0.0,0.0,0.0,0.0
Other Operating Expenses,1775000000.0,5885300000.0,-19256900000.0,4291200000.0,5555000000.0
Total Revenue,461102500000.0,390129400000.0,215549100000.0,188603900000.0,403227500000.0
Operating Revenue,461102500000.0,390129400000.0,215549100000.0,188603900000.0,403227500000.0
Net Policyholder Benefits And Claims,153697500000.0,105383300000.0,114778300000.0,129549700000.0,144684400000.0
