,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,,0.0,-41968451.057966,0.0,0.0
Tax Rate For Calcs,0.272417,,0.2601,0.258597,0.249978,0.264054
Total Unusual Items,0.0,,0.0,-162293000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,,0.0,-162293000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,213171100000.0,,212014700000.0,196004571000.0,188531600000.0,197827600000.0
Net Interest Income,518071700000.0,,474622200000.0,487699398000.0,472569200000.0,474259200000.0
Interest Expense,787825500000.0,,782664600000.0,782270553000.0,773967400000.0,736187600000.0
Interest Income,1305897200000.0,,1257286800000.0,1269969951000.0,1246536600000.0,1210446800000.0
Normalized Income,213171100000.0,,212014700000.0,196124895548.94205,188531600000.0,197827600000.0
Net Income From Continuing And Discontinued Operation,213171100000.0,,212014700000.0,196004571000.0,188531600000.0,197827600000.0
Diluted Average Shares,9232182763.0,,8923177609.0,,8926685606.0,8923211547.0
Basic Average Shares,9232182763.0,,8923177609.0,,8926685606.0,8923211547.0
Diluted EPS,23.09,,23.76,,21.12,22.17
Basic EPS,23.09,,23.76,,21.12,22.17
Diluted NI Availto Com Stockholders,213171100000.0,,212014700000.0,196004571000.0,188531600000.0,197827600000.0
Net Income Common Stockholders,213171100000.0,,212014700000.0,196004571000.0,188531600000.0,197827600000.0
Net Income,213171100000.0,,212014700000.0,196004571000.0,188531600000.0,197827600000.0
Minority Interests,-8586100000.0,,-9199100000.0,-7789982000.0,-6306200000.0,-7822700000.0
Net Income Including Noncontrolling Interests,221757200000.0,,221213800000.0,203794544000.0,194837800000.0,205650300000.0
Net Income Extraordinary,0.0,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,221757200000.0,,221213800000.0,203794544000.0,194837800000.0,205650300000.0
Tax Provision,81906700000.0,,76024800000.0,69554300000.0,63910500000.0,72546900000.0
Pretax Income,300667100000.0,,292291200000.0,268968135000.0,255664000000.0,274743100000.0
Special Income Charges,0.0,,0.0,-162293000.0,0.0,0.0
Operating Expense,725349000000.0,,535048200000.0,647879037000.0,615636100000.0,580183100000.0
Other Operating Expenses,545105500000.0,487683900000.0,350142500000.0,215777860000.0,438959000000.0,
Insurance And Claims,,,224792300000.0,364634115000.0,295950900000.0,254904300000.0
Total Revenue,1068657800000.0,,887253600000.0,884586956000.0,904568300000.0,901836200000.0
Operating Revenue,1068657800000.0,,887253600000.0,884586956000.0,904568300000.0,901836200000.0
