,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.173818,0.258875,0.241108,0.137911,0.3
Normalized EBITDA,10928300000.0,15678300000.0,15827100000.0,10755800000.0,7948600000.0
Net Income From Continuing Operation Net Minority Interest,2667000000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0
Reconciled Depreciation,7098300000.0,6538100000.0,7875400000.0,7991100000.0,7158700000.0
Reconciled Cost Of Revenue,16453300000.0,17476400000.0,23508000000.0,16088100000.0,15771100000.0
EBITDA,10928300000.0,15678300000.0,15827100000.0,10755800000.0,7948600000.0
EBIT,3830000000.0,9140200000.0,7951700000.0,2764700000.0,789900000.0
Net Interest Income,-590400000.0,-455300000.0,1398700000.0,-517600000.0,-557100000.0
Interest Expense,590400000.0,455300000.0,375000000.0,517600000.0,557100000.0
Normalized Income,2667000000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0
Net Income From Continuing And Discontinued Operation,2667000000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0
Total Expenses,45630400000.0,46020900000.0,46068900000.0,44069900000.0,41565600000.0
Diluted Average Shares,36079545.0,36080171.0,,36075359.0,36090652.0
Basic Average Shares,36079545.0,36080171.0,,36075359.0,36090652.0
Diluted EPS,73.92,178.12,,53.61,21.18
Basic EPS,73.92,178.12,,53.61,21.18
Diluted NI Availto Com Stockholders,2667000000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0
Net Income Common Stockholders,2667000000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,2667000000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0
Minority Interests,-9500000.0,-10000000.0,-6700000.0,-3200000.0,-2000000.0
Net Income Including Noncontrolling Interests,2676500000.0,6436600000.0,5749900000.0,1937200000.0,766400000.0
Net Income Continuous Operations,2676500000.0,6436600000.0,5749900000.0,1937200000.0,766400000.0
Tax Provision,563100000.0,2248300000.0,1826800000.0,309900000.0,-533600000.0
Pretax Income,3239600000.0,8684900000.0,7576700000.0,2247100000.0,232800000.0
Other Non Operating Income Expenses,1455200000.0,2352300000.0,-4310500000.0,1107800000.0,1813800000.0
Net Non Operating Interest Income Expense,-590400000.0,-455300000.0,1398700000.0,-517600000.0,-557100000.0
Interest Expense Non Operating,590400000.0,455300000.0,375000000.0,517600000.0,557100000.0
Operating Income,2374800000.0,6787900000.0,6187500000.0,1656900000.0,-1023900000.0
Operating Expense,29177100000.0,28544500000.0,22560900000.0,27981800000.0,25794500000.0
Other Operating Expenses,7112700000.0,7351700000.0,-3517100000.0,6736000000.0,6358500000.0
Depreciation And Amortization In Income Statement,7098300000.0,6538100000.0,7875400000.0,7991100000.0,7158700000.0
Depreciation Income Statement,7098300000.0,6538100000.0,7875400000.0,7991100000.0,7158700000.0
Selling General And Administration,11136200000.0,11639000000.0,18067500000.0,10491700000.0,9399900000.0
Selling And Marketing Expense,11136200000.0,11639000000.0,16974200000.0,10491700000.0,9399900000.0
Gross Profit,31551900000.0,35332400000.0,28748400000.0,29638700000.0,24770600000.0
Cost Of Revenue,16453300000.0,17476400000.0,23508000000.0,16088100000.0,15771100000.0
Total Revenue,48005200000.0,52808800000.0,52256400000.0,45726800000.0,40541700000.0
Operating Revenue,48005200000.0,52808800000.0,52256400000.0,45726800000.0,40541700000.0
