,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,-21930857.726246,3893291168.402967,0.0
Tax Rate For Calcs,0.249593,0.258403,0.228209,0.250588,0.247233
Total Unusual Items,0.0,0.0,-96100000.0,15536600000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-96100000.0,15536600000.0,0.0
Net Income From Continuing Operation Net Minority Interest,25296800000.0,21594500000.0,21437700000.0,32336600000.0,20617700000.0
Reconciled Depreciation,1766300000.0,1731100000.0,1710600000.0,1619200000.0,1588600000.0
Net Interest Income,65799100000.0,57727900000.0,55665600000.0,55895800000.0,54640800000.0
Interest Expense,52593500000.0,54007600000.0,52239900000.0,47512600000.0,43504200000.0
Interest Income,118392600000.0,111735500000.0,107905500000.0,103408400000.0,98145000000.0
Normalized Income,25296800000.0,21594500000.0,21511869142.273754,20693291168.402966,20617700000.0
Net Income From Continuing And Discontinued Operation,25296500000.0,21594000000.0,21437700000.0,32468500000.0,21404000000.0
Diluted Average Shares,1882180060.0,1882650392.0,,1882231884.0,1882497801.0
Basic Average Shares,1880780669.0,1881010453.0,,1880052113.0,1879192274.0
Diluted EPS,13.44,11.47,,17.25,11.37
Basic EPS,13.45,11.48,,17.27,11.39
Diluted NI Availto Com Stockholders,25296500000.0,21594000000.0,21437700000.0,32468500000.0,21404000000.0
Net Income Common Stockholders,25296500000.0,21594000000.0,21437700000.0,32468500000.0,21404000000.0
Net Income,25296500000.0,21594000000.0,21437700000.0,32468500000.0,21404000000.0
Minority Interests,0.0,100000.0,0.0,-17900000.0,-128700000.0
Net Income Including Noncontrolling Interests,25296500000.0,21593900000.0,21437700000.0,32486400000.0,21532700000.0
Net Income Discontinuous Operations,-300000.0,-500000.0,0.0,131900000.0,786300000.0
Net Income Continuous Operations,25296800000.0,21594400000.0,21437700000.0,32354500000.0,20746400000.0
Tax Provision,8395100000.0,7509800000.0,6325900000.0,10807400000.0,6802700000.0
Pretax Income,33635200000.0,29062300000.0,27719800000.0,43128100000.0,27515300000.0
Special Income Charges,0.0,0.0,-96100000.0,15536600000.0,0.0
Gain On Sale Of Security,569500000.0,1350200000.0,3258100000.0,1160000000.0,620800000.0
Operating Expense,20600400000.0,18075700000.0,16974100000.0,17149500000.0,16129600000.0
Other Operating Expenses,6449500000.0,6570900000.0,-1404600000.0,5826200000.0,5474300000.0
Depreciation And Amortization In Income Statement,1766300000.0,1731100000.0,1710600000.0,1619200000.0,1588600000.0
Depreciation Income Statement,1766300000.0,1731100000.0,-1944000000.0,1619200000.0,1588600000.0
Total Revenue,67338800000.0,59993700000.0,54219600000.0,57999300000.0,55994800000.0
Operating Revenue,67338800000.0,59993700000.0,54219600000.0,57999300000.0,55994800000.0
