,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-956539954.957939,-2243410962.660388,502635757.063623,-508269376.941664,0.0
Tax Rate For Calcs,0.19542,0.274256,0.336076,0.160758,0.157651
Normalized EBITDA,55273300000.0,47661200000.0,38177200000.0,44746400000.0,42929600000.0
Total Unusual Items,-4894800000.0,-8180000000.0,1495600000.0,-3161700000.0,0.0
Total Unusual Items Excluding Goodwill,-4894800000.0,-8180000000.0,1495600000.0,-3161700000.0,0.0
Net Income From Continuing Operation Net Minority Interest,33688100000.0,22786300000.0,21498800000.0,29033800000.0,30401600000.0
Reconciled Depreciation,7323300000.0,7005500000.0,6637900000.0,6305600000.0,6259100000.0
Reconciled Cost Of Revenue,29451000000.0,28147600000.0,40873400000.0,27405400000.0,26942000000.0
EBITDA,50378500000.0,39481200000.0,39672800000.0,41584700000.0,42929600000.0
EBIT,43055200000.0,32475700000.0,33034900000.0,35279100000.0,36670500000.0
Net Interest Income,-783600000.0,-748000000.0,11809900000.0,-515100000.0,-691700000.0
Interest Expense,783600000.0,748000000.0,491400000.0,515100000.0,691700000.0
Normalized Income,37626360045.04206,28722889037.33961,20505835757.06362,31687230623.058334,30401600000.0
Net Income From Continuing And Discontinued Operation,33688100000.0,22786300000.0,21498800000.0,29033800000.0,30401600000.0
Total Expenses,114068300000.0,104140000000.0,99840900000.0,98751300000.0,100792600000.0
Diluted Average Shares,2406292857.0,2398557895.0,,2399487603.0,2393826772.0
Basic Average Shares,2406292857.0,2398557895.0,,2399487603.0,2393826772.0
Diluted EPS,14.0,9.5,,12.1,12.7
Basic EPS,14.0,9.5,,12.1,12.7
Diluted NI Availto Com Stockholders,33688100000.0,22786300000.0,21498800000.0,29033800000.0,30401600000.0
Net Income Common Stockholders,33688100000.0,22786300000.0,21498800000.0,29033800000.0,30401600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,33688100000.0,22786300000.0,21498800000.0,29033800000.0,30401600000.0
Minority Interests,-123600000.0,-142400000.0,-40500000.0,-96000000.0,28300000.0
Net Income Including Noncontrolling Interests,33811700000.0,22928700000.0,21539300000.0,29129800000.0,30373300000.0
Net Income Continuous Operations,33811700000.0,22928700000.0,21539300000.0,29129800000.0,30373300000.0
Tax Provision,8260700000.0,8701500000.0,10937100000.0,5588600000.0,5672100000.0
Pretax Income,42271600000.0,31727700000.0,32543500000.0,34764000000.0,35978800000.0
Other Non Operating Income Expenses,5788400000.0,4644600000.0,-12658300000.0,4656200000.0,3540000000.0
Special Income Charges,-4894800000.0,-8180000000.0,-3971700000.0,-3161700000.0,0.0
Other Special Charges,4894800000.0,,-66400000.0,,
Net Non Operating Interest Income Expense,-783600000.0,-748000000.0,11809900000.0,-515100000.0,-691700000.0
Interest Expense Non Operating,783600000.0,748000000.0,491400000.0,515100000.0,691700000.0
Operating Income,40622400000.0,33720700000.0,28314900000.0,35618100000.0,31849600000.0
Operating Expense,84617300000.0,75992400000.0,58967500000.0,71345900000.0,73850600000.0
Other Operating Expenses,48888700000.0,41623600000.0,-74904900000.0,41902700000.0,43086200000.0
Depreciation And Amortization In Income Statement,7323300000.0,7005500000.0,6637900000.0,6305600000.0,6259100000.0
Depreciation Income Statement,7323300000.0,7005500000.0,-5665400000.0,6305600000.0,6259100000.0
Gross Profit,125239700000.0,109713100000.0,87282400000.0,106964000000.0,105700200000.0
Cost Of Revenue,29451000000.0,28147600000.0,40873400000.0,27405400000.0,26942000000.0
Total Revenue,154690700000.0,137860700000.0,128155800000.0,134369400000.0,132642200000.0
Operating Revenue,154690700000.0,137860700000.0,128155800000.0,134369400000.0,132642200000.0
